GEO_ID,C07008_001E,C07008_001M,C07008_002E,C07008_002M,C07008_003E,C07008_003M,C07008_004E,C07008_004M,C07008_005E,C07008_005M,C07008_006E,C07008_006M,C07008_007E,C07008_007M,C07008_008E,C07008_008M,C07008_009E,C07008_009M,C07008_010E,C07008_010M,C07008_011E,C07008_011M,C07008_012E,C07008_012M,C07008_013E,C07008_013M,C07008_014E,C07008_014M,C07008_015E,C07008_015M,C07008_016E,C07008_016M,C07008_017E,C07008_017M,C07008_018E,C07008_018M,C07008_019E,C07008_019M,C07008_020E,C07008_020M,C07008_021E,C07008_021M,C07008_022E,C07008_022M,C07008_023E,C07008_023M,C07008_024E,C07008_024M,C07008_025E,C07008_025M,C07008_026E,C07008_026M,C07008_027E,C07008_027M,C07008_028E,C07008_028M,C07008_029E,C07008_029M,C07008_030E,C07008_030M,NAME,C07008_001MA,C07008_001EA,C07008_002MA,C07008_002EA,C07008_003EA,C07008_003MA,C07008_004EA,C07008_004MA,C07008_005MA,C07008_005EA,C07008_006EA,C07008_006MA,C07008_007EA,C07008_007MA,C07008_008MA,C07008_008EA,C07008_009EA,C07008_009MA,C07008_010MA,C07008_010EA,C07008_011EA,C07008_011MA,C07008_012EA,C07008_012MA,C07008_013EA,C07008_013MA,C07008_014EA,C07008_014MA,C07008_015EA,C07008_015MA,C07008_016MA,C07008_016EA,C07008_017MA,C07008_017EA,C07008_018EA,C07008_018MA,C07008_019EA,C07008_019MA,C07008_020EA,C07008_020MA,C07008_021EA,C07008_021MA,C07008_022MA,C07008_022EA,C07008_023EA,C07008_023MA,C07008_024MA,C07008_024EA,C07008_025EA,C07008_025MA,C07008_026EA,C07008_026MA,C07008_027MA,C07008_027EA,C07008_028EA,C07008_028MA,C07008_029MA,C07008_029EA,C07008_030EA,C07008_030MA,state
0400000US01,3874758,2952,1125936,15441,1892769,25175,583031,15465,273022,7480,3305733,17102,869381,16438,1710700,22886,477445,13280,248207,6973,333740,13453,147573,7847,109576,8559,61252,4242,15339,2079,128229,7681,64415,4457,31228,4097,26549,3164,6037,1391,95245,6940,39603,3988,35841,4732,16585,2471,3216,941,11811,2232,4964,1342,5424,1568,1200,558,223,313,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,565162,1193,182642,5351,279473,7536,81718,4882,21329,1731,453768,5685,134726,5140,236151,7519,64623,3826,18268,1602,63759,4747,28407,3236,22775,3611,10250,2225,2327,785,15423,2325,6743,1196,5779,1713,2601,910,300,326,28234,3174,11214,1618,12541,2354,4086,1105,393,301,3978,1224,1552,672,2227,1022,158,116,41,35,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5129409,1939,1647834,21707,2447314,30437,748086,19740,286175,9164,4121671,29439,1200846,21489,2100522,30914,573723,16509,246580,8533,682497,24604,311484,14400,223893,15097,124251,8973,22869,2797,99483,9066,50228,5589,26749,4213,19607,3785,2899,1506,187067,10776,71742,5640,78506,9003,25708,3314,11111,2798,38691,5488,13534,2580,17644,3649,4797,1556,2716,1409,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2342376,2165,611820,12180,1200940,16856,370966,10278,158650,5756,1966427,13467,463622,11849,1067984,17090,293826,9099,140995,5248,228748,9845,86828,5909,82322,6675,49512,4762,10086,1525,83004,6782,35046,3882,27011,3968,17094,2754,3853,1114,57224,4957,23926,3208,20272,3218,9964,1824,3062,980,6973,1866,2398,1009,3351,1321,570,352,654,468,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,30062390,3289,10916035,44301,13967231,66315,3626995,39082,1552129,15235,25274272,53804,8598901,43607,12321655,67751,2954451,31394,1399265,15152,3256938,47506,1542194,33190,1123998,24971,489114,15708,101632,5697,901891,21573,477884,14213,272644,12216,123234,6671,28129,3195,399468,14945,194686,10225,142421,9532,48105,4450,14256,1905,229821,13571,102370,6764,106513,8831,12091,2032,8847,1733,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4087156,2841,1262092,14577,2080824,24016,555420,14658,188820,6157,3277187,17133,874915,15041,1803688,21474,430981,11417,167603,5810,390584,12617,183050,7994,131063,9552,66707,4584,9764,1537,219787,10042,114847,7386,66339,6472,33611,3215,4990,1190,169577,9257,75940,5612,65652,6985,22080,3200,5905,1427,30021,4513,13340,2327,14082,3024,2041,844,558,415,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2925822,761,969318,11988,1416436,16328,359648,9210,180420,6355,2594554,11717,800355,12713,1321015,15125,306352,8252,166832,6043,195726,10663,91794,6632,56550,5449,38286,4211,9096,1653,58083,4387,35254,3742,12115,2230,8162,1576,2552,647,60735,5130,33183,3380,20285,3095,5755,1282,1512,684,16724,3155,8732,2116,6471,1731,1093,804,428,252,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,737847,647,246171,5154,347487,6136,97450,5326,46739,3022,636836,6509,190555,6002,321981,6353,82168,4917,42132,3093,59565,4732,33916,3495,12832,2418,10398,1781,2419,709,7249,1699,3545,961,1600,661,1667,942,437,341,30113,3562,16074,2438,9498,2221,2918,942,1623,691,4084,1366,2081,1138,1576,754,299,239,128,151,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,529068,414,307042,5840,132073,6368,62040,4000,27913,2464,420530,5558,226694,5760,114931,6065,52921,3541,25984,2344,57175,5244,41736,4517,8362,2015,5709,1056,1368,775,0,200,0,200,0,200,0,200,0,200,44682,3795,34281,3456,6605,1450,3295,1042,501,330,6681,1632,4331,1213,2175,891,115,114,60,103,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,15770265,5407,4899961,34106,7286980,44538,2448397,28600,1134927,18795,13238554,48954,3786158,40136,6459608,46675,1974045,24239,1018743,18487,1483446,37411,660111,21095,461128,20256,301270,13588,60937,4983,479034,16939,243177,9843,125998,8801,89739,6899,20120,3284,422200,16252,154832,9859,174781,11308,66455,5715,26132,3712,147031,12877,55683,7050,65465,6438,16888,3198,8995,2655,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
