GEO_ID,C23008_001E,C23008_001M,C23008_002E,C23008_002M,C23008_003E,C23008_003M,C23008_004E,C23008_004M,C23008_005E,C23008_005M,C23008_006E,C23008_006M,C23008_007E,C23008_007M,C23008_008E,C23008_008M,C23008_009E,C23008_009M,C23008_010E,C23008_010M,C23008_011E,C23008_011M,C23008_012E,C23008_012M,C23008_013E,C23008_013M,C23008_014E,C23008_014M,C23008_015E,C23008_015M,C23008_016E,C23008_016M,C23008_017E,C23008_017M,C23008_018E,C23008_018M,C23008_019E,C23008_019M,NAME,C23008_001MA,C23008_001EA,C23008_002EA,C23008_002MA,C23008_003EA,C23008_003MA,C23008_004EA,C23008_004MA,C23008_005EA,C23008_005MA,C23008_006MA,C23008_006EA,C23008_007MA,C23008_007EA,C23008_008EA,C23008_008MA,C23008_009EA,C23008_009MA,C23008_010EA,C23008_010MA,C23008_011MA,C23008_011EA,C23008_012MA,C23008_012EA,C23008_013EA,C23008_013MA,C23008_014EA,C23008_014MA,C23008_015EA,C23008_015MA,C23008_016MA,C23008_016EA,C23008_017MA,C23008_017EA,C23008_018MA,C23008_018EA,C23008_019EA,C23008_019MA,state
0400000US01,1058901,5317,344333,5693,199387,6485,115755,7008,76416,5868,5197,1576,2019,890,144946,6525,107481,6286,37465,4039,714568,6822,442870,9199,282001,9944,129999,7281,19121,3404,11749,2377,271698,10506,213941,9905,57757,5549,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,181091,1362,62859,1415,40272,2763,21693,2337,15922,2038,1617,586,1040,591,22587,2392,18042,2235,4545,1035,118232,1681,77352,3642,47144,3715,23343,2842,5000,1261,1865,735,40880,3738,32620,3861,8260,2035,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1542548,7629,520440,7523,309562,10925,157248,10311,135867,8195,10744,2606,5703,1956,210878,11328,157508,9383,53370,5655,1022108,9782,618930,13959,360745,13819,216274,12408,28710,6050,13201,3423,403178,14869,322753,14813,80425,9305,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,666051,4356,223235,4394,137164,5966,76726,5425,51392,4341,5492,1663,3554,1367,86071,5793,65074,5721,20997,2593,442816,4851,274422,8295,176394,8427,74328,6151,14867,2470,8833,2060,168394,8004,137426,7688,30968,3883,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8830346,13244,2943221,15683,1889861,20929,1040260,19157,760276,18513,52429,5946,36896,5391,1053360,18612,770008,17374,283352,11702,5887125,15919,3899565,35727,2324286,29343,1332705,28945,149759,8647,92815,7624,1987560,32323,1599138,28633,388422,18074,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1179069,4921,398085,4782,275173,6360,154667,6882,106798,6146,9998,2161,3710,1264,122912,5969,96131,5028,26781,3386,780984,5714,556477,10630,363452,10797,166163,9003,18188,3601,8674,3166,224507,9652,189918,9512,34589,4356,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,778282,2829,231588,3000,152228,4335,97737,4896,49808,3786,3961,1427,722,473,79360,3786,63323,3918,16037,2197,546694,3280,378654,6878,268858,8079,95572,6342,10508,2833,3716,1374,168040,6404,144812,6259,23228,3121,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,191327,2500,62436,2193,35779,2899,21880,2422,12293,2176,945,807,661,415,26657,2074,23451,2070,3206,1152,128891,2472,77915,4690,54833,4387,17909,2531,3268,1335,1905,1120,50976,4121,43821,4245,7155,2047,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,99355,1866,41391,1271,18091,1390,14029,1749,3348,1040,449,342,265,385,23300,1811,15427,2074,7873,2005,57964,1973,18036,2159,13035,2304,3573,1330,644,383,784,1006,39928,2240,30892,2502,9036,2272,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3791541,11485,1247835,11464,732006,15324,442024,16049,254058,12297,24973,3440,10951,2860,515829,17627,402114,14220,113715,8744,2543706,14051,1566768,25366,1014916,26656,436044,18107,79596,8305,36212,4844,976938,21447,818445,21433,158493,9982,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
