GEO_ID,C24010D_001E,C24010D_001M,C24010D_002E,C24010D_002M,C24010D_003E,C24010D_003M,C24010D_004E,C24010D_004M,C24010D_005E,C24010D_005M,C24010D_006E,C24010D_006M,C24010D_007E,C24010D_007M,C24010D_008E,C24010D_008M,C24010D_009E,C24010D_009M,C24010D_010E,C24010D_010M,C24010D_011E,C24010D_011M,C24010D_012E,C24010D_012M,C24010D_013E,C24010D_013M,NAME,C24010D_001EA,C24010D_001MA,C24010D_002EA,C24010D_002MA,C24010D_003MA,C24010D_003EA,C24010D_004EA,C24010D_004MA,C24010D_005EA,C24010D_005MA,C24010D_006EA,C24010D_006MA,C24010D_007EA,C24010D_007MA,C24010D_008EA,C24010D_008MA,C24010D_009EA,C24010D_009MA,C24010D_010EA,C24010D_010MA,C24010D_011EA,C24010D_011MA,C24010D_012EA,C24010D_012MA,C24010D_013EA,C24010D_013MA,state
0400000US01,28478,1637,15653,1174,6878,1189,4174,1258,2143,727,769,495,1689,738,12825,1445,5656,871,3651,1158,2947,813,0,190,571,276,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,21102,1239,9025,1030,1507,506,1727,549,1699,641,1297,539,2795,867,12077,935,4043,1017,3504,824,2962,806,30,50,1538,531,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,87548,4051,44980,2606,25870,2900,6138,1232,7419,2485,1215,842,4338,1224,42568,2890,17897,2277,10111,2274,11441,2019,216,206,2903,887,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,15775,1487,8897,1038,3860,1080,1289,835,2296,1005,300,251,1152,580,6878,970,2696,798,2509,844,1502,603,10,18,161,178,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,2356172,16495,1194253,10162,590234,9836,161949,6310,230134,7737,71229,4519,140707,6747,1161919,13415,557509,8633,235206,8259,302683,8988,4657,1176,61864,4804,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,67544,3482,33550,2201,16700,1740,4987,1454,6719,1524,2094,864,3050,1040,33994,2664,15757,2303,7107,1636,8553,1595,271,284,2306,712,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,70927,2705,36604,1802,19468,2107,5495,1132,5833,1235,1876,809,3932,1145,34323,1894,16897,1497,6193,1119,6252,1414,149,190,4832,1495,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,14482,964,8381,752,4885,707,1247,545,1539,618,562,428,148,136,6101,708,3531,731,884,553,1383,623,0,192,303,270,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,15385,1064,6479,710,3962,865,644,386,1403,1048,0,200,470,520,8906,804,7084,733,1117,475,678,436,0,200,27,47,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,234468,6859,116925,3913,56894,3743,24701,3498,18151,2908,7633,1843,9546,1950,117543,5028,51132,3937,31992,3599,28175,3618,434,350,5810,1279,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,151693,6589,82764,3517,38473,3424,9662,2350,17660,2428,5032,1691,11937,2401,68929,4790,28164,2919,16696,2783,18593,2754,537,523,4939,1260,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,271257,6764,132142,4413,43909,2921,32004,2764,19681,2199,21270,2333,15278,1787,139115,4312,47975,2684,31454,2484,50598,3063,2814,962,6274,1135,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,9401,1896,5533,1442,2794,1268,1650,1043,785,534,118,166,186,276,3868,1004,1710,724,903,647,1058,549,102,171,95,95,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
