GEO_ID,C17001H_001E,C17001H_001M,C17001H_002E,C17001H_002M,C17001H_003E,C17001H_003M,C17001H_004E,C17001H_004M,C17001H_005E,C17001H_005M,C17001H_006E,C17001H_006M,C17001H_007E,C17001H_007M,C17001H_008E,C17001H_008M,C17001H_009E,C17001H_009M,C17001H_010E,C17001H_010M,C17001H_011E,C17001H_011M,C17001H_012E,C17001H_012M,C17001H_013E,C17001H_013M,C17001H_014E,C17001H_014M,C17001H_015E,C17001H_015M,C17001H_016E,C17001H_016M,C17001H_017E,C17001H_017M,C17001H_018E,C17001H_018M,C17001H_019E,C17001H_019M,NAME,C17001H_001MA,C17001H_001EA,C17001H_002MA,C17001H_002EA,C17001H_003MA,C17001H_003EA,C17001H_004EA,C17001H_004MA,C17001H_005EA,C17001H_005MA,C17001H_006EA,C17001H_006MA,C17001H_007EA,C17001H_007MA,C17001H_008MA,C17001H_008EA,C17001H_009EA,C17001H_009MA,C17001H_010EA,C17001H_010MA,C17001H_011EA,C17001H_011MA,C17001H_012EA,C17001H_012MA,C17001H_013MA,C17001H_013EA,C17001H_014MA,C17001H_014EA,C17001H_015EA,C17001H_015MA,C17001H_016EA,C17001H_016MA,C17001H_017MA,C17001H_017EA,C17001H_018MA,C17001H_018EA,C17001H_019MA,C17001H_019EA,state
0400000US01,3136217,3526,405634,16711,175970,9324,52164,4612,112256,7319,11550,1674,229664,9874,54075,5345,146693,6068,28896,2543,2730583,16931,1351464,9891,283658,4955,851361,7697,216445,1724,1379119,9818,267504,5541,847427,6207,264188,2667,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,450858,781,33045,4105,14908,2707,4631,1627,9647,1788,630,384,18137,2440,4426,1160,12047,1623,1664,547,417813,4134,220953,2813,45224,1634,154845,1882,20884,433,196860,2604,42334,1191,135585,1673,18941,569,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3643754,3693,434403,20408,207465,12258,52655,6519,135814,8334,18996,2228,226938,10564,49035,6363,148447,7139,29456,3108,3209351,20766,1583406,12048,284577,6258,969488,8490,329341,2298,1625945,11332,272675,6687,981944,7465,371326,3253,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2127253,2210,322137,13094,141769,7434,48972,4280,81622,4761,11175,1457,180368,8017,41716,3773,116616,6290,22036,2082,1805116,13343,901632,7542,184224,4207,566300,4846,151108,1806,903484,8347,177514,4001,545976,6698,179994,2262,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,14626498,10225,1485672,31232,699615,18691,132263,8277,504618,14331,62734,4557,786057,17440,121932,7816,533788,14220,130337,4954,13140826,32802,6560694,20015,1133772,8902,4313071,15117,1113851,4902,6580132,18208,1074435,9378,4177691,13651,1328006,5414,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3493163,3784,329666,13426,153727,7448,36924,4085,107873,5528,8930,1189,175939,7971,32675,3633,121850,5301,21414,1792,3163497,13531,1585598,7288,322529,4848,1060371,5267,202698,1399,1577899,9461,304197,4486,1034758,6052,238944,1949,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2461480,3201,153710,9868,67618,5810,13292,2724,46444,4087,7882,1115,86092,5932,13948,2305,55799,4481,16345,1904,2307770,10289,1132533,6376,232939,2887,721353,4642,178241,1321,1175237,6410,220408,2343,728158,5003,226671,2228,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,576791,989,44571,5705,17447,3277,5063,1874,11278,2076,1106,354,27124,3652,4595,1449,19597,2583,2932,702,532220,5802,262218,3436,50165,1921,165355,2133,46698,532,270002,3876,47785,1506,166057,2719,56160,914,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,200464,2293,13573,2371,6799,1634,48,79,6462,1602,289,280,6774,1596,39,64,6527,1617,208,181,186891,2480,93748,1960,10355,78,73628,1927,9765,323,93143,1752,9777,167,72299,1708,11067,278,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,10718454,7207,1232796,32760,570798,18574,129729,8677,379395,13199,61674,4902,661998,19149,133207,8298,420623,12121,108168,5839,9485658,34274,4665216,19737,782529,9618,2790783,13402,1091904,5238,4820442,20185,730491,8598,2825854,13087,1264097,6256,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
