GEO_ID,C19101I_001E,C19101I_001M,C19101I_002E,C19101I_002M,C19101I_003E,C19101I_003M,C19101I_004E,C19101I_004M,C19101I_005E,C19101I_005M,C19101I_006E,C19101I_006M,C19101I_007E,C19101I_007M,C19101I_008E,C19101I_008M,C19101I_009E,C19101I_009M,C19101I_010E,C19101I_010M,C19101I_011E,C19101I_011M,NAME,C19101I_001EA,C19101I_001MA,C19101I_002MA,C19101I_002EA,C19101I_003MA,C19101I_003EA,C19101I_004MA,C19101I_004EA,C19101I_005MA,C19101I_005EA,C19101I_006EA,C19101I_006MA,C19101I_007MA,C19101I_007EA,C19101I_008EA,C19101I_008MA,C19101I_009EA,C19101I_009MA,C19101I_010MA,C19101I_010EA,C19101I_011MA,C19101I_011EA,state
0400000US01,35710,2510,2562,748,3499,1293,7943,1483,4791,1483,5882,1587,5198,1236,1426,619,2669,1262,944,525,796,842,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,7516,1075,165,153,78,77,462,331,1415,764,1283,660,1156,705,1401,571,911,440,339,263,306,250,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,397755,7689,39399,3939,27267,3236,59935,4509,57941,4880,68148,4423,69448,5539,32617,3264,30101,4152,8903,2489,3996,1625,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,36246,2037,3186,897,2636,933,8370,1749,5027,1479,7046,1956,4323,1328,2592,1003,1864,792,388,406,814,562,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,2814834,17521,182534,7042,154087,7289,397376,9574,365795,9791,466312,10064,533194,11030,306612,8990,278944,8656,83776,4710,46204,3838,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,223554,5117,16467,1954,10340,1774,32313,3294,29750,2726,40096,3392,45054,3185,23668,2609,17374,1941,4403,1247,4089,1020,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,104550,3271,12014,1735,6597,1254,15114,1920,15031,2099,16486,2205,13904,2146,8422,1300,10496,1462,3482,1061,3004,835,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,16061,1391,802,519,752,415,2203,654,2456,1113,3189,1153,2011,744,1663,767,1834,878,336,220,815,526,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,10935,1328,510,490,154,201,1877,856,778,454,1016,537,2499,921,656,435,1396,542,661,403,1388,874,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,941238,13850,62642,4756,61456,5023,148049,7227,129531,7376,148830,7160,164704,8458,96131,6009,81476,4916,27010,3484,21409,2406,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,162792,6433,12387,2780,14962,3191,31765,4381,26995,3636,25551,3382,27377,3093,9116,1992,9499,2228,2819,1352,2321,942,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,21100,1609,1047,531,965,608,2463,830,2187,869,2871,876,4360,1010,2456,741,3111,826,1104,507,536,283,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,33979,2241,3270,1033,2914,1015,5723,1140,4861,1015,6913,1397,6113,1380,2134,805,1596,598,262,210,193,311,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
