GEO_ID,B27020_001E,B27020_001M,B27020_002E,B27020_002M,B27020_003E,B27020_003M,B27020_004E,B27020_004M,B27020_005E,B27020_005M,B27020_006E,B27020_006M,B27020_007E,B27020_007M,B27020_008E,B27020_008M,B27020_009E,B27020_009M,B27020_010E,B27020_010M,B27020_011E,B27020_011M,B27020_012E,B27020_012M,B27020_013E,B27020_013M,B27020_014E,B27020_014M,B27020_015E,B27020_015M,B27020_016E,B27020_016M,B27020_017E,B27020_017M,NAME,B27020_001MA,B27020_001EA,B27020_002MA,B27020_002EA,B27020_003EA,B27020_003MA,B27020_004EA,B27020_004MA,B27020_005EA,B27020_005MA,B27020_006MA,B27020_006EA,B27020_007MA,B27020_007EA,B27020_008EA,B27020_008MA,B27020_009EA,B27020_009MA,B27020_010EA,B27020_010MA,B27020_011MA,B27020_011EA,B27020_012MA,B27020_012EA,B27020_013EA,B27020_013MA,B27020_014EA,B27020_014MA,B27020_015EA,B27020_015MA,B27020_016EA,B27020_016MA,B27020_017MA,B27020_017EA,state
0400000US01,4720067,2155,4559213,7365,3958863,18629,2982602,21954,1544725,18703,600350,16605,160854,7068,56926,4303,46101,3515,40332,3214,12947,1980,10825,2236,103928,6103,41139,3544,38186,3517,4788,1206,62789,5707,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,699272,1868,648468,4429,523621,6488,410883,10012,166472,7612,124847,5700,50804,3940,25951,2735,20392,2404,17600,2182,6268,1258,5559,1525,24853,3516,14599,2591,11238,1951,3955,1594,10254,2005,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6378280,1787,5521746,17858,4749389,27428,3403527,37409,2004602,32983,772357,23959,856534,17530,324870,13056,261905,10917,192445,9314,105160,6766,62965,6795,531664,16408,271976,11255,174680,8792,111734,9023,259688,14138,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2885212,1095,2757649,5755,2324088,14448,1625956,18807,1042933,14149,433561,13331,127563,5569,35960,3238,26366,3131,22870,3193,8061,1433,9594,2109,91603,5888,42448,5137,38837,4988,4921,1532,49155,6199,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,37161789,5236,27046170,50536,23559099,68299,17577754,75213,8479312,50004,3487071,41038,10115619,50363,4735084,35574,3954913,31417,2923681,28737,1438459,20354,780171,14722,5380535,46142,2922173,37128,1861597,27605,1158873,25444,2458362,32985,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5024885,2530,4538230,14937,3970979,19457,3262680,24405,1163867,17234,567251,15824,486655,14215,174545,7493,147573,6908,120683,6636,47903,3674,26972,3393,312110,12640,146714,8021,105936,6786,47101,4640,165396,10242,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3522709,1144,3048362,13449,2855851,14700,2284820,17005,931129,15868,192511,8957,474347,13332,234106,7378,211703,7453,172097,7354,71413,4353,22403,3401,240241,10414,146210,7733,117180,6246,36381,4522,94031,7685,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,892132,847,815965,5499,754799,7911,583042,11312,286216,9161,61166,5211,76167,5354,32467,3446,28523,2908,24060,2541,9862,1493,3944,1583,43700,4454,24815,3220,20454,3007,6117,1675,18885,3061,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,608165,325,525189,5308,494013,6825,372158,9217,184553,6908,31176,4277,82976,5275,31117,2911,29014,2772,25204,2523,8852,1412,2103,817,51859,4541,43131,3866,32535,3489,14747,2586,8728,2228,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,18752294,3756,15075829,37863,12598256,49083,9234395,63517,5340795,41964,2477573,34408,3676465,38426,1827185,27055,1416329,22170,993475,19274,609815,14455,410856,14325,1849280,35754,826328,23958,582595,19492,292860,14520,1022952,27776,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
