GEO_ID,B05003_001E,B05003_001M,B05003_002E,B05003_002M,B05003_003E,B05003_003M,B05003_004E,B05003_004M,B05003_005E,B05003_005M,B05003_006E,B05003_006M,B05003_007E,B05003_007M,B05003_008E,B05003_008M,B05003_009E,B05003_009M,B05003_010E,B05003_010M,B05003_011E,B05003_011M,B05003_012E,B05003_012M,B05003_013E,B05003_013M,B05003_014E,B05003_014M,B05003_015E,B05003_015M,B05003_016E,B05003_016M,B05003_017E,B05003_017M,B05003_018E,B05003_018M,B05003_019E,B05003_019M,B05003_020E,B05003_020M,B05003_021E,B05003_021M,B05003_022E,B05003_022M,B05003_023E,B05003_023M,NAME,B05003_001MA,B05003_001EA,B05003_002EA,B05003_002MA,B05003_003EA,B05003_003MA,B05003_004EA,B05003_004MA,B05003_005EA,B05003_005MA,B05003_006MA,B05003_006EA,B05003_007EA,B05003_007MA,B05003_008EA,B05003_008MA,B05003_009EA,B05003_009MA,B05003_010EA,B05003_010MA,B05003_011EA,B05003_011MA,B05003_012MA,B05003_012EA,B05003_013EA,B05003_013MA,B05003_014EA,B05003_014MA,B05003_015MA,B05003_015EA,B05003_016EA,B05003_016MA,B05003_017EA,B05003_017MA,B05003_018EA,B05003_018MA,B05003_019EA,B05003_019MA,B05003_020EA,B05003_020MA,B05003_021EA,B05003_021MA,B05003_022EA,B05003_022MA,B05003_023MA,B05003_023EA,state
0400000US01,4802740,-555555555,2324413,5329,570790,3945,563944,3806,6846,1310,1494,627,5352,1185,1753623,3624,1675897,4781,77726,4422,25287,2747,52439,3643,2478327,5329,553598,4320,545514,4602,8084,1838,1705,722,6379,1797,1924729,3196,1854712,4507,70017,3911,29090,2994,40927,3126,Alabama,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,722718,-555555555,372916,1425,95767,1283,93110,1770,2657,1354,898,592,1759,1220,277149,863,256316,2131,20833,1964,10303,1434,10530,1650,349802,1425,92456,1333,90058,1612,2398,869,677,313,1721,806,257346,917,231631,2067,25715,2120,14724,1896,10991,1631,Alaska,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6482505,-555555555,3228514,4431,831690,3863,798720,5799,32970,4432,4136,1548,28834,4363,2396824,1741,2003821,10438,393003,9961,146078,6314,246925,8842,3253991,4431,792334,3469,760092,5373,32242,4306,7728,1849,24514,3786,2461657,1985,2048205,10604,413452,10913,169511,9346,243941,9325,Arizona,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2937979,-555555555,1447850,3826,367793,3478,359972,3747,7821,2106,459,434,7362,2074,1080057,2403,1020189,3918,59868,3427,15693,2003,44175,3233,1490129,3826,343393,3368,336325,3651,7068,1526,921,534,6147,1477,1146736,2045,1092684,2848,54052,2183,19303,2102,34749,2586,Arkansas,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,37691912,-555555555,18750692,4823,4744363,4200,4476696,10541,267667,9854,46321,3553,221346,9518,14006329,2911,9316305,27175,4690024,27176,2150765,22479,2539259,24265,18941220,4823,4523073,4045,4272894,11217,250179,9816,47667,3553,202512,9295,14418147,2346,9430960,27320,4987187,26884,2526762,20267,2460425,24758,California,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5116796,-555555555,2569136,4217,631626,3201,609729,4189,21897,2903,4425,1244,17472,2608,1937510,2689,1711983,7579,225527,7707,76234,3592,149293,7253,2547660,4217,596951,3615,574675,4379,22276,2505,7067,1370,15209,2272,1950709,1971,1725649,8044,225060,7823,90026,5358,135034,6507,Colorado,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3580709,-555555555,1743795,1891,411312,1392,394531,2826,16781,2500,5246,1297,11535,1975,1332483,1257,1118512,6793,213971,6543,100199,4745,113772,5217,1836914,1891,392308,1422,376830,2163,15478,1865,4447,1040,11031,1698,1444606,1138,1212513,7393,232093,7285,126454,4831,105639,5779,Connecticut,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,907135,-555555555,439918,939,104583,955,102478,1093,2105,849,712,435,1393,731,335335,825,299324,2600,36011,2457,14381,1803,21630,2610,467217,939,100042,922,98044,1207,1998,813,549,385,1449,730,367175,702,330927,3113,36248,2921,16905,2193,19343,1971,Delaware,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,617996,-555555555,292283,485,53567,439,51749,908,1818,758,236,183,1582,719,238716,379,199839,3055,38877,3040,14199,1893,24678,2522,325713,485,51913,432,49609,761,2304,763,320,256,1984,745,273800,230,233200,2959,40600,2968,16818,2024,23782,2383,District of Columbia,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,19057542,-555555555,9321149,7263,2045299,5573,1943784,8874,101515,6557,21041,2644,80474,6099,7275850,4586,5636033,20387,1639817,19787,774830,14556,864987,19563,9736393,7263,1949651,5973,1842863,7978,106788,6058,27630,3110,79158,5693,7786742,4158,5932235,22478,1854507,23072,1016515,17359,837992,17036,Florida,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
