GEO_ID,C24010H_001E,C24010H_001M,C24010H_002E,C24010H_002M,C24010H_003E,C24010H_003M,C24010H_004E,C24010H_004M,C24010H_005E,C24010H_005M,C24010H_006E,C24010H_006M,C24010H_007E,C24010H_007M,C24010H_008E,C24010H_008M,C24010H_009E,C24010H_009M,C24010H_010E,C24010H_010M,C24010H_011E,C24010H_011M,C24010H_012E,C24010H_012M,C24010H_013E,C24010H_013M,NAME,C24010H_001MA,C24010H_001EA,C24010H_002EA,C24010H_002MA,C24010H_003EA,C24010H_003MA,C24010H_004EA,C24010H_004MA,C24010H_005EA,C24010H_005MA,C24010H_006MA,C24010H_006EA,C24010H_007EA,C24010H_007MA,C24010H_008EA,C24010H_008MA,C24010H_009EA,C24010H_009MA,C24010H_010EA,C24010H_010MA,C24010H_011EA,C24010H_011MA,C24010H_012EA,C24010H_012MA,C24010H_013EA,C24010H_013MA,state
0400000US01,1388778,15297,745413,9598,246699,7048,87950,4798,116823,4946,144086,7030,149855,6345,643365,9968,262184,7146,106022,5712,235603,6780,5562,1253,33994,2655,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,239422,4618,131055,2489,46345,3406,16921,2564,17369,2032,30843,2921,19577,2525,108367,3649,48761,2437,17407,2175,36271,3276,1680,606,4248,1225,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1661108,16138,871028,11724,342541,9679,128912,8150,181288,8053,112262,6998,106025,6245,790080,10281,337642,9938,142787,8549,276339,9640,5610,1300,27702,3406,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,954887,11833,505588,7302,147197,6185,57263,3977,90457,4469,98743,4810,111928,5161,449299,7308,176222,6559,87840,4382,153916,5714,4269,1021,27052,2501,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,7037560,30378,3758757,17812,1768755,18190,441695,12010,703125,14951,473736,13177,371446,10550,3278803,22357,1612499,17873,509750,12550,1054602,14425,19364,2525,82588,5737,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1857648,10855,981759,6981,427795,9218,110993,5365,181413,7827,145673,5914,115885,5344,875889,8181,410723,9499,150303,5689,279064,8286,7421,1788,28378,2987,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1289682,9336,662516,6576,279410,7016,72752,4020,126857,5548,95074,4159,88423,4827,627166,6835,302300,8102,106342,4540,192814,7047,3695,985,22015,2393,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,287410,4874,148256,2847,53909,2781,20063,2241,25652,2088,28281,2467,20351,2195,139154,3348,63100,3266,25695,2697,44978,2681,1248,547,4133,917,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,143840,2907,73724,2110,60863,2384,4766,1516,6794,1531,781,520,520,267,70116,2016,57387,2234,3089,791,9425,1220,21,35,194,205,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4705137,30092,2444877,19508,867390,15234,397545,13558,512493,13946,383152,12595,284297,11078,2260260,20332,924379,17779,426128,14461,823717,17531,14388,2761,71648,5793,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
