GEO_ID,C17002_001E,C17002_001M,C17002_002E,C17002_002M,C17002_003E,C17002_003M,C17002_004E,C17002_004M,C17002_005E,C17002_005M,C17002_006E,C17002_006M,C17002_007E,C17002_007M,C17002_008E,C17002_008M,NAME,C17002_001MA,C17002_001EA,C17002_002EA,C17002_002MA,C17002_003EA,C17002_003MA,C17002_004EA,C17002_004MA,C17002_005EA,C17002_005MA,C17002_006MA,C17002_006EA,C17002_007EA,C17002_007MA,C17002_008EA,C17002_008MA,state
0400000US01,4687363,2037,367360,15673,525123,19672,276108,16701,244229,14869,358091,16314,133479,9404,2782973,28843,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,706860,918,33460,4270,40445,4066,28633,4359,30715,5388,45373,5791,21225,4325,507009,9692,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6336449,3861,551893,22706,651608,31913,339968,18588,360609,24267,437028,24257,183335,18077,3812008,37211,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2856663,2079,226213,10212,329663,14612,168974,9838,193838,13525,224972,13700,95881,10858,1617122,21578,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,36941931,7933,2656228,42028,3462575,62366,1994581,43020,2013247,46622,2625470,47951,1008467,32551,23181363,89664,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5002128,3154,304970,15930,369225,19538,230871,15356,219454,13859,321102,16921,121811,12590,3434695,31005,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3471802,1406,173018,11329,204838,13860,111666,10599,122225,10383,161712,10623,67365,8082,2630978,22157,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,882353,1386,50966,5724,53865,6278,36007,6116,35327,5391,59170,6706,21657,4001,625361,11134,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,584583,305,60274,6558,49089,6781,18792,3487,19600,4212,24467,4316,10542,2612,401819,9066,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,18652057,5175,1403086,39365,1770370,47754,1039577,38112,1045530,38515,1436244,40871,547396,27575,11409854,67639,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,9550271,4699,821084,24220,1006659,38976,510326,24616,522608,24986,690958,31533,269356,17554,5729280,47366,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1338543,1297,81183,9342,80107,8693,45573,5741,52973,7864,73078,7548,31503,5134,974126,15968,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1550082,2866,110765,9214,144262,10750,81738,8681,105850,11060,139568,11958,43535,6494,924364,17975,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,12566914,3774,863868,25586,1016097,31503,584647,22568,575623,25959,773319,24215,311899,16306,8441461,51767,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,6318942,3376,497882,19679,513135,19816,298833,14361,307926,15455,436169,16252,186515,12884,4078482,35330,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,2963602,1740,174098,10375,204766,10534,124752,7489,144838,8591,192597,8370,80096,6763,2042455,17678,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,2786855,2238,157776,8347,225691,9740,126308,8773,130661,7942,206385,11849,81121,8172,1858913,19335,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,4238283,2995,354496,16187,456781,16922,231806,10877,225605,12410,290261,14626,127897,8553,2551437,23939,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,4445400,3107,418907,18883,489468,18334,240391,15399,252110,16190,295769,16627,117356,10385,2631399,25767,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
