GEO_ID,B17020D_001E,B17020D_001M,B17020D_002E,B17020D_002M,B17020D_003E,B17020D_003M,B17020D_004E,B17020D_004M,B17020D_005E,B17020D_005M,B17020D_006E,B17020D_006M,B17020D_007E,B17020D_007M,B17020D_008E,B17020D_008M,B17020D_009E,B17020D_009M,B17020D_010E,B17020D_010M,B17020D_011E,B17020D_011M,B17020D_012E,B17020D_012M,B17020D_013E,B17020D_013M,B17020D_014E,B17020D_014M,B17020D_015E,B17020D_015M,B17020D_016E,B17020D_016M,B17020D_017E,B17020D_017M,NAME,B17020D_001EA,B17020D_001MA,B17020D_002EA,B17020D_002MA,B17020D_003EA,B17020D_003MA,B17020D_004MA,B17020D_004EA,B17020D_005MA,B17020D_005EA,B17020D_006MA,B17020D_006EA,B17020D_007EA,B17020D_007MA,B17020D_008EA,B17020D_008MA,B17020D_009EA,B17020D_009MA,B17020D_010MA,B17020D_010EA,B17020D_011MA,B17020D_011EA,B17020D_012EA,B17020D_012MA,B17020D_013EA,B17020D_013MA,B17020D_014EA,B17020D_014MA,B17020D_015MA,B17020D_015EA,B17020D_016MA,B17020D_016EA,B17020D_017MA,B17020D_017EA,state
0400000US01,53378,2249,6609,1738,416,266,21,41,380,340,355,318,4947,1341,295,247,195,206,46769,2463,2423,703,512,394,5100,943,3787,957,31693,2060,2527,856,727,397,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,37390,2035,3395,1946,80,122,133,202,399,529,685,506,1918,794,144,148,36,48,33995,2228,1606,605,305,194,2156,724,3140,874,23427,1506,2280,719,1081,241,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,174202,6131,21815,4307,462,389,125,159,1906,1197,2242,845,15739,2813,830,519,511,399,152387,6830,8248,2048,1679,734,11621,2259,10898,1581,104892,4156,9605,1155,5444,845,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,33915,2596,4458,1680,279,279,0,192,0,192,133,176,3997,1459,49,101,0,192,29457,3113,2740,794,89,159,3692,1054,2128,798,19197,2078,1017,501,594,461,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,4903443,18099,609232,20666,30612,3385,6000,1253,41551,3715,53873,5345,395843,14233,38222,3103,43131,3037,4294211,26458,230423,6318,48151,3657,293472,8119,284733,7152,2928342,17853,293015,3824,216075,4196,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,140924,3955,15100,2777,763,537,313,324,1229,432,1444,615,10121,1991,740,419,490,376,125824,5231,8013,1248,1255,563,12064,2062,10625,1647,83565,3582,5597,858,4705,726,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,134573,2603,11730,3450,437,352,157,191,727,618,1760,1008,8399,2217,135,165,115,138,122843,4435,9538,783,1170,385,11894,1528,10716,1426,81653,2831,5173,688,2699,552,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,29438,1177,1495,660,62,93,0,192,27,54,169,226,895,546,203,197,139,138,27943,1348,2061,267,662,283,1949,561,2207,471,18347,850,2249,902,468,310,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,20294,1448,2055,829,0,200,0,200,0,200,103,185,1747,763,127,163,78,78,18239,1507,651,309,75,101,334,285,466,314,15738,1208,525,267,450,441,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,456006,8551,57278,6730,2415,1176,323,306,3742,1407,4065,1337,42226,5133,2944,969,1563,590,398728,11780,21361,2735,5388,1639,27789,3230,27585,2802,273909,8411,27513,2411,15183,1965,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,316031,7761,40163,5964,2351,908,288,310,3521,1297,4279,1309,27413,4397,1575,776,736,389,275868,9705,17188,1902,4454,1300,23438,2591,21324,2312,190410,7137,14999,1995,4055,1146,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
