GEO_ID,C08513_001E,C08513_001M,C08513_002E,C08513_002M,C08513_003E,C08513_003M,C08513_004E,C08513_004M,C08513_005E,C08513_005M,C08513_006E,C08513_006M,C08513_007E,C08513_007M,C08513_008E,C08513_008M,C08513_009E,C08513_009M,C08513_010E,C08513_010M,C08513_011E,C08513_011M,C08513_012E,C08513_012M,C08513_013E,C08513_013M,C08513_014E,C08513_014M,C08513_015E,C08513_015M,C08513_016E,C08513_016M,C08513_017E,C08513_017M,C08513_018E,C08513_018M,C08513_019E,C08513_019M,C08513_020E,C08513_020M,C08513_021E,C08513_021M,C08513_022E,C08513_022M,C08513_023E,C08513_023M,C08513_024E,C08513_024M,C08513_025E,C08513_025M,C08513_026E,C08513_026M,C08513_027E,C08513_027M,C08513_028E,C08513_028M,C08513_029E,C08513_029M,C08513_030E,C08513_030M,NAME,C08513_001MA,C08513_001EA,C08513_002MA,C08513_002EA,C08513_003EA,C08513_003MA,C08513_004EA,C08513_004MA,C08513_005EA,C08513_005MA,C08513_006MA,C08513_006EA,C08513_007EA,C08513_007MA,C08513_008MA,C08513_008EA,C08513_009EA,C08513_009MA,C08513_010EA,C08513_010MA,C08513_011MA,C08513_011EA,C08513_012EA,C08513_012MA,C08513_013MA,C08513_013EA,C08513_014EA,C08513_014MA,C08513_015EA,C08513_015MA,C08513_016MA,C08513_016EA,C08513_017EA,C08513_017MA,C08513_018EA,C08513_018MA,C08513_019MA,C08513_019EA,C08513_020EA,C08513_020MA,C08513_021MA,C08513_021EA,C08513_022EA,C08513_022MA,C08513_023EA,C08513_023MA,C08513_024MA,C08513_024EA,C08513_025EA,C08513_025MA,C08513_026MA,C08513_026EA,C08513_027MA,C08513_027EA,C08513_028EA,C08513_028MA,C08513_029EA,C08513_029MA,C08513_030MA,C08513_030EA,state
0400000US01,1914756,17722,1793398,19192,121358,5774,61672,4049,59686,4625,1626125,16768,1540144,18273,85981,4728,50451,3925,35530,3553,188241,9426,161732,8258,26509,3864,7404,1637,19105,3345,8782,1424,7949,1296,833,564,228,299,605,466,40482,3352,34781,3212,5701,1798,2178,806,3523,1590,51126,4304,48792,4287,2334,703,1411,578,923,518,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,355925,6110,298286,6718,57639,3264,39895,3087,17744,1907,239776,6215,208177,6283,31599,2443,23361,2544,8238,1314,43590,3508,34563,3231,9027,1390,5157,995,3870,965,6061,1575,4930,1404,1131,489,622,366,509,324,49623,2737,36061,2841,13562,1425,9129,1248,4433,855,16875,2033,14555,1796,2320,736,1626,615,694,466,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2623436,18031,1936760,19304,686676,16593,436572,17136,250104,10409,1991552,20267,1491169,16853,500383,15734,330648,14643,169735,9138,303211,12323,192796,10682,110415,7968,59438,5805,50977,5198,52302,4776,33603,4030,18699,3060,11749,2475,6950,1698,130589,8586,93630,7580,36959,4653,21347,3553,15612,3224,145782,8522,125562,7810,20220,2512,13390,2362,6830,1676,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1214826,11798,1116466,11967,98360,5224,47115,4616,51245,4243,1005949,12850,935747,12482,70202,4502,35794,4173,34408,3764,124777,6639,104935,6096,19842,3235,8024,2109,11818,2560,5346,1194,4863,1167,483,348,233,213,250,288,38185,3863,32645,3134,5540,1586,1823,768,3717,1319,40569,3617,38276,3511,2293,777,1241,497,1052,583,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,16042489,40016,9006646,41236,7035843,44047,3778217,36495,3257626,34191,11759523,45850,6842868,39896,4916655,41247,2849289,33781,2067366,28643,1781154,26616,766452,17592,1014702,19455,441584,11286,573118,15115,825845,15872,367274,10870,458571,12816,178948,7289,279623,10584,818615,17235,441155,11425,377460,13894,165809,8568,211651,9849,857352,17561,588897,15970,268455,10237,142587,7915,125868,6291,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2462381,12823,2082996,12771,379385,11288,228497,9073,150888,6725,1862725,13933,1599665,13257,263060,9627,166237,8197,96823,5509,238625,8207,177472,7348,61153,5259,29367,3040,31786,3656,76857,4987,57043,4457,19814,2713,10287,2056,9527,1946,129220,6854,107053,5946,22167,3119,13440,1897,8727,2440,154954,7327,141763,6661,13191,2147,9166,1682,4025,1197,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1710953,13550,1340639,12247,370314,8441,221823,7405,148491,6843,1352837,13807,1103354,12206,249483,7010,161389,6725,88094,5309,151893,8209,93452,5562,58441,5470,25773,3013,32668,3944,59778,4949,33777,3433,26001,2861,12037,1839,13964,2505,74010,5885,48256,4398,25754,3517,14939,1807,10815,3162,72435,4059,61800,3846,10635,1547,7685,1352,2950,919,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,407733,7229,351715,6877,56018,3770,36859,3160,19159,2229,333736,8376,292798,7960,40938,3713,28791,2889,12147,2048,36345,3475,27149,2760,9196,1956,4685,1426,4511,1352,10449,2026,7439,1836,3010,1012,1477,664,1533,755,12180,1842,10658,1791,1522,690,720,433,802,539,15023,1984,13671,1904,1352,695,1186,688,166,124,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,805581,14168,621106,13223,184475,7705,129093,6339,55382,4541,345873,10435,268810,9611,77063,5644,53444,4356,23619,3024,80499,5357,56848,4370,23651,2952,15692,2201,7959,1533,306244,10741,237986,8612,68258,5480,48194,4509,20064,2902,58265,4008,45105,3665,13160,1978,10287,1868,2873,1084,14700,2159,12357,2076,2343,711,1476,520,867,403,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7951248,35473,5598142,34470,2353106,26291,1327873,23727,1025233,21154,6346735,39773,4574418,30728,1772317,26146,1081955,23018,690362,15061,789125,21924,478860,17095,310265,13927,126295,7790,183970,11551,166437,9668,82602,6767,83835,7573,29514,4703,54321,6102,280838,11745,180532,8051,100306,8939,36849,4593,63457,7288,368113,13214,281730,12107,86383,6470,53260,5239,33123,4228,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
