GEO_ID,B23004_001E,B23004_001M,B23004_002E,B23004_002M,B23004_003E,B23004_003M,B23004_004E,B23004_004M,B23004_005E,B23004_005M,B23004_006E,B23004_006M,B23004_007E,B23004_007M,B23004_008E,B23004_008M,B23004_009E,B23004_009M,B23004_010E,B23004_010M,B23004_011E,B23004_011M,B23004_012E,B23004_012M,B23004_013E,B23004_013M,B23004_014E,B23004_014M,B23004_015E,B23004_015M,B23004_016E,B23004_016M,B23004_017E,B23004_017M,B23004_018E,B23004_018M,B23004_019E,B23004_019M,NAME,B23004_001MA,B23004_001EA,B23004_002EA,B23004_002MA,B23004_003MA,B23004_003EA,B23004_004EA,B23004_004MA,B23004_005EA,B23004_005MA,B23004_006EA,B23004_006MA,B23004_007EA,B23004_007MA,B23004_008MA,B23004_008EA,B23004_009MA,B23004_009EA,B23004_010MA,B23004_010EA,B23004_011EA,B23004_011MA,B23004_012EA,B23004_012MA,B23004_013MA,B23004_013EA,B23004_014MA,B23004_014EA,B23004_015MA,B23004_015EA,B23004_016EA,B23004_016MA,B23004_017EA,B23004_017MA,B23004_018EA,B23004_018MA,B23004_019MA,B23004_019EA,state
0400000US01,673790,2282,112286,4336,93235,4243,77679,3889,75421,3723,2258,689,15556,1904,19051,1742,15649,1463,15388,1448,261,155,3402,761,561504,5094,287022,4941,3524,949,283498,4912,274482,2488,501,385,273981,2518,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,58367,1122,15983,1518,13763,1419,10915,1412,10825,1415,90,113,2848,691,2220,598,1867,583,1867,583,0,149,353,195,42384,1576,24064,1495,211,192,23853,1466,18320,872,0,149,18320,872,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,923153,1822,150281,5871,125699,5091,100544,5416,96428,5496,4116,1002,25155,3260,24582,2789,19151,2617,18667,2628,484,402,5431,1176,772872,6064,398395,5098,4420,1162,393975,5045,374477,3806,595,360,373882,3853,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,428625,1855,74109,3423,61315,2962,51934,2938,50424,2876,1510,546,9381,1495,12794,1767,10060,1408,9822,1404,238,228,2734,724,354516,3454,177622,3179,1340,539,176282,3238,176894,2075,188,168,176706,2067,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,4398053,3381,798757,13053,665401,11033,571623,10174,547939,10380,23684,2243,93778,4603,133356,5161,105897,4376,102711,4280,3186,730,27459,2535,3599296,12764,1711590,11494,32643,2442,1678947,11790,1887706,6002,5807,1071,1881899,6214,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,575497,1786,126866,5077,108653,4744,88463,4427,85388,4214,3075,870,20190,1986,18213,1849,13240,1619,12721,1585,519,290,4973,1009,448631,5399,219932,4798,5597,1099,214335,4670,228699,2176,460,279,228239,2209,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,515314,1188,115532,4267,94446,3578,82411,3236,79477,3244,2934,749,12035,1458,21086,2025,16504,1680,16004,1610,500,261,4582,906,399782,4418,169472,3701,4766,799,164706,3782,230310,2023,923,362,229387,2054,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,133912,740,27691,2168,23517,2076,19453,1973,18972,1917,481,253,4064,934,4174,739,3424,605,3404,601,20,32,750,422,106221,2149,52235,2053,568,266,51667,1994,53986,986,59,100,53927,987,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,69738,261,17221,1353,14868,1329,13003,1238,12452,1254,551,291,1865,547,2353,584,1827,486,1827,486,0,200,526,309,52517,1373,22892,1351,167,165,22725,1337,29625,780,20,33,29605,775,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3359395,4858,533874,11241,436291,10285,368619,9268,353437,8671,15182,2336,67672,4502,97583,5648,76630,4909,73692,4924,2938,1040,20953,2764,2825521,12026,1341416,10951,26721,2536,1314695,11259,1484105,6564,6800,1557,1477305,6601,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,1075895,4241,188250,5450,163100,5253,136433,4939,131840,4712,4593,1121,26667,2717,25150,1890,19975,1793,19718,1783,257,167,5175,1088,887645,6728,479605,6326,6064,1410,473541,6293,408040,4275,1369,579,406671,4231,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,203469,861,44161,2443,35548,1999,30609,2096,30329,2103,280,169,4939,1293,8613,1307,7434,1238,7253,1224,181,235,1179,454,159308,2599,70824,2128,565,324,70259,2161,88484,1368,188,165,88296,1412,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,204286,1600,37233,2726,30128,2374,23263,2196,21501,1890,1762,815,6865,1278,7105,1258,5945,1303,5918,1305,27,47,1160,441,167053,3053,86823,2551,1068,418,85755,2510,80230,1605,57,69,80173,1605,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,1642595,2550,314221,6836,256687,5988,215317,5967,209404,5934,5913,1098,41370,2740,57534,2761,45529,2449,44945,2434,584,281,12005,1273,1328374,6767,618622,5927,10673,1384,607949,5845,709752,3496,2526,868,707226,3626,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,856492,2200,156733,4964,129071,4237,105054,3839,102371,3744,2683,745,24017,2307,27662,2218,21089,2227,20377,2082,712,451,6573,812,699759,5497,333259,4431,3865,1067,329394,4635,366500,2743,890,366,365610,2645,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,458190,1134,102203,3991,79627,3241,63263,2941,61720,2756,1543,574,16364,1595,22576,2109,15788,1744,15484,1710,304,196,6788,916,355987,3842,148707,3138,806,343,147901,3123,207280,2101,443,242,206837,2089,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,381959,1680,91147,3419,71220,2795,58440,2511,57363,2572,1077,459,12780,1254,19927,2108,15117,2029,14800,2008,317,204,4810,807,290812,3501,123364,2832,1451,495,121913,2828,167448,2485,256,164,167192,2514,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,593961,2422,96374,3729,78753,3264,66319,2923,64450,2859,1869,620,12434,1502,17621,1446,14176,1383,14005,1402,171,146,3445,804,497587,4512,257153,3586,2224,770,254929,3650,240434,2162,586,317,239848,2133,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,571296,2107,107843,4236,88150,3871,75747,4236,73756,4158,1991,647,12403,1780,19693,1951,15680,1710,15516,1713,164,108,4013,976,463453,4584,232947,4222,2460,768,230487,4257,230506,2664,153,116,230353,2667,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,217308,1029,46844,2127,40549,2169,31504,2015,30575,2034,929,450,9045,1301,6295,938,4520,799,4503,798,17,21,1775,489,170464,2417,76870,2275,862,334,76008,2297,93594,1211,27,39,93567,1199,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,731759,1815,168489,5367,141087,4859,122338,4528,119223,4294,3115,877,18749,1725,27402,2219,21899,2105,21245,2103,654,462,5503,986,563270,5927,261608,5353,5626,1073,255982,5226,301662,3006,973,448,300689,3006,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,921909,1675,200648,5705,166484,5881,143217,5444,138325,5334,4892,871,23267,2150,34164,2352,26816,1954,25860,1947,956,436,7348,1263,721261,5984,308346,5673,6912,1253,301434,5770,412915,2546,893,402,412022,2685,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,1387870,1688,206914,5027,169654,4407,135670,3901,130619,3709,5051,951,33984,2353,37260,2332,27944,1926,27546,1936,398,207,9316,1252,1180956,4823,575172,4497,8549,1256,566623,4687,605784,2717,1362,420,604422,2849,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
