GEO_ID,B17009_001E,B17009_001M,B17009_002E,B17009_002M,B17009_003E,B17009_003M,B17009_004E,B17009_004M,B17009_005E,B17009_005M,B17009_006E,B17009_006M,B17009_007E,B17009_007M,B17009_008E,B17009_008M,B17009_009E,B17009_009M,B17009_010E,B17009_010M,B17009_011E,B17009_011M,B17009_012E,B17009_012M,B17009_013E,B17009_013M,B17009_014E,B17009_014M,B17009_015E,B17009_015M,B17009_016E,B17009_016M,B17009_017E,B17009_017M,B17009_018E,B17009_018M,B17009_019E,B17009_019M,B17009_020E,B17009_020M,B17009_021E,B17009_021M,NAME,B17009_001EA,B17009_001MA,B17009_002EA,B17009_002MA,B17009_003EA,B17009_003MA,B17009_004MA,B17009_004EA,B17009_005MA,B17009_005EA,B17009_006MA,B17009_006EA,B17009_007EA,B17009_007MA,B17009_008EA,B17009_008MA,B17009_009EA,B17009_009MA,B17009_010EA,B17009_010MA,B17009_011MA,B17009_011EA,B17009_012EA,B17009_012MA,B17009_013EA,B17009_013MA,B17009_014EA,B17009_014MA,B17009_015EA,B17009_015MA,B17009_016MA,B17009_016EA,B17009_017MA,B17009_017EA,B17009_018EA,B17009_018MA,B17009_019EA,B17009_019MA,B17009_020MA,B17009_020EA,B17009_021EA,B17009_021MA,state
0400000US22,811362,14810,262035,9039,14998,2310,9497,1599,5501,1413,87610,6081,43037,3528,44573,4170,159427,6348,103616,4225,55811,4106,549327,13097,303555,9874,224906,7628,78649,6301,105078,6500,72894,4799,32184,3647,140694,5335,129863,4891,10831,1903,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,296775,8803,82101,4560,3884,1232,1911,867,1973,744,32120,2871,15567,1956,16553,2486,46097,3165,30437,2642,15660,1863,214674,7214,104398,5214,68826,3733,35572,2962,48285,3428,31987,2437,16298,1787,61991,2876,55363,2539,6628,1118,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,1060505,17042,215798,9409,13116,1617,5716,1267,7400,1303,73545,5484,26466,2872,47079,4182,129137,6751,68388,4193,60749,4649,844707,14759,498274,11001,343464,7635,154810,8293,157751,7145,103804,4716,53947,3861,188682,6651,171103,6526,17579,2453,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,1351242,18335,305013,8117,7497,1515,3364,835,4133,1055,106547,5429,46011,3326,60536,4805,190969,6369,124500,5100,66469,4032,1046229,17278,559498,13095,374281,9645,185217,8115,224118,7896,148332,5742,75786,5108,262613,7976,237659,6792,24954,3153,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,1819181,19941,548229,11397,25936,2980,12986,1769,12950,2154,212942,8479,92122,4408,120820,6752,309351,8217,178821,5724,130530,6022,1270952,16048,569959,11340,429515,9568,140444,5650,255051,6689,180674,6107,74377,4416,445942,8594,405431,8070,40511,2719,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,1060588,15789,260871,7915,10701,1484,5625,960,5076,1132,119702,6343,49455,3394,70247,5015,130468,4396,77580,3065,52888,3334,799717,13522,426369,9621,306584,7435,119785,5616,181901,5977,121796,4711,60105,3872,191447,6132,178971,5548,12476,1484,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,455585,10806,162532,7771,5766,1308,4211,1020,1555,674,44248,4156,20855,2597,23393,3703,112518,6444,75052,4634,37466,3952,293053,8587,149105,6336,114267,5150,34838,3272,50029,3971,37444,3628,12585,2117,93919,4689,88204,4383,5715,1405,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,1117378,15559,315780,8458,18782,2479,10261,1733,8521,1487,125055,5854,56620,3656,68435,4319,171943,6968,108213,5148,63730,3881,801598,14399,421437,12738,307853,10323,113584,6506,150526,6520,108901,5073,41625,3879,229635,6558,214395,6393,15240,2147,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,213673,6799,58031,4079,3803,963,1776,616,2027,860,27837,3034,11644,1876,16193,2531,26391,2421,15929,1863,10462,1799,155642,5478,74052,3607,55054,2964,18998,2334,39470,3067,27652,2438,11818,1844,42120,2654,39064,2541,3056,929,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,349253,8601,86885,4392,7150,1542,4055,934,3095,987,41501,3240,19900,2417,21601,2342,38234,2637,25883,2231,12351,1432,262368,7687,144705,6447,106739,4101,37966,3884,54320,4131,37039,2846,17281,2276,63343,2600,59739,2657,3604,852,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
