GEO_ID,B12002I_001E,B12002I_001M,B12002I_002E,B12002I_002M,B12002I_003E,B12002I_003M,B12002I_004E,B12002I_004M,B12002I_005E,B12002I_005M,B12002I_006E,B12002I_006M,B12002I_007E,B12002I_007M,B12002I_008E,B12002I_008M,B12002I_009E,B12002I_009M,B12002I_010E,B12002I_010M,B12002I_011E,B12002I_011M,B12002I_012E,B12002I_012M,B12002I_013E,B12002I_013M,NAME,B12002I_001EA,B12002I_001MA,B12002I_002EA,B12002I_002MA,B12002I_003MA,B12002I_003EA,B12002I_004MA,B12002I_004EA,B12002I_005EA,B12002I_005MA,B12002I_006EA,B12002I_006MA,B12002I_007EA,B12002I_007MA,B12002I_008EA,B12002I_008MA,B12002I_009MA,B12002I_009EA,B12002I_010EA,B12002I_010MA,B12002I_011EA,B12002I_011MA,B12002I_012MA,B12002I_012EA,B12002I_013MA,B12002I_013EA,state
0400000US01,127219,2529,71242,2911,32582,3423,33422,2668,1160,581,397,325,3681,972,55977,3121,19296,2850,28201,2816,1854,1035,2365,815,4261,1500,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,28672,497,14016,571,5331,1023,7040,810,261,229,283,241,1101,465,14656,503,4687,882,7400,952,275,219,236,124,2058,566,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1353989,508,677567,1011,304004,7235,295573,7542,15702,2719,7942,1543,54346,4677,676422,1082,259278,7458,279761,8307,25744,3828,36055,3136,75584,5370,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,123194,1845,67656,2008,26049,2497,35290,2680,1467,690,507,540,4343,1423,55538,1478,19088,2021,29604,2148,2112,859,1349,676,3385,1267,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,10380956,893,5231831,1537,2468615,16069,2275788,20763,123801,6297,66122,3924,297505,10078,5149125,1662,2051563,17658,2201307,22707,211876,8520,261474,7701,422905,12799,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,744139,1587,379383,1785,152560,5089,182198,5121,8188,1744,5784,1364,30653,3040,364756,1379,126397,4355,165240,4906,13313,2019,19773,2233,40033,3877,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,357883,229,177340,726,91293,3074,66572,3370,4343,1241,1762,674,13370,1990,180543,683,80429,3155,60343,3504,10262,1741,6553,1114,22956,2212,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,51580,258,26710,317,12815,1168,11962,1490,607,478,402,288,924,588,24870,392,10637,1394,10274,1251,751,450,1005,496,2203,859,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,46922,-555555555,24661,279,15097,1127,7598,1287,365,413,312,255,1289,720,22261,279,11223,1121,6987,1185,828,497,850,344,2373,691,District of Columbia,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3423449,2470,1680425,3740,684910,9736,755573,11282,52800,5435,30179,3429,156963,7897,1743024,3593,544269,11238,736929,14067,76829,6689,142138,6655,242859,10416,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,599480,5300,329314,4451,144965,6729,156940,6477,10115,2613,2193,1024,15101,2424,270166,3644,101761,5902,133699,5481,8689,2339,8033,1909,17984,3177,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,87018,314,44086,537,21439,1573,17944,1668,880,559,560,302,3263,905,42932,617,17834,1709,17031,1597,1406,899,2674,772,3987,990,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,118598,1066,62645,1177,27277,2005,28530,1902,682,543,450,285,5706,1296,55953,1299,20664,1839,26630,1947,1364,764,1690,669,5605,1353,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,1456935,2052,754272,1716,346383,5356,345887,6613,14399,1874,7376,1389,40227,3817,702663,2192,277049,7193,313174,7446,23375,2828,31147,2678,57918,3722,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,261851,2579,139893,2674,64220,3753,61898,3453,3082,978,910,441,9783,1832,121958,2245,50210,2825,53098,2976,4481,1250,4420,932,9749,1708,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,99062,1251,52265,1681,25989,2118,20439,2135,1399,493,762,397,3676,1147,46797,1256,20046,1779,19545,1799,1679,657,1869,577,3658,924,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,199876,1217,104274,1417,44910,2436,48166,2318,2815,828,1335,513,7048,1206,95602,1446,33751,2159,43943,2538,3441,945,3886,1124,10581,1768,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,85884,2051,46877,1689,21588,2106,18699,2129,2256,800,494,645,3840,1253,39007,1793,15090,1801,16886,1501,950,494,1391,687,4690,1472,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,149694,2067,82839,1885,38705,2975,34009,3193,2204,728,1139,539,6782,1753,66855,1866,21917,2622,28912,2470,3431,1182,5130,1196,7465,1579,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,12001,573,5036,764,2656,700,2018,584,55,80,96,117,211,203,6965,781,2991,508,2743,574,43,73,626,366,562,382,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,353857,1371,185605,1580,88361,3200,80392,3855,5115,1498,1838,650,9899,1729,168252,1221,70943,3625,68837,3897,6494,1527,5773,1184,16205,2564,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,470657,336,228633,771,123142,4017,79709,3784,7684,1489,2953,907,15145,2046,242024,780,115951,3613,74780,3178,17183,2067,9672,1030,24438,2426,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,300858,1405,152558,1862,71682,2689,61298,3000,3126,1002,1691,538,14761,1826,148300,1609,57361,2988,64485,2929,4579,912,6293,1012,15582,2203,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,166712,1901,89015,1773,42735,2358,36302,2381,3479,1121,471,427,6028,1177,77697,1573,31933,1782,33228,2098,4068,1049,2894,855,5574,1105,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,56320,2998,33968,2520,14645,2003,16271,2046,901,457,297,273,1854,657,22352,1624,6962,1327,11591,1423,546,440,1299,671,1954,836,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,143865,2196,75710,2155,34676,2324,33967,2325,1513,687,643,366,4911,1101,68155,1903,26624,1887,31540,1738,2026,696,2265,678,5700,1296,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,19060,1523,9076,1322,4449,1090,3821,965,88,137,176,184,542,296,9984,956,3711,826,3988,921,83,126,825,465,1377,607,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,111392,1401,58107,1515,23764,1818,28102,1999,1208,629,795,449,4238,1109,53285,1220,18834,1735,26481,1821,1421,586,1535,588,5014,1127,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,513515,781,263285,717,112761,4492,120429,4654,7384,2585,2063,933,20648,3260,250230,886,91870,4027,111269,4741,12556,2681,10720,1665,23815,3178,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,26687,832,13369,1069,6877,1072,5148,921,429,398,183,191,732,383,13318,943,5240,1016,5609,910,80,130,543,323,1846,547,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,1204524,606,604381,935,286373,6564,253566,6545,18028,2564,6940,1498,39474,3263,600143,806,237619,5503,232301,6110,31312,2841,33611,2713,65300,4431,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,716217,1039,352814,1125,140942,4488,159491,4657,5140,1078,7260,1421,39981,2935,363403,1259,124221,4439,151947,6167,11352,2187,28450,2401,47433,3373,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,2679284,1630,1311788,1808,671653,10347,486836,10399,45171,3611,20599,2903,87529,5492,1367496,1411,589769,8974,460050,10075,86656,4207,79954,4213,151067,6194,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,544785,3601,296553,4056,144703,5841,126700,4947,10180,2442,2052,839,12918,2476,248232,3689,92654,4469,116176,5142,13564,2743,8404,1643,17434,3257,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,9739,767,5619,943,2469,714,2771,710,40,56,48,64,291,245,4120,770,1445,645,2089,529,244,235,0,143,342,337,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,244864,1771,127470,1971,58041,3059,54273,2900,2701,813,1215,460,11240,1515,117394,1804,47510,2213,45524,2647,3369,970,5228,985,15763,1904,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,226884,1411,123914,1545,51508,2675,58046,2838,3142,936,1559,601,9659,1572,102970,1391,32735,2538,52413,2423,3742,873,3720,919,10360,1489,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,308403,1002,161485,1543,69216,3687,77865,4250,3864,1209,1021,538,9519,1834,146918,1675,54432,2608,71294,3053,4746,1161,4759,1045,11687,2244,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,524635,1729,269563,2320,141827,4476,96348,4629,8702,1765,3549,992,19137,2550,255072,1815,118981,3003,84567,3650,14105,2014,13110,1816,24309,2057,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,95788,274,46654,426,23097,1850,18149,2094,1352,691,108,132,3948,1227,49134,397,21090,1914,17280,2047,3653,922,1867,686,5244,1188,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,165100,2801,95075,2626,46031,4153,40974,3320,3389,1156,498,291,4183,1216,70025,1843,22362,2432,35075,2771,4578,1590,2460,918,5550,1549,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,15737,1163,8886,1357,4640,1124,2576,630,320,247,88,86,1262,580,6851,995,2993,730,2864,620,455,392,40,52,499,274,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,197931,2792,109589,2819,50021,3876,49345,3253,3463,1235,1309,658,5451,1305,88342,2789,28269,2823,43555,2700,3949,1213,3966,1249,8603,1863,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,6907199,2708,3465964,3597,1405899,13851,1648464,17858,104158,7682,54095,3962,253348,11334,3441235,3425,1145223,15539,1596080,18124,166886,8754,199084,7167,333962,11000,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,245152,1061,127215,1027,53604,3316,60672,3582,3471,1024,1225,510,8243,1438,117937,1245,40504,2755,61298,2885,4495,1190,3103,862,8537,1596,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,6846,591,3452,490,1557,502,1563,481,156,148,51,91,125,140,3394,532,1790,536,1273,464,0,145,19,38,312,186,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,467608,2807,244574,3208,110158,5312,112075,5303,7216,1585,2020,815,13105,2314,223034,2699,81000,4012,105090,4321,10152,2230,8183,1666,18609,2514,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
