GEO_ID,B11004_001E,B11004_001M,B11004_002E,B11004_002M,B11004_003E,B11004_003M,B11004_004E,B11004_004M,B11004_005E,B11004_005M,B11004_006E,B11004_006M,B11004_007E,B11004_007M,B11004_008E,B11004_008M,B11004_009E,B11004_009M,B11004_010E,B11004_010M,B11004_011E,B11004_011M,B11004_012E,B11004_012M,B11004_013E,B11004_013M,B11004_014E,B11004_014M,B11004_015E,B11004_015M,B11004_016E,B11004_016M,B11004_017E,B11004_017M,B11004_018E,B11004_018M,B11004_019E,B11004_019M,B11004_020E,B11004_020M,NAME,B11004_001EA,B11004_001MA,B11004_002EA,B11004_002MA,B11004_003EA,B11004_003MA,B11004_004EA,B11004_004MA,B11004_005EA,B11004_005MA,B11004_006MA,B11004_006EA,B11004_007MA,B11004_007EA,B11004_008EA,B11004_008MA,B11004_009EA,B11004_009MA,B11004_010EA,B11004_010MA,B11004_011MA,B11004_011EA,B11004_012MA,B11004_012EA,B11004_013EA,B11004_013MA,B11004_014EA,B11004_014MA,B11004_015EA,B11004_015MA,B11004_016EA,B11004_016MA,B11004_017MA,B11004_017EA,B11004_018EA,B11004_018MA,B11004_019EA,B11004_019MA,B11004_020EA,B11004_020MA,state
0400000US01,1251795,13646,889810,13277,362406,9179,83174,5608,74200,4466,205032,6798,527404,8247,361985,11523,79578,5409,42883,4000,12164,2092,4902,1291,25817,3365,36695,3226,282407,9437,186008,7643,45802,3298,35977,3435,104229,5612,96399,5078,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,173279,4602,127277,4123,59549,3220,13995,1512,16431,2158,29123,2463,67728,2970,46002,2663,15744,1682,11285,1636,3649,1135,2190,820,5446,1036,4459,918,30258,2250,22725,1969,6046,1353,4231,816,12448,1538,7533,1141,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1543923,17041,1110350,16463,463846,13190,102371,7005,117582,7023,243893,8721,646504,12420,433573,12273,127496,7010,80124,6008,20670,2798,14472,2388,44982,4729,47372,3998,306077,10468,210915,9295,40449,4990,51466,3904,119000,6265,95162,6023,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,757205,8841,556108,8896,222505,6601,52301,3589,49017,3355,121187,5211,333603,7016,201097,7113,48001,3822,28867,3321,6896,1691,5547,1223,16424,2277,19134,2332,153096,5798,107280,5062,23893,3138,20916,2639,62471,3508,45816,3347,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8518518,30469,6059185,36520,3004844,23483,680201,13732,719216,12388,1605427,20982,3054341,26786,2459333,27065,748432,13450,419633,11110,108588,5466,84804,5221,226241,8348,328799,9355,1710901,22132,1088025,19400,213992,7588,244159,9034,629874,14316,622876,11965,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1256471,12018,970556,12220,440114,10293,104657,5802,99548,4955,235909,7070,530442,8813,285915,8136,87794,5768,57414,5123,17264,2756,8684,1713,31466,3001,30380,3026,198121,6189,134097,4689,30675,2716,26845,2453,76577,4833,64024,3922,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,893101,9280,660299,8937,286695,6892,64167,3746,52175,3362,170353,5901,373604,8147,232802,6766,53467,3560,27259,2552,6744,1802,4597,1148,15918,2060,26208,2220,179335,5716,117109,4463,23499,2403,25021,2591,68589,3747,62226,3796,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,227101,3932,161755,3367,65248,2903,15313,1813,11895,1561,38040,2672,96507,3093,65346,3593,18685,2563,11687,2003,4144,1231,1564,651,5979,1466,6998,1366,46661,3154,29498,2880,6187,1235,5708,1188,17603,2481,17163,1887,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,114045,3666,57247,3022,20883,1794,9054,1222,3230,716,8599,1430,36364,2585,56798,3347,11128,1753,5648,1256,1924,756,555,380,3169,891,5480,1216,45670,2779,27741,2436,6039,1241,5558,1276,16144,2033,17929,1972,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4559858,26881,3293055,25616,1211289,18811,268914,9349,240486,9856,701889,14845,2081766,20109,1266803,19197,324085,10065,177289,8322,54790,4931,26005,3513,96494,6652,146796,6409,942718,16455,598176,14920,124674,6328,111616,7250,361886,11511,344542,10413,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
