GEO_ID,C17010I_001E,C17010I_001M,C17010I_002E,C17010I_002M,C17010I_003E,C17010I_003M,C17010I_004E,C17010I_004M,C17010I_005E,C17010I_005M,C17010I_006E,C17010I_006M,C17010I_007E,C17010I_007M,C17010I_008E,C17010I_008M,C17010I_009E,C17010I_009M,C17010I_010E,C17010I_010M,C17010I_011E,C17010I_011M,C17010I_012E,C17010I_012M,C17010I_013E,C17010I_013M,C17010I_014E,C17010I_014M,C17010I_015E,C17010I_015M,C17010I_016E,C17010I_016M,C17010I_017E,C17010I_017M,NAME,C17010I_001MA,C17010I_001EA,C17010I_002EA,C17010I_002MA,C17010I_003EA,C17010I_003MA,C17010I_004EA,C17010I_004MA,C17010I_005MA,C17010I_005EA,C17010I_006MA,C17010I_006EA,C17010I_007EA,C17010I_007MA,C17010I_008EA,C17010I_008MA,C17010I_009EA,C17010I_009MA,C17010I_010MA,C17010I_010EA,C17010I_011MA,C17010I_011EA,C17010I_012MA,C17010I_012EA,C17010I_013EA,C17010I_013MA,C17010I_014EA,C17010I_014MA,C17010I_015EA,C17010I_015MA,C17010I_016MA,C17010I_016EA,C17010I_017MA,C17010I_017EA,state
0400000US01,35710,2510,10573,1627,5998,1453,5754,1431,4575,1060,1022,629,649,433,3553,929,3235,949,25137,2705,18023,2470,11297,2019,7114,1678,3899,1319,2160,950,3215,1085,1948,790,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,7516,1075,438,242,229,166,128,138,209,193,0,149,0,149,209,193,209,193,7078,1106,4862,1160,3275,966,2216,673,701,454,609,425,1515,548,1047,440,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,397755,7689,105694,5419,42042,3710,35916,3447,63652,4913,13496,2252,11365,2021,50156,4161,46037,4265,292061,8720,193476,7573,116895,6291,98585,6446,35572,4469,22940,3683,63013,5149,41559,4574,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,36246,2037,10704,2219,5298,1610,4691,1428,5406,1550,1274,635,1184,609,4132,1262,3956,1213,25542,2574,20593,2311,14818,2251,4949,1450,2253,1053,1213,568,2696,971,2114,907,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,2814834,17521,589389,11803,260949,7989,224560,7357,328440,8776,72345,4737,62826,4484,256095,8057,233655,7234,2225445,18028,1518514,20703,992634,16433,706931,15059,263408,9502,155825,8002,443523,11716,282388,9598,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,223554,5117,45076,3150,18304,2433,16255,2393,26772,2524,5199,1479,4394,1342,21573,2339,20381,2364,178478,5661,126374,5310,75871,4399,52104,4083,19193,2620,12282,2307,32911,3156,22366,2694,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,104550,3271,26812,2627,5268,1321,4250,1154,21544,2350,2961,911,2485,834,18583,2197,16648,2050,77738,3155,46048,2729,28632,2480,31690,2808,7808,1468,4149,1381,23882,2430,17099,2159,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,16061,1391,2710,792,539,320,539,320,2171,772,784,483,784,483,1387,592,1293,588,13351,1494,9529,1278,6097,1160,3822,1101,1574,819,1044,597,2248,724,1267,698,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,10935,1328,1601,708,441,493,419,489,1160,649,571,466,571,466,589,426,469,375,9334,1181,5216,1217,2239,765,4118,1082,1872,780,1679,809,2246,661,1384,568,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,941238,13850,180475,7793,84130,5629,56822,4663,96345,6176,20293,3211,15047,2661,76052,5456,63480,4783,760763,14631,529986,11129,263441,9088,230777,10133,71130,5374,32726,3996,159647,8634,89883,7195,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,162792,6433,54029,6015,33642,4048,29668,3690,20387,3439,6500,1763,6042,1721,13887,2983,12992,2883,108763,6427,76971,6176,55247,5416,31792,3990,14943,2984,9208,2250,16849,2831,11463,2657,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,21100,1609,3372,1013,754,598,666,581,2618,796,886,692,886,692,1732,564,1538,559,17728,1689,12688,1523,6734,1005,5040,887,1216,493,789,418,3824,819,2600,667,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
