GEO_ID,C16007_001E,C16007_001M,C16007_002E,C16007_002M,C16007_003E,C16007_003M,C16007_004E,C16007_004M,C16007_005E,C16007_005M,C16007_006E,C16007_006M,C16007_007E,C16007_007M,C16007_008E,C16007_008M,C16007_009E,C16007_009M,C16007_010E,C16007_010M,C16007_011E,C16007_011M,C16007_012E,C16007_012M,C16007_013E,C16007_013M,NAME,C16007_001MA,C16007_001EA,C16007_002EA,C16007_002MA,C16007_003EA,C16007_003MA,C16007_004EA,C16007_004MA,C16007_005EA,C16007_005MA,C16007_006MA,C16007_006EA,C16007_007MA,C16007_007EA,C16007_008EA,C16007_008MA,C16007_009EA,C16007_009MA,C16007_010EA,C16007_010MA,C16007_011EA,C16007_011MA,C16007_012MA,C16007_012EA,C16007_013MA,C16007_013EA,state
0400000US01,4504275,2738,825923,3198,777820,4756,36128,4271,11975,1629,3004562,3178,2831664,6448,111993,5691,60905,3649,673790,2282,658961,2217,5724,1310,9105,1574,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,668687,875,134192,720,112839,3051,4713,1532,16640,2477,476128,1163,396920,3679,19263,1627,59945,3249,58367,1122,47609,995,1207,362,9551,1054,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6034541,2472,1176060,2861,824939,11423,298676,9512,52445,5015,3935328,1950,2812338,19895,846605,15620,276385,10130,923153,1822,767411,4358,97594,3023,58148,4237,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2740313,2124,513520,2544,461128,3856,42988,3029,9404,1565,1798168,2515,1655548,5737,102403,4355,40217,3536,428625,1855,418971,2013,3697,1003,5957,1236,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,35158257,2934,6733781,3245,3671276,27317,2387446,24363,675059,17062,24026423,3740,13219366,43625,7043015,34501,3764042,26502,4398053,3381,2877404,12352,694094,7009,826555,9907,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4775755,1953,887536,2189,712513,8207,138261,7514,36762,4077,3312722,2573,2761941,12764,376073,10493,174708,8318,575497,1786,502378,3672,44429,2091,28690,2757,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3384503,1187,607414,1207,488411,6376,71753,4110,47250,4404,2261775,1182,1740431,8894,273510,4524,247834,8141,515314,1188,431635,3507,22553,1040,61126,3535,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,851887,253,149377,487,127656,2635,14106,1778,7615,1771,568598,845,485517,4348,44782,2892,38299,3462,133912,740,122997,1961,1874,882,9041,1921,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,581764,153,69248,176,59164,1598,6819,1316,3265,873,442778,372,371424,4665,32612,2670,38742,3950,69738,261,63660,1042,2420,608,3658,838,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,17983218,4530,2920626,5253,2104241,15653,631119,12965,185266,10320,11703197,5525,8229881,26239,2569848,16941,903468,20133,3359395,4858,2689910,11066,445791,6006,223694,8297,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,9141183,5010,1814042,5808,1547884,10423,182367,7413,83791,6571,6251246,5515,5368117,15611,512230,9738,370899,12843,1075895,4241,1010399,5607,20530,2510,44966,4090,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
