GEO_ID,C16008_001E,C16008_001M,C16008_002E,C16008_002M,C16008_003E,C16008_003M,C16008_004E,C16008_004M,C16008_005E,C16008_005M,C16008_006E,C16008_006M,C16008_007E,C16008_007M,C16008_008E,C16008_008M,C16008_009E,C16008_009M,C16008_010E,C16008_010M,C16008_011E,C16008_011M,C16008_012E,C16008_012M,C16008_013E,C16008_013M,C16008_014E,C16008_014M,C16008_015E,C16008_015M,C16008_016E,C16008_016M,C16008_017E,C16008_017M,C16008_018E,C16008_018M,C16008_019E,C16008_019M,C16008_020E,C16008_020M,C16008_021E,C16008_021M,C16008_022E,C16008_022M,C16008_023E,C16008_023M,NAME,C16008_001EA,C16008_001MA,C16008_002EA,C16008_002MA,C16008_003EA,C16008_003MA,C16008_004MA,C16008_004EA,C16008_005MA,C16008_005EA,C16008_006EA,C16008_006MA,C16008_007EA,C16008_007MA,C16008_008EA,C16008_008MA,C16008_009MA,C16008_009EA,C16008_010MA,C16008_010EA,C16008_011MA,C16008_011EA,C16008_012EA,C16008_012MA,C16008_013EA,C16008_013MA,C16008_014EA,C16008_014MA,C16008_015MA,C16008_015EA,C16008_016MA,C16008_016EA,C16008_017EA,C16008_017MA,C16008_018EA,C16008_018MA,C16008_019EA,C16008_019MA,C16008_020MA,C16008_020EA,C16008_021MA,C16008_021EA,C16008_022MA,C16008_022EA,C16008_023EA,C16008_023MA,state
0400000US01,4504275,2738,4400470,6078,815484,3264,776457,4716,39027,4874,28574,4305,10453,2563,3584986,5371,3480894,6895,104092,5529,77057,5293,27035,2997,103805,5894,10439,2241,1363,575,9076,2148,6104,2006,2972,1019,93366,5295,9731,1913,83635,5026,18951,2317,64684,4896,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,668687,875,643919,3699,130945,1703,112555,3075,18390,2335,15292,2246,3098,1085,512974,2538,441152,4182,71822,3836,53750,3279,18072,2211,24768,3564,3247,1534,284,257,2963,1511,1548,976,1415,849,21521,2511,3377,1028,18144,2278,6472,1553,11672,1814,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6034541,2472,5495559,16476,1127944,6421,821660,11291,306284,11561,254811,10629,51473,4969,4367615,14008,3519970,20045,847645,21160,643613,18890,204032,9658,538982,16094,48116,5974,3279,1291,44837,5597,31921,4698,12916,2468,490866,14173,59779,5024,431087,12825,137584,8330,293503,10449,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2740313,2124,2649641,5960,501772,3559,461043,3861,40729,3373,29864,3329,10865,1962,2147869,4830,2066280,6033,81589,4967,53843,4649,27746,3205,90672,5853,11748,2375,85,139,11663,2380,7725,2405,3938,1599,78924,4700,8239,1687,70685,4772,20617,3456,50068,3975,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,35158257,2934,29770225,46420,6345433,15895,3648486,27623,2696947,27911,2187768,27109,509179,13608,23424792,40576,15766568,45127,7658224,42128,4991190,35418,2667034,25864,5388032,46033,388348,15244,22790,2971,365558,14478,230732,10965,134826,6706,4999684,40423,330202,10478,4669482,40409,1163850,22784,3505632,35571,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4775755,1953,4462468,12431,858576,4148,711194,8300,147382,7767,123307,7733,24075,2815,3603892,10637,3234180,13686,369712,10300,278536,9080,91176,4880,313287,12666,28960,3545,1319,640,27641,3509,20219,3162,7422,1575,284327,10884,30139,3125,254188,10460,73271,6690,180917,7865,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3384503,1187,3145748,10333,588070,3013,485070,6500,103000,5608,88907,5205,14093,2164,2557678,9173,2133994,10014,423684,10882,284031,9086,139653,6577,238755,10283,19344,2630,3341,1032,16003,2548,9793,1847,6210,1808,219411,9193,38072,3578,181339,8279,62291,4877,119048,7748,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,851887,253,808514,4512,146977,1405,127197,2640,19780,2137,15652,2248,4128,1027,661537,3815,602748,5163,58789,5549,43322,4183,15467,2691,43373,4397,2400,1201,459,368,1941,1150,1157,1028,784,527,40973,3813,5766,1329,35207,3618,15147,2646,20060,2809,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,581764,153,530827,4363,66771,936,58444,1603,8327,1531,7743,1464,584,398,464056,3943,420245,4869,43811,3639,35483,3340,8328,1839,50937,4360,2477,924,720,596,1757,791,1169,538,588,491,48460,3953,14839,2704,33621,3483,19016,2555,14605,2447,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,17983218,4530,16130428,35389,2770815,10225,2087013,15810,683802,16582,577644,15712,106158,8317,13359613,32141,10656279,26061,2703334,32332,1778906,28225,924428,22595,1852790,35395,149811,8482,17228,3045,132583,7422,84751,5879,47832,4782,1702979,31459,263512,12428,1439467,29587,383918,14559,1055549,24959,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
