GEO_ID,C17012_001E,C17012_001M,C17012_002E,C17012_002M,C17012_003E,C17012_003M,C17012_004E,C17012_004M,C17012_005E,C17012_005M,C17012_006E,C17012_006M,C17012_007E,C17012_007M,C17012_008E,C17012_008M,C17012_009E,C17012_009M,C17012_010E,C17012_010M,C17012_011E,C17012_011M,NAME,C17012_001EA,C17012_001MA,C17012_002EA,C17012_002MA,C17012_003EA,C17012_003MA,C17012_004MA,C17012_004EA,C17012_005EA,C17012_005MA,C17012_006EA,C17012_006MA,C17012_007EA,C17012_007MA,C17012_008EA,C17012_008MA,C17012_009MA,C17012_009EA,C17012_010MA,C17012_010EA,C17012_011MA,C17012_011EA,state
0400000US01,1251795,13646,185909,6956,44960,3284,100520,5379,34635,3497,5794,1341,1065886,12576,615538,9309,379918,8846,66900,5070,3530,1179,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,173279,4602,12024,1704,1529,532,6570,1285,2443,609,1482,536,161255,4646,78191,3608,61787,3762,19069,2362,2208,617,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1543923,17041,217603,9605,45008,3312,106556,7562,55386,4125,10653,1879,1326320,15922,744030,12986,457512,12507,116098,6709,8680,1886,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,757205,8841,112534,5422,27889,2836,59177,4009,21923,2585,3545,1128,644671,9383,370664,7130,234235,6348,38169,2888,1603,564,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8518518,30469,1056152,15484,219000,7664,524825,11121,271023,8311,41304,3510,7462366,32642,3787016,27553,2975165,21641,644728,12414,55457,4247,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1256471,12018,114546,5172,23299,2552,58504,4264,27491,2713,5252,1570,1141925,11786,601547,9908,438935,9443,93528,5714,7915,2172,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,893101,9280,70551,4637,15169,1953,38516,3458,15043,2081,1823,822,822550,9225,446869,8145,313405,7844,60011,3492,2265,689,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,227101,3932,18261,1977,4145,881,9730,1802,3706,1008,680,375,208840,3727,116523,3715,77198,3956,14290,1867,829,416,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,114045,3666,17608,2027,4452,944,8854,1435,3963,1116,339,343,96437,3750,55321,2978,36080,2299,4837,1001,199,194,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4559858,26881,564395,15175,159847,8041,284725,10993,102364,6044,17459,2421,3995463,26744,2413257,22138,1350465,18378,220469,9555,11272,1848,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
