GEO_ID,C18107_001E,C18107_001M,C18107_002E,C18107_002M,C18107_003E,C18107_003M,C18107_004E,C18107_004M,C18107_005E,C18107_005M,C18107_006E,C18107_006M,C18107_007E,C18107_007M,C18107_008E,C18107_008M,C18107_009E,C18107_009M,C18107_010E,C18107_010M,C18107_011E,C18107_011M,C18107_012E,C18107_012M,C18107_013E,C18107_013M,C18107_014E,C18107_014M,C18107_015E,C18107_015M,NAME,C18107_001EA,C18107_001MA,C18107_002EA,C18107_002MA,C18107_003MA,C18107_003EA,C18107_004MA,C18107_004EA,C18107_005MA,C18107_005EA,C18107_006EA,C18107_006MA,C18107_007MA,C18107_007EA,C18107_008MA,C18107_008EA,C18107_009MA,C18107_009EA,C18107_010MA,C18107_010EA,C18107_011MA,C18107_011EA,C18107_012EA,C18107_012MA,C18107_013EA,C18107_013MA,C18107_014EA,C18107_014MA,C18107_015MA,C18107_015EA,state
0400000US01,3597942,3382,1693791,4266,1414698,4262,71816,4296,1342882,6184,279093,1597,42619,2782,236474,2939,1904151,3559,1529326,3226,86703,5751,1442623,6226,374825,1967,85864,3341,288961,3724,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,511564,1925,257727,1954,229987,2044,5774,1329,224213,2280,27740,691,3447,834,24293,900,253837,1109,224593,1324,6302,1338,218291,1749,29244,918,5049,846,24195,1233,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,4756450,2424,2311277,3280,1892465,3160,64083,5207,1828382,5778,418812,1439,41507,3515,377305,3508,2445173,2693,1952969,2665,74584,5571,1878385,5852,492204,1546,79814,5330,412390,5827,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2176324,1917,1045720,2915,864243,2843,39564,3103,824679,3751,181477,1394,24370,2220,157107,2262,1130604,2709,899485,2675,50714,3460,848771,4197,231119,1618,45845,2298,185274,2811,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,27909323,5329,13605520,6857,11716855,6623,325162,10023,11391693,11200,1888665,2997,256050,6134,1632615,6801,14303803,4825,11890613,4441,371888,10190,11518725,10173,2413190,2783,534191,8528,1878999,8909,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3798057,3075,1868824,3663,1618210,3693,39132,4053,1579078,5384,250614,1187,23377,1841,227237,2562,1929233,2919,1620615,3014,45923,3539,1574692,4542,308618,1578,50938,3074,257680,3327,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2720359,1220,1296882,1995,1084991,1817,30299,2496,1054692,3078,211891,1346,24144,2080,187747,2402,1423477,1714,1142307,1643,34693,2904,1107614,2866,281170,1372,49324,3155,231846,3320,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,687837,960,324598,1184,267093,1107,7375,1333,259718,1684,57505,652,6172,1123,51333,1357,363239,884,290684,969,13001,1963,277683,2261,72555,728,12416,1339,60139,1326,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,502853,418,231715,833,204647,794,5602,1105,199045,1361,27068,387,3367,1027,23701,1038,271138,727,230511,708,6267,1230,224244,1307,40627,548,9269,1352,31358,1363,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,14765348,4813,7048899,6866,5576083,6738,210091,9688,5365992,11144,1472816,3748,164180,6786,1308636,7940,7716449,5738,5892404,5507,206770,8768,5685634,11610,1824045,4157,319019,8568,1505026,8740,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,7135025,4919,3375159,4794,2927425,4689,108808,6226,2818617,7848,447734,3059,56267,3475,391467,4345,3759866,4133,3161513,4850,129872,6605,3031641,7948,598353,3153,129593,5631,468760,5826,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1021988,2428,493246,2568,405415,2400,10942,1866,394473,2680,87831,795,11181,1280,76650,1233,528742,1406,418293,1442,10405,1707,407888,2021,110449,862,20218,1622,90231,1719,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1138581,1394,562177,2616,469860,2439,14974,1896,454886,2776,92317,1051,10375,1511,81942,1750,576404,2238,468671,2378,17382,2435,451289,3551,107733,1470,18566,2448,89167,2732,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
