GEO_ID,C18130_001E,C18130_001M,C18130_002E,C18130_002M,C18130_003E,C18130_003M,C18130_004E,C18130_004M,C18130_005E,C18130_005M,C18130_006E,C18130_006M,C18130_007E,C18130_007M,C18130_008E,C18130_008M,C18130_009E,C18130_009M,C18130_010E,C18130_010M,C18130_011E,C18130_011M,C18130_012E,C18130_012M,C18130_013E,C18130_013M,C18130_014E,C18130_014M,C18130_015E,C18130_015M,C18130_016E,C18130_016M,C18130_017E,C18130_017M,C18130_018E,C18130_018M,C18130_019E,C18130_019M,C18130_020E,C18130_020M,C18130_021E,C18130_021M,C18130_022E,C18130_022M,NAME,C18130_001EA,C18130_001MA,C18130_002EA,C18130_002MA,C18130_003MA,C18130_003EA,C18130_004MA,C18130_004EA,C18130_005MA,C18130_005EA,C18130_006MA,C18130_006EA,C18130_007EA,C18130_007MA,C18130_008EA,C18130_008MA,C18130_009MA,C18130_009EA,C18130_010MA,C18130_010EA,C18130_011MA,C18130_011EA,C18130_012EA,C18130_012MA,C18130_013EA,C18130_013MA,C18130_014EA,C18130_014MA,C18130_015MA,C18130_015EA,C18130_016MA,C18130_016EA,C18130_017MA,C18130_017EA,C18130_018EA,C18130_018MA,C18130_019EA,C18130_019MA,C18130_020EA,C18130_020MA,C18130_021MA,C18130_021EA,C18130_022MA,C18130_022EA,state
0400000US01,4673858,3005,1112128,3173,53742,4136,20691,2606,33051,3431,1058386,5303,286282,10902,772104,10930,2907812,3965,431219,12608,127039,6914,304180,10580,2476593,13295,390485,12706,2086108,17721,653918,2352,277639,5687,38378,2545,239261,5534,376279,5898,29096,2441,347183,6223,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,694928,2150,185165,972,5062,1196,829,354,4233,1136,180103,1562,26112,3939,153991,3814,452779,2063,43866,3009,8989,1672,34877,2646,408913,3613,34189,2533,374724,4468,56984,1124,24219,1752,1879,628,22340,1654,32765,1868,1683,488,31082,1889,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6326436,4595,1597696,4361,54837,5197,17588,2604,37249,4352,1542859,7180,417362,19679,1125497,20839,3817724,2595,374241,12547,102486,6860,271755,10724,3443483,12703,588206,20943,2855277,23422,911016,1963,301231,8229,35524,2597,265707,7827,609785,8526,42335,3752,567450,8627,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2851802,2423,699537,2621,37147,3735,14068,2230,23079,2791,662390,4254,182470,8899,479920,9589,1739669,2791,268134,7445,79699,4839,188435,6118,1471535,7429,236432,10108,1235103,11887,412596,2012,177930,4519,25207,2191,152723,4879,234666,5032,17944,1908,216722,5188,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,36867154,9004,9127413,8231,282537,9685,87011,5980,195526,7978,8844876,12177,1997511,32085,6847365,33836,23437886,7146,1874472,24037,503487,15676,1370985,21042,21563414,23555,3097121,43095,18466293,44415,4301855,3714,1581228,17800,214807,7836,1366421,17900,2720627,17646,217505,8039,2503122,18611,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4982341,3771,1213679,3498,43337,4201,11605,2489,31732,3272,1170342,5690,205444,11146,964898,12692,3209430,3824,280347,8212,67280,4499,213067,7992,2929083,9051,346126,12219,2582957,11003,559232,2003,189417,4497,20192,2048,169225,4360,369815,5053,23385,1864,346430,5306,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3467152,1947,794737,1448,28862,2941,7822,1653,21040,2238,765875,3306,110987,8130,654888,8665,2179354,1916,184138,5983,45976,3767,138162,5728,1995216,6375,179319,9449,1815897,10583,493061,1525,162610,5163,15894,2090,146716,4760,330451,5250,17858,2105,312593,5060,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,879324,1571,201591,1415,8490,1678,1822,688,6668,1571,193101,2201,33394,4308,159707,4747,547673,1354,55539,4059,12472,2231,43067,3388,492134,4252,49570,4229,442564,5862,130060,874,43338,2580,3191,735,40147,2769,86722,2519,4245,921,82477,2504,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,583595,383,104750,419,5763,1321,2741,812,3022,868,98987,1308,29028,3797,69959,3695,411150,679,36004,3402,14168,2241,21836,2398,375146,3307,54987,4167,320159,5383,67695,543,24937,2118,4587,909,20350,2083,42758,2108,3852,887,38906,2125,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,18615924,5629,3933991,6715,149476,7142,49573,4528,99903,6129,3784515,10108,930429,26376,2854086,28971,11385072,6828,1129535,20514,318919,12802,810616,18341,10255537,21326,1545230,28591,8710307,33580,3296861,5344,1136372,16777,146712,6412,989660,15572,2160489,16153,181851,9501,1978638,17100,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,9518529,5986,2454763,5461,96750,7156,34202,4467,62548,5445,2358013,8561,612622,18883,1745391,20074,6017679,6600,661698,17045,196325,9443,465373,14306,5355981,18874,869291,24734,4486690,28936,1046087,4355,399412,9071,58335,4118,341077,7908,646675,8522,55708,4836,590967,8733,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
