GEO_ID,B16003_001E,B16003_001M,B16003_002E,B16003_002M,B16003_003E,B16003_003M,B16003_004E,B16003_004M,B16003_005E,B16003_005M,B16003_006E,B16003_006M,B16003_007E,B16003_007M,B16003_008E,B16003_008M,B16003_009E,B16003_009M,B16003_010E,B16003_010M,B16003_011E,B16003_011M,B16003_012E,B16003_012M,NAME,B16003_001MA,B16003_001EA,B16003_002MA,B16003_002EA,B16003_003EA,B16003_003MA,B16003_004EA,B16003_004MA,B16003_005EA,B16003_005MA,B16003_006MA,B16003_006EA,B16003_007EA,B16003_007MA,B16003_008MA,B16003_008EA,B16003_009MA,B16003_009EA,B16003_010MA,B16003_010EA,B16003_011MA,B16003_011EA,B16003_012EA,B16003_012MA,state
0400000US01,68636,7073,14009,2921,1509,946,9418,2609,163,207,2702,929,217,306,54627,5805,41257,4890,2773,1204,9148,1989,1449,810,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,13011,2711,2274,1051,382,275,104,111,677,810,512,320,599,363,10737,1958,1437,668,1257,823,5423,1323,2620,753,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,271796,16850,66623,7377,2662,975,54765,7000,1404,711,3599,1702,4193,1679,205173,11516,154550,10908,9183,2180,24875,3810,16565,2827,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,54674,7103,14379,2880,618,484,10726,2611,648,599,2387,1318,0,192,40295,5077,30389,4686,1704,857,8001,2148,201,223,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3473538,56249,746636,19618,31540,3276,573903,16622,21976,3595,110377,6564,8840,2185,2726902,43141,1673148,34653,223210,10716,780857,19369,49687,6715,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,162710,11268,38809,4628,1324,617,31511,4371,1699,1098,3679,1310,596,467,123901,8420,90776,7118,9327,2038,16832,2975,6966,2191,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,154591,11124,23780,3407,1889,779,14324,2495,4277,1629,2877,880,413,506,130811,9386,74788,7714,40621,4805,12613,2226,2789,1168,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,20058,3725,4632,1460,678,410,3227,995,38,63,640,594,49,84,15426,2867,8652,2134,3036,1491,3566,1146,172,217,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,11705,2485,1751,846,36,59,1343,799,40,68,169,208,163,123,9954,1996,6382,1758,1066,564,1353,652,1153,578,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,1238969,32648,194801,11115,13124,2731,148200,9838,23835,4388,8138,2172,1504,955,1044168,27805,826127,23185,156555,12510,47625,5584,13861,3767,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,334960,22313,82151,7405,3615,1458,61386,6268,3602,1697,12162,2834,1386,996,252809,16644,176102,14296,21120,4357,50179,6832,5408,2175,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,68736,7495,9519,2274,1785,916,508,613,0,187,7183,1986,43,73,59217,5898,1992,1211,568,431,56568,5893,89,149,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,31943,5365,8728,2527,940,1367,6519,2219,627,516,642,507,0,195,23215,3746,15467,2877,2332,1385,4170,1791,1246,1203,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,633532,21803,132713,9409,3245,1106,102547,7757,12669,3068,12099,2234,2153,1175,500819,15195,288862,12219,122249,9915,73471,6788,16237,4298,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,125984,9943,32562,3658,1756,637,23126,3119,4630,1833,2049,955,1001,938,93422,7520,60040,5991,14539,2702,16398,3017,2445,1380,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,50690,6028,14262,2738,358,341,9251,2032,1231,742,2031,699,1391,1283,36428,4001,23730,3196,3745,1192,7614,1462,1339,809,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,73545,6817,17348,2707,929,441,12584,2242,829,583,2153,693,853,959,56197,4853,38956,4457,3666,1211,11110,2610,2465,1339,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,49524,5749,12240,2499,1242,678,4948,1223,2617,1441,1805,1031,1628,974,37284,4205,21326,3495,6504,2019,6614,1813,2840,1145,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,69746,7555,10177,2240,1068,637,5641,1626,514,356,2688,835,266,246,59569,6111,34632,4625,9013,1605,14093,2689,1831,1244,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,7581,1388,708,386,135,193,203,149,33,55,168,171,169,202,6873,1283,736,514,3862,885,937,416,1338,811,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,167000,11851,28807,4009,2515,1173,17201,3612,2924,1301,5843,1315,324,284,138193,9213,67284,7282,24812,3476,38028,4493,8069,2278,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,326510,14763,54687,5347,6862,2002,26661,3508,9866,2114,9943,1933,1355,817,271823,11395,108762,7932,90355,7200,65179,5129,7527,2164,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
