GEO_ID,C12002D_001E,C12002D_001M,C12002D_002E,C12002D_002M,C12002D_003E,C12002D_003M,C12002D_004E,C12002D_004M,C12002D_005E,C12002D_005M,C12002D_006E,C12002D_006M,NAME,C12002D_001EA,C12002D_001MA,C12002D_002EA,C12002D_002MA,C12002D_003MA,C12002D_003EA,C12002D_004EA,C12002D_004MA,C12002D_005EA,C12002D_005MA,C12002D_006EA,C12002D_006MA,state
0400000US01,42647,1883,13154,1890,25384,2065,303,263,1644,739,2162,854,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,31270,1209,8591,1306,18073,1794,816,364,1223,437,2567,627,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,146590,3594,40865,3759,89605,4144,1814,1032,5035,1268,9271,1894,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,26107,1778,6915,1789,16648,2098,29,49,1312,595,1203,709,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,4154313,13307,1335065,14140,2312128,16756,61809,4253,212946,6189,232365,8244,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,112978,2903,33231,2613,67979,3291,1246,530,4400,1134,6122,1161,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,109791,1865,30757,2119,69392,2850,1366,541,2993,800,5283,1295,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,24208,1068,5191,972,17947,1368,151,164,488,353,431,382,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,21305,851,13319,1352,6531,1359,404,521,345,257,706,397,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,386514,5972,115702,5760,220745,6456,5604,1596,17972,2280,26491,3389,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,258570,5776,77017,4275,157753,6048,3643,1404,8358,1931,11799,2391,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,460857,7553,126728,5605,252098,6946,4225,931,42013,2473,35793,3038,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,16906,1781,3768,1115,12163,1719,187,201,678,449,110,122,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,486472,4631,146089,5255,295668,6296,5710,1703,19093,2285,19912,2447,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,81287,3116,28727,2410,45449,2819,834,360,2743,795,3534,1125,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,44672,1673,16451,1509,25214,1878,451,256,752,374,1804,569,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,52770,2205,17226,1986,30595,2146,651,539,1947,678,2351,610,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,38570,2397,12179,1864,22914,1904,340,256,1359,629,1778,652,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,57837,2159,20041,2156,31702,2275,1257,707,2417,674,2420,854,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,10659,1391,2907,712,5842,878,100,154,654,362,1156,615,Maine,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,267852,3083,78480,3433,166443,4868,3266,844,8748,1392,10915,1967,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,297071,3738,109796,4297,162062,4802,4460,1136,9242,1366,11511,1901,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,191704,3873,60189,2885,117634,3241,836,326,6970,969,6075,1174,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,161180,2359,61407,3332,83567,3206,3659,1003,4537,898,8010,1521,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,20286,2145,6477,1451,11943,2032,857,659,630,360,379,271,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,77824,2196,26373,2299,45132,2632,729,391,2343,658,3247,905,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,5161,1015,2313,910,2536,904,0,165,266,197,46,70,Montana,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,27428,1392,10497,1367,15225,1356,126,123,837,414,743,362,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,31
