GEO_ID,B12005_001E,B12005_001M,B12005_002E,B12005_002M,B12005_003E,B12005_003M,B12005_004E,B12005_004M,B12005_005E,B12005_005M,B12005_006E,B12005_006M,B12005_007E,B12005_007M,B12005_008E,B12005_008M,B12005_009E,B12005_009M,B12005_010E,B12005_010M,B12005_011E,B12005_011M,B12005_012E,B12005_012M,B12005_013E,B12005_013M,B12005_014E,B12005_014M,B12005_015E,B12005_015M,B12005_016E,B12005_016M,NAME,B12005_001MA,B12005_001EA,B12005_002EA,B12005_002MA,B12005_003EA,B12005_003MA,B12005_004EA,B12005_004MA,B12005_005MA,B12005_005EA,B12005_006MA,B12005_006EA,B12005_007EA,B12005_007MA,B12005_008EA,B12005_008MA,B12005_009EA,B12005_009MA,B12005_010MA,B12005_010EA,B12005_011MA,B12005_011EA,B12005_012EA,B12005_012MA,B12005_013EA,B12005_013MA,B12005_014EA,B12005_014MA,B12005_015MA,B12005_015EA,B12005_016MA,B12005_016EA,state
0400000US01,3874758,2952,1125936,15441,1078979,15135,46957,4730,1892769,25175,1805707,24188,87062,4892,103630,5817,100178,5743,3452,1209,273022,7480,268393,7340,4629,1107,479401,14591,470020,14243,9381,2012,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,565162,1193,182642,5351,171685,5727,10957,2039,279473,7536,250152,7548,29321,2749,11655,2056,10365,1978,1290,460,21329,1731,19283,1739,2046,579,70063,4553,65499,4548,4564,963,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5129409,1939,1647834,21707,1453936,21172,193898,9341,2447314,30437,1951919,28924,495395,13240,102398,7339,74301,5580,28097,3706,286175,9164,247421,8852,38754,3448,645688,17951,574974,15893,70714,5757,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2342376,2165,611820,12180,581546,11728,30274,3690,1200940,16856,1126633,16022,74307,4736,57339,4573,54627,4489,2712,978,158650,5756,154893,5667,3757,1017,313627,9050,307502,9127,6125,1323,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,30062390,3289,10916035,44301,8453408,42550,2462627,29903,13967231,66315,8114998,54337,5852233,47091,707823,15724,405481,11340,302342,10028,1552129,15235,1010839,12306,541290,12144,2919172,33426,2226027,28501,693145,16646,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4087156,2841,1262092,14577,1148748,15232,113344,7112,2080824,24016,1793003,22780,287821,8716,69334,5395,56831,5039,12503,2094,188820,6157,169461,5640,19359,2712,486086,13093,453326,12141,32760,3430,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2925822,761,969318,11988,856864,12061,112454,6601,1416436,16328,1151330,16590,265106,9095,47552,3899,35161,2991,12391,2173,180420,6355,154363,6042,26057,2362,312096,9148,271445,8505,40651,3883,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,737847,647,246171,5154,226635,5684,19536,3136,347487,6136,302941,6716,44546,3211,14121,1873,12792,1782,1329,621,46739,3022,43423,2861,3316,985,83329,4867,78665,4971,4664,1263,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,529068,414,307042,5840,268886,5670,38156,3610,132073,6368,102082,6369,29991,3244,12519,1956,10473,1683,2046,866,27913,2464,25169,2292,2744,690,49521,3673,42008,3389,7513,1446,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,15770265,5407,4899961,34106,4015511,36943,884450,21777,7286980,44538,5413907,45263,1873073,29904,415213,12740,272785,10783,142428,9935,1134927,18795,893918,16465,241009,8736,2033184,26681,1608278,24877,424906,12971,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
