GEO_ID,C19001G_001E,C19001G_001M,C19001G_002E,C19001G_002M,C19001G_003E,C19001G_003M,C19001G_004E,C19001G_004M,C19001G_005E,C19001G_005M,C19001G_006E,C19001G_006M,C19001G_007E,C19001G_007M,C19001G_008E,C19001G_008M,C19001G_009E,C19001G_009M,C19001G_010E,C19001G_010M,C19001G_011E,C19001G_011M,NAME,C19001G_001MA,C19001G_001EA,C19001G_002EA,C19001G_002MA,C19001G_003EA,C19001G_003MA,C19001G_004MA,C19001G_004EA,C19001G_005MA,C19001G_005EA,C19001G_006MA,C19001G_006EA,C19001G_007EA,C19001G_007MA,C19001G_008EA,C19001G_008MA,C19001G_009EA,C19001G_009MA,C19001G_010MA,C19001G_010EA,C19001G_011MA,C19001G_011EA,state
0400000US01,16906,1910,2856,712,1224,534,2607,739,2471,856,2356,809,2225,681,656,320,1771,616,237,193,503,294,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,12690,1840,614,433,562,341,1691,700,1051,499,2114,707,2656,849,1683,645,1545,566,724,557,50,75,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,40161,3684,6022,1508,2634,872,4580,1083,4300,1531,6486,1382,7266,1537,4247,1291,3137,1042,975,501,514,338,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,14344,2040,2251,871,2520,875,1962,572,1401,534,2503,862,1487,637,678,342,1063,428,173,162,306,252,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,360984,9989,26537,2795,21859,2015,39717,3806,33225,2528,45467,3662,60033,3788,45003,3570,51511,3814,20646,2420,16986,2050,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,41507,3036,4579,1070,1806,493,5803,1522,4643,975,5832,1599,7438,1337,4791,1147,4611,1228,1077,395,927,458,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,21001,2396,2137,643,1478,659,2202,865,1845,654,3320,885,3536,938,2376,756,2431,669,733,409,943,455,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,3881,878,633,426,52,84,480,415,492,411,314,262,556,350,785,437,310,191,242,252,17,29,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,5230,944,362,240,289,197,281,181,332,223,843,446,1070,549,384,290,682,333,322,292,665,385,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,93536,6503,9700,1856,4381,1118,13689,1928,12538,2613,16558,2813,15428,2339,9386,1849,7643,1450,1749,661,2464,941,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,37297,3520,3694,1002,1794,582,4358,1174,5006,1316,5674,1505,6872,1491,2991,812,4845,1444,1335,669,728,440,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,72304,3710,5224,1007,4393,871,6151,1300,7022,1349,9769,1695,11937,1623,10440,1597,11155,1320,3712,849,2501,691,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,7469,1272,1161,543,875,502,1227,634,837,453,704,461,1008,475,711,358,343,265,107,143,496,449,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,58049,3505,6038,1463,3582,983,7419,1509,6151,1558,8512,1728,9982,1374,6920,1225,5712,1178,1956,690,1777,685,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,28510,2197,3928,908,1996,647,4028,903,4334,1257,4802,1097,4575,1076,1992,629,1902,675,556,367,397,427,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,10052,1543,1818,678,991,445,1614,521,808,511,1507,590,2035,632,871,583,273,185,102,132,33,56,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,20323,1893,2085,589,1548,479,3256,929,2004,743,2864,740,4068,1047,2254,698,1781,547,185,189,278,183,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,17185,2071,1707,689,2638,971,3789,1302,1164,445,3486,1064,2805,966,635,314,762,471,63,107,136,167,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,19716,2035,2736,877,1728,658,2484,789,3515,891,3372,849,2368,651,1908,983,855,396,389,310,361,274,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,5546,1117,800,431,438,251,1122,567,762,351,847,384,606,294,496,310,202,150,182,301,91,140,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,32398,2716,1900,765,1457,627,2724,847,3078,1058,3998,1068,5014,1082,4772,1175,5379,1339,1601,443,2475,732,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,43952,3536,5686,1133,3490,940,4295,1023,4327,1122,5187,1233,7711,1621,4675,960,5506,1254,1551,585,1524,600,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,54804,3564,7450,1374,5358,1045,7939,1418,6800,1336,7692,1397,8199,1348,4469,912,4235,1084,1586,623,1076,440,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,25083,2209,3301,906,1442,544,2675,679,3205,794,3158,749,4353,983,3454,936,2127,593,883,419,485,313,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,7066,1272,886,426,582,324,1018,452,1605,751,981,491,1018,520,262,243,497,291,140,154,77,124,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,33223,2470,3290,913,3415,961,4611,980,5150,1373,4836,1182,5569,1464,3107,924,2276,845,470,257,499,301,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,6141,1173,1133,475,584,493,985,477,667,365,979,456,1014,426,428,307,326,297,25,34,0,165,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,7613,1140,935,574,502,282,1071,538,861,440,2115,682,802,394,331,190,644,387,210,171,142,135,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,22754,3153,1774,699,1350,686,2295,719,2244,922,4830,1316,5135,1906,2484,874,1589,664,583,438,470,648,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,6342,1000,620,327,349,268,928,531,532,311,939,605,1144,530,870,440,752,449,182,183,26,43,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,54412,4003,3926,924,2708,712,5443,1324,6374,1296,6384,1177,10758,1788,5831,1122,7567,1223,2587,799,2834,778,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,17146,1629,2257,816,1444,596,2782,823,2095,681,2553,728,2407,574,1257,580,1655,661,412,334,284,251,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,128337,5074,14493,1781,8748,1348,15426,1837,11759,1484,16538,1993,18896,2208,13691,1956,16726,2423,6650,1061,5410,1436,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,39474,4047,4850,1290,4577,1577,6063,1470,5388,1279,6044,1702,6119,1313,2317,833,3576,1189,265,256,275,226,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,2224,635,234,173,156,162,260,173,231,139,268,166,344,198,551,423,74,83,0,143,106,105,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,55014,3471,8897,1655,5135,1059,7814,1572,7101,1423,7877,1511,8367,1395,4428,1182,3473,831,656,360,1266,793,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,82318,3874,9060,1354,6382,1024,12260,1433,10677,1324,13270,1477,13430,1525,9501,1365,5852,1048,730,286,1156,388,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,36098,3068,5078,1073,2835,890,4454,1130,3890,950,4751,1254,8223,1806,2627,865,2746,783,901,407,593,403,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,49289,3519,6870,1431,4574,1043,7490,1163,5560,1136,6394,1326,6497,1317,5743,1086,4141,865,1155,538,865,415,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,6535,1523,757,330,475,366,682,409,1086,625,1245,866,1100,377,674,346,150,116,317,271,49,62,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,14937,2105,1881,867,2024,965,2786,838,2037,881,1827,713,1807,765,1359,661,834,384,55,107,327,193,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,3871,1218,225,258,176,136,540,354,453,283,523,325,884,660,921,610,77,110,45,76,27,42,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,29359,3261,4013,1099,3635,1131,4690,1073,3072,929,3148,853,5327,1289,2217,891,1996,841,565,492,696,576,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,142885,6678,13986,2113,11759,2101,17248,2357,14756,1969,19829,2486,27275,3242,14360,2211,14448,2215,5121,1309,4103,1019,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,12554,1752,1255,542,1447,766,1467,622,1179,541,1780,573,1916,552,1663,689,1432,568,291,208,124,131,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,3510,724,322,239,312,197,393,213,561,290,634,306,718,375,221,143,247,154,16,31,86,114,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,52090,4589,4569,1133,2708,848,4685,1494,3146,1034,6701,1451,8977,1803,7581,1856,6616,1597,3597,1127,3510,1288,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,72384,4262,5323,1062,4718,1344,7405,1368,7284,1389,10202,1921,14286,2086,9702,1592,8731,1338,2830,864,1903,782,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,8825,1439,2055,990,1271,560,763,312,1140,468,1421,520,906,370,719,424,286,209,122,150,142,164,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,23868,2749,3277,1052,2130,732,3811,1004,2628,794,3559,731,3959,925,2112,713,1441,621,403,433,548,429,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,3694,842,322,301,80,154,619,410,648,415,422,329,520,290,411,378,574,395,17,40,81,127,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,163840,5166,55127,3258,17390,1927,30100,2343,21692,2532,16337,2245,14437,1746,4618,1025,3164,1042,446,314,529,409,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
