GEO_ID,C01001I_001E,C01001I_001M,C01001I_002E,C01001I_002M,C01001I_003E,C01001I_003M,C01001I_004E,C01001I_004M,C01001I_005E,C01001I_005M,C01001I_006E,C01001I_006M,C01001I_007E,C01001I_007M,C01001I_008E,C01001I_008M,C01001I_009E,C01001I_009M,NAME,C01001I_001MA,C01001I_001EA,C01001I_002MA,C01001I_002EA,C01001I_003EA,C01001I_003MA,C01001I_004EA,C01001I_004MA,C01001I_005EA,C01001I_005MA,C01001I_006EA,C01001I_006MA,C01001I_007MA,C01001I_007EA,C01001I_008EA,C01001I_008MA,C01001I_009EA,C01001I_009MA,state
0400000US01,186204,1731,98446,3800,31157,2347,64667,2956,2622,856,87758,4022,36137,2818,47492,2614,4129,1212,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,41627,180,21142,692,7840,532,12748,511,554,324,20485,731,7109,543,12631,377,745,94,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1949295,-555555555,981331,1972,359668,1840,575603,878,46060,809,967964,1973,346905,1842,562338,562,58721,598,Arizona,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,190047,1436,102130,2581,39776,2204,60130,1643,2224,710,87917,2511,36301,2172,50024,1361,1592,494,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,14359500,-555555555,7260720,1874,2443012,1607,4479512,1547,338196,931,7098780,1876,2343835,1562,4297624,1377,457321,1000,California,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1070559,-555555555,547604,2272,195727,1816,325984,1458,25893,866,522955,2272,185448,2000,305826,1105,31681,740,Colorado,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,494289,-555555555,247104,1191,83173,993,154261,504,9670,283,247185,1191,79171,991,153833,618,14181,384,Connecticut,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,76153,-555555555,38919,578,13766,488,24031,307,1122,406,37234,578,14235,488,21177,280,1822,413,Delaware,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,58744,-555555555,30670,279,7269,279,22236,-555555555,1165,-555555555,28074,279,6198,279,20002,-555555555,1874,-555555555,District of Columbia,*****,null,null,null,null,null,null,*****,null,*****,null,null,null,null,null,*****,null,*****,11
0400000US12,4355051,568,2156099,4754,574194,3238,1392659,3356,189246,1975,2198952,4751,546413,3334,1385339,3104,267200,1892,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,880067,3229,475085,4597,168278,3684,298771,3723,8036,1519,404982,4008,155330,3473,238349,3309,11303,1590,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,126419,-555555555,64309,575,23598,575,37690,274,3021,274,62110,575,22589,575,35433,349,4088,349,Hawaii,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,181740,468,95509,1657,38860,1356,53931,825,2718,508,86231,1732,35165,1394,47495,767,3571,575,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,2077030,1761,1069568,2561,372708,2095,656734,1564,40126,775,1007462,2643,359295,1947,598711,1991,49456,917,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,399486,1944,206660,2913,77068,2022,124199,2562,5393,931,192826,2926,80821,2573,105146,1928,6859,755,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,153241,926,79947,2031,32519,1464,45506,1174,1922,403,73294,1797,30765,1572,39014,993,3515,735,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,306806,1269,158797,1759,63155,1549,91212,1004,4430,622,148009,1926,60262,1560,81697,1103,6050,800,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,131508,2386,70654,2442,26381,1818,42138,1646,2135,569,60854,2097,25216,1606,32542,1381,3096,833,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,197866,1605,107890,2237,28671,1498,74326,1809,4893,522,89976,1928,27200,1495,54622,1518,8154,1052,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,17813,614,8161,902,3378,481,4500,714,283,184,9652,915,3294,556,5618,744,740,368,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,489505,374,253327,1811,78259,1291,167627,1200,7441,737,236178,1843,77640,1487,146780,1337,11758,988,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
