GEO_ID,B23006_001E,B23006_001M,B23006_002E,B23006_002M,B23006_003E,B23006_003M,B23006_004E,B23006_004M,B23006_005E,B23006_005M,B23006_006E,B23006_006M,B23006_007E,B23006_007M,B23006_008E,B23006_008M,B23006_009E,B23006_009M,B23006_010E,B23006_010M,B23006_011E,B23006_011M,B23006_012E,B23006_012M,B23006_013E,B23006_013M,B23006_014E,B23006_014M,B23006_015E,B23006_015M,B23006_016E,B23006_016M,B23006_017E,B23006_017M,B23006_018E,B23006_018M,B23006_019E,B23006_019M,B23006_020E,B23006_020M,B23006_021E,B23006_021M,B23006_022E,B23006_022M,B23006_023E,B23006_023M,B23006_024E,B23006_024M,B23006_025E,B23006_025M,B23006_026E,B23006_026M,B23006_027E,B23006_027M,B23006_028E,B23006_028M,B23006_029E,B23006_029M,NAME,B23006_001MA,B23006_001EA,B23006_002EA,B23006_002MA,B23006_003MA,B23006_003EA,B23006_004EA,B23006_004MA,B23006_005MA,B23006_005EA,B23006_006MA,B23006_006EA,B23006_007EA,B23006_007MA,B23006_008MA,B23006_008EA,B23006_009EA,B23006_009MA,B23006_010EA,B23006_010MA,B23006_011MA,B23006_011EA,B23006_012EA,B23006_012MA,B23006_013MA,B23006_013EA,B23006_014MA,B23006_014EA,B23006_015EA,B23006_015MA,B23006_016MA,B23006_016EA,B23006_017EA,B23006_017MA,B23006_018MA,B23006_018EA,B23006_019MA,B23006_019EA,B23006_020EA,B23006_020MA,B23006_021EA,B23006_021MA,B23006_022EA,B23006_022MA,B23006_023MA,B23006_023EA,B23006_024MA,B23006_024EA,B23006_025MA,B23006_025EA,B23006_026EA,B23006_026MA,B23006_027EA,B23006_027MA,B23006_028EA,B23006_028MA,B23006_029EA,B23006_029MA,state
0400000US01,2519288,4711,372896,13268,195208,9108,0,190,195208,9108,158754,7394,36454,3875,177688,8775,753606,10938,526896,11632,1477,623,525419,11676,464004,11175,61415,4856,226710,7653,798927,12006,605003,11698,6335,1444,598668,11829,545496,11610,53172,4395,193924,6771,593859,12140,497653,12209,3712,1029,493941,12160,471932,11670,22009,2411,96206,4704,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,398495,2000,26778,2550,17569,2338,160,204,17409,2286,14618,2138,2791,650,9209,1218,113520,4662,82980,4252,1768,624,81212,4243,70521,3914,10691,1619,30540,2707,152417,5552,122117,5404,5436,1125,116681,5359,108739,5250,7942,1428,30300,2897,105780,5682,94537,5474,2606,720,91931,5502,89470,5332,2461,858,11243,1552,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3288070,3825,458999,13666,280534,12109,0,229,280534,12109,229371,10809,51163,4761,178465,7220,771483,18492,535942,16183,684,396,535258,16153,475707,14621,59551,5384,235541,9677,1176189,19223,901761,17462,5261,1276,896500,17187,813068,16063,83432,7600,274428,8910,881399,16227,729580,16208,3336,1051,726244,16366,693808,16626,32436,2860,151819,7920,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1514802,4216,208434,8924,108881,6518,0,192,108881,6518,94026,5528,14855,2566,99553,6036,528075,12547,369313,10938,564,470,368749,10974,332369,10320,36380,3881,158762,5878,451539,11515,344393,10143,1337,465,343056,10063,316298,9475,26758,3096,107146,6076,326754,9161,275729,8433,1471,730,274258,8359,266632,8751,7626,1675,51025,3726,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,20045819,5863,3605593,35832,2383765,31891,258,210,2383507,31867,2036595,29284,346912,10881,1221828,17124,4130374,36937,3027951,31447,13435,1937,3014516,30939,2610527,27614,403989,11169,1102423,16997,6099935,32632,4747623,28282,35787,3878,4711836,28508,4179852,28564,531984,13773,1352312,20818,6209917,39432,5295826,37913,20578,2464,5275248,37714,4943434,35639,331814,9687,914091,16771,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2811813,4158,253152,8818,168483,7676,0,201,168483,7676,145800,6526,22683,3085,84669,5149,591001,12665,453453,12054,2249,749,451204,12118,402724,11389,48480,4225,137548,6173,899849,14485,728532,13785,8832,1700,719700,14075,659858,13505,59842,3995,171317,6644,1067811,17891,916983,15973,5751,1498,911232,15768,870149,14864,41083,3722,150828,7095,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1929089,2502,167155,6778,104782,5995,0,198,104782,5995,86135,5478,18647,2272,62373,3454,501086,10507,402552,10614,1003,394,401549,10691,353532,9188,48017,4513,98534,4635,520451,10259,446028,9650,1810,750,444218,9676,399376,9428,44842,3684,74423,3668,740397,11424,639750,10404,1729,838,638021,10400,606653,10103,31368,2739,100647,4723,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,477208,973,52780,3802,33226,3028,0,192,33226,3028,27817,2713,5409,1198,19554,2429,147033,6396,109054,6052,349,276,108705,6011,97935,5468,10770,1654,37979,2936,133845,5766,109319,5192,1800,609,107519,5171,100102,5002,7417,1445,24526,2037,143550,4757,124807,4374,232,220,124575,4423,119736,4680,4839,1033,18743,2371,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,358523,328,38545,3292,24392,2623,0,200,24392,2623,17109,2289,7283,1521,14153,2122,59999,4091,42432,3572,228,197,42204,3560,33116,2879,9088,1673,17567,2392,62037,3664,47066,3234,230,139,46836,3252,39695,3123,7141,1278,14971,2062,197942,3854,179225,4274,604,312,178621,4310,171535,4168,7086,1211,18717,2720,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,9908186,10440,1215594,21432,748569,16070,33,54,748536,16071,611824,17040,136712,8139,467025,13157,2904408,35018,2131977,32573,2885,1127,2129092,32505,1832396,31739,296696,11747,772431,19086,3130271,37973,2462638,33446,16131,2123,2446507,33573,2197452,32319,249055,9939,667633,13836,2657913,29858,2223254,30514,13172,2253,2210082,30435,2082998,29489,127084,7691,434659,15328,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
