GEO_ID,B25015_001E,B25015_001M,B25015_002E,B25015_002M,B25015_003E,B25015_003M,B25015_004E,B25015_004M,B25015_005E,B25015_005M,B25015_006E,B25015_006M,B25015_007E,B25015_007M,B25015_008E,B25015_008M,B25015_009E,B25015_009M,B25015_010E,B25015_010M,B25015_011E,B25015_011M,B25015_012E,B25015_012M,B25015_013E,B25015_013M,B25015_014E,B25015_014M,B25015_015E,B25015_015M,B25015_016E,B25015_016M,B25015_017E,B25015_017M,B25015_018E,B25015_018M,B25015_019E,B25015_019M,B25015_020E,B25015_020M,B25015_021E,B25015_021M,B25015_022E,B25015_022M,B25015_023E,B25015_023M,B25015_024E,B25015_024M,B25015_025E,B25015_025M,B25015_026E,B25015_026M,B25015_027E,B25015_027M,NAME,B25015_001EA,B25015_001MA,B25015_002EA,B25015_002MA,B25015_003MA,B25015_003EA,B25015_004MA,B25015_004EA,B25015_005EA,B25015_005MA,B25015_006EA,B25015_006MA,B25015_007EA,B25015_007MA,B25015_008MA,B25015_008EA,B25015_009MA,B25015_009EA,B25015_010EA,B25015_010MA,B25015_011EA,B25015_011MA,B25015_012EA,B25015_012MA,B25015_013MA,B25015_013EA,B25015_014MA,B25015_014EA,B25015_015MA,B25015_015EA,B25015_016EA,B25015_016MA,B25015_017EA,B25015_017MA,B25015_018EA,B25015_018MA,B25015_019MA,B25015_019EA,B25015_020MA,B25015_020EA,B25015_021EA,B25015_021MA,B25015_022EA,B25015_022MA,B25015_023EA,B25015_023MA,B25015_024MA,B25015_024EA,B25015_025MA,B25015_025EA,B25015_026MA,B25015_026EA,B25015_027EA,B25015_027MA,state
0400000US01,1844546,11416,1289217,12212,144856,5807,140883,5838,3324,1054,649,350,786638,8589,777751,8573,6716,1314,2171,780,357723,5218,356913,5304,642,299,168,138,555329,9348,212672,6674,201899,6810,6672,1503,4101,1139,273576,7272,262527,6921,8430,1838,2619,914,69081,3595,68613,3584,193,167,275,237,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,257330,3380,162312,3867,24223,2324,21787,2229,1891,710,545,312,108485,2895,102795,2866,3568,786,2122,504,29604,1551,28917,1567,475,309,212,83,95018,4471,40203,2709,36320,2752,2104,746,1779,614,48070,3306,43458,3153,3066,992,1546,447,6745,999,6419,942,234,293,92,68,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2356055,12130,1501528,15067,155939,7032,148579,6584,5870,1744,1490,541,876985,13186,846221,13385,22664,3113,8100,1451,468604,6320,464582,6297,2105,741,1917,917,854527,15846,322733,9691,289272,8791,20829,2811,12632,2424,439057,12486,403594,12203,22631,3198,12832,1946,92737,5055,91801,5048,379,252,557,353,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1127621,7837,750984,9249,90180,4705,88073,4683,1930,716,177,129,437200,7875,431118,7678,4845,1209,1237,565,223604,3779,222815,3759,484,272,305,361,376637,8537,145108,6102,135850,5922,5723,1359,3535,987,184846,6520,176609,6424,4662,1259,3575,1325,46683,2910,46394,2903,173,225,116,143,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12468743,22250,6843369,25886,568060,12956,531744,12110,27257,2558,9059,1709,4409527,24435,4177441,26077,176190,5696,55896,3466,1865782,12083,1843287,12311,15286,1745,7209,1212,5625374,23999,1872466,22150,1594550,21859,163131,7691,114785,6123,3079310,25909,2637196,27161,277150,8193,164964,6263,673598,10867,650877,10870,10463,1605,12258,1925,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1975388,9057,1271804,10881,154875,5784,150413,5843,3777,1097,685,454,833793,9091,822235,9105,10152,1876,1406,597,283136,4111,282425,4068,608,484,103,131,703584,11056,292137,7330,273853,7866,13385,2189,4899,1477,334857,8854,319628,8809,10994,1837,4235,1299,76590,3901,75834,3883,360,319,396,295,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1351643,7309,911059,6941,70365,4209,69089,4204,797,492,479,396,603926,6639,598527,6709,4522,1158,877,379,236768,4134,236401,4135,234,240,133,123,440584,7734,139285,5421,130829,5302,5832,1172,2624,859,226488,5878,216319,6022,6567,1406,3602,1140,74811,3438,74347,3414,171,178,293,220,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,333192,3426,238560,4816,21027,1945,20524,1936,388,324,115,172,150061,4188,149244,4230,788,435,29,54,67472,2361,67349,2361,123,155,0,192,94632,4248,35198,2445,33492,2404,1402,706,304,230,45827,3379,44857,3376,880,625,90,109,13607,1730,13607,1730,0,192,0,192,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,268670,3200,110625,3425,14661,1837,14390,1821,147,165,124,200,66346,2866,65580,2913,582,299,184,206,29618,1446,29335,1454,122,154,161,268,158045,3930,69840,2022,65621,1841,1251,668,2968,1227,68689,3246,65972,3316,1300,613,1417,553,19516,1759,19088,1686,87,141,341,458,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7106283,31131,4741169,31771,358531,10780,349438,10679,7914,1439,1179,475,2725416,25037,2671682,24326,44577,4108,9157,1731,1657222,14430,1650830,14318,3795,923,2597,791,2365114,25972,780319,15132,730670,14929,34648,4182,15001,2706,1259279,18803,1196005,18941,40840,3976,22434,2491,325516,9977,321580,9806,1225,515,2711,1322,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
