GEO_ID,B15012_001E,B15012_001M,B15012_002E,B15012_002M,B15012_003E,B15012_003M,B15012_004E,B15012_004M,B15012_005E,B15012_005M,B15012_006E,B15012_006M,B15012_007E,B15012_007M,B15012_008E,B15012_008M,B15012_009E,B15012_009M,B15012_010E,B15012_010M,B15012_011E,B15012_011M,B15012_012E,B15012_012M,B15012_013E,B15012_013M,B15012_014E,B15012_014M,B15012_015E,B15012_015M,B15012_016E,B15012_016M,NAME,B15012_001EA,B15012_001MA,B15012_002MA,B15012_002EA,B15012_003EA,B15012_003MA,B15012_004EA,B15012_004MA,B15012_005EA,B15012_005MA,B15012_006EA,B15012_006MA,B15012_007EA,B15012_007MA,B15012_008EA,B15012_008MA,B15012_009MA,B15012_009EA,B15012_010EA,B15012_010MA,B15012_011EA,B15012_011MA,B15012_012EA,B15012_012MA,B15012_013EA,B15012_013MA,B15012_014MA,B15012_014EA,B15012_015EA,B15012_015MA,B15012_016MA,B15012_016EA,state
0400000US01,760085,13605,32869,2707,43038,3185,22659,2332,29940,2808,38734,3179,55858,3537,3264,935,76352,3933,174865,7053,132400,5741,25951,2628,36469,3733,18972,2189,22235,2569,46479,3343,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,131708,6373,3389,945,13992,1678,6662,1345,6289,1352,10837,1496,9304,1816,1119,536,14297,1773,18171,1827,20755,2340,5620,1014,5879,957,4150,1096,3360,924,7884,1237,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1196600,19246,46586,4852,61469,4459,41659,4012,52036,4206,88828,5869,103147,6262,9482,1777,108256,6939,259062,9208,178513,8441,46367,4030,49011,3971,43484,4423,40317,3904,68383,4840,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,422290,11199,17061,2544,31178,3094,14199,2115,15646,2512,20973,2167,19410,2166,1854,715,43804,3745,90342,5245,82437,4452,14698,1992,20275,2133,12075,1860,13225,1867,25113,2843,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,7920916,48807,387941,10117,510755,10524,281131,10370,414756,12292,814026,14626,754677,14721,57991,4464,633250,14593,1417152,21753,600331,11646,422420,9220,463099,10791,444631,11934,329194,10693,389562,10603,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1362453,21519,71086,4730,95590,5469,59354,4575,70820,3907,114025,5313,107632,5374,11909,1483,111725,5685,260840,7990,147848,7148,66240,4079,64368,3755,53782,4510,55577,3961,71657,4199,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,951761,15558,40783,3297,52312,3584,32489,2499,56277,4141,96659,4428,69642,4102,5405,1055,77239,4267,184786,5784,106481,4807,59713,3360,56752,3545,41835,3271,29277,2205,42111,3348,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,189703,5524,7243,1269,10993,1853,11416,1739,8499,1406,14445,1813,15760,1951,2063,660,18035,2367,37357,3189,26088,2606,8651,1352,9771,1421,4455,946,4486,883,10441,1437,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,254308,5482,9355,1436,13042,2097,6537,1708,11075,1724,66994,3911,10623,2017,3692,822,10285,1508,28421,2479,11537,1692,24697,2398,24272,2514,11811,1446,14462,1851,7505,1218,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3645174,35901,127414,6558,173376,7306,118149,6983,177843,7670,280287,10587,267803,9797,17933,2531,357669,12508,861296,16861,524878,14556,138650,6730,166723,7933,117753,7458,134336,7926,181064,7641,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
