B25073_012E,B25073_012M,B25073_013E,B25073_013M,B25073_014E,B25073_014M,B25073_015E,B25073_015M,B25073_016E,B25073_016M,B25073_017E,B25073_017M,B25073_018E,B25073_018M,B25073_019E,B25073_019M,B25073_020E,B25073_020M,B25073_021E,B25073_021M,B25073_022E,B25073_022M,B25073_023E,B25073_023M,B25073_024E,B25073_024M,B25073_025E,B25073_025M,B25073_026E,B25073_026M,B25073_027E,B25073_027M,B25073_028E,B25073_028M,B25073_029E,B25073_029M,B25073_030E,B25073_030M,B25073_031E,B25073_031M,B25073_032E,B25073_032M,B25073_033E,B25073_033M,B25073_034E,B25073_034M,B25073_035E,B25073_035M,B25073_036E,B25073_036M,B25073_037E,B25073_037M,B25073_038E,B25073_038M,B25073_039E,B25073_039M,B25073_040E,B25073_040M,B25073_041E,B25073_041M,B25073_042E,B25073_042M,B25073_043E,B25073_043M,B25073_044E,B25073_044M,B25073_045E,B25073_045M,B25073_046E,B25073_046M,B25073_047E,B25073_047M,B25073_048E,B25073_048M,B25073_049E,B25073_049M,B25073_050E,B25073_050M,GEO_ID,B25073_001E,B25073_001M,B25073_002E,B25073_002M,B25073_003E,B25073_003M,B25073_004E,B25073_004M,B25073_005E,B25073_005M,B25073_006E,B25073_006M,B25073_007E,B25073_007M,B25073_008E,B25073_008M,B25073_009E,B25073_009M,B25073_010E,B25073_010M,B25073_011E,B25073_011M,B25073_012EA,B25073_012MA,B25073_013MA,B25073_013EA,B25073_014MA,B25073_014EA,B25073_015MA,B25073_015EA,B25073_016MA,B25073_016EA,B25073_017EA,B25073_017MA,B25073_018EA,B25073_018MA,B25073_019MA,B25073_019EA,B25073_020MA,B25073_020EA,B25073_021EA,B25073_021MA,B25073_022EA,B25073_022MA,B25073_023EA,B25073_023MA,B25073_024MA,B25073_024EA,B25073_025MA,B25073_025EA,B25073_026EA,B25073_026MA,B25073_027EA,B25073_027MA,B25073_028EA,B25073_028MA,B25073_029EA,B25073_029MA,B25073_030MA,B25073_030EA,B25073_031MA,B25073_031EA,B25073_032EA,B25073_032MA,B25073_033EA,B25073_033MA,B25073_034EA,B25073_034MA,B25073_035MA,B25073_035EA,B25073_036MA,B25073_036EA,B25073_037MA,B25073_037EA,B25073_038EA,B25073_038MA,B25073_039EA,B25073_039MA,B25073_040EA,B25073_040MA,B25073_041EA,B25073_041MA,B25073_042MA,B25073_042EA,B25073_043EA,B25073_043MA,B25073_044EA,B25073_044MA,B25073_045EA,B25073_045MA,B25073_046EA,B25073_046MA,B25073_047MA,B25073_047EA,B25073_048EA,B25073_048MA,B25073_049MA,B25073_049EA,B25073_050EA,B25073_050MA,NAME,B25073_001MA,B25073_001EA,B25073_002EA,B25073_002MA,B25073_003MA,B25073_003EA,B25073_004EA,B25073_004MA,B25073_005MA,B25073_005EA,B25073_006EA,B25073_006MA,B25073_007EA,B25073_007MA,B25073_008MA,B25073_008EA,B25073_009MA,B25073_009EA,B25073_010MA,B25073_010EA,B25073_011MA,B25073_011EA,state
8359,1304,8526,1592,34812,3262,5460,1234,121113,6698,26787,3195,13340,2113,13180,2494,10512,1591,50827,4001,6467,1423,25961,2684,5352,1282,2715,1042,4696,1552,2662,1007,9742,1811,794,407,23815,2199,4712,1158,1875,618,4000,773,3065,874,9136,1423,1027,473,66324,4784,12097,1611,5738,1464,3747,1368,3765,1149,26237,3100,14740,2165,475,417,8,13,0,190,0,190,0,190,267,309,200,288,0400000US01,555329,9348,233272,7523,49414,3883,21723,2950,17748,2378,16454,2400,83625,5222,44308,3436,84369,5019,18206,2373,9006,1613,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
3396,807,2971,1134,8580,1600,1363,619,19036,2382,6145,1383,1780,617,2402,799,1236,520,6851,1195,622,443,6096,1036,1487,538,825,462,817,456,583,248,2328,735,56,67,3872,833,924,435,389,259,546,394,550,313,1458,560,5,10,4299,1143,1189,567,141,140,972,679,200,198,978,550,819,543,165,183,124,171,0,149,0,149,0,149,0,149,41,68,0400000US02,95018,4471,34247,2700,8555,1483,5166,1173,2643,860,2695,845,10146,1434,5042,779,27303,2686,7413,1292,3580,993,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
12317,2198,9459,1862,39622,3473,4263,1207,188347,6702,44144,4043,23358,3027,20400,2691,16479,2577,74515,5512,9451,2665,52451,4189,8727,1545,5587,1496,6446,1808,4308,1000,23928,2845,3455,1254,95378,5076,16948,2204,11973,1913,9833,1697,7013,1083,44682,4139,4929,1666,53342,5151,9919,2037,4871,1661,4206,1398,3639,1269,21924,3274,8783,2224,1200,602,230,237,265,398,108,173,0,229,108,133,489,443,0400000US04,854527,15846,364745,11891,84319,6950,42543,4241,35760,4322,28948,3151,130813,7259,42362,4824,99064,5813,22809,2814,10594,2250,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
6848,1618,6093,1373,25740,2946,4242,1182,67467,4000,16370,2495,5696,1405,5837,1282,5783,1714,30381,3738,3400,1097,10744,1890,2403,877,1970,767,904,390,451,231,4280,1096,736,581,20997,2246,3949,1050,2876,1006,2665,867,2001,899,8210,1412,1296,696,42295,3373,9324,1800,3435,1250,4076,1158,2797,791,13809,1951,8854,1552,515,351,25,44,0,192,0,192,61,110,58,77,371,314,0400000US05,376637,8537,172260,6618,39184,3736,15482,1992,14601,2593,12636,1869,59473,4382,30884,2787,62359,4036,12108,1801,7328,1593,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
90723,4697,75984,4784,397770,10510,25665,2522,1282389,15444,233667,9084,155223,6974,142174,7532,114015,5442,598025,11543,39285,4076,556304,11290,93034,5858,65614,4117,65690,4493,47673,4557,261528,8545,22765,2510,738102,12426,123840,6185,74246,5220,95142,4750,68478,4397,346459,8679,29937,3353,122320,6140,24300,2891,9667,1805,9569,2018,8898,1892,52901,3833,16985,2034,7039,1649,1445,797,586,388,184,159,507,390,3060,1273,1257,618,0400000US06,5625374,23999,2069512,20185,359904,9370,228729,7344,218183,8110,180181,7843,911929,17335,170586,5860,849708,14779,164594,7148,94972,4529,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
8559,1583,7270,1559,34176,3270,2916,852,177066,6907,41438,3336,20774,3135,23277,3156,16268,2227,70502,5089,4807,1200,86198,5641,19614,2819,12504,2103,9031,1780,7171,1678,35280,3379,2598,908,76834,4085,16306,1829,8110,1497,11081,1659,6416,1262,32088,3291,2833,856,21505,2203,3203,893,1399,601,1376,512,1527,589,11227,2013,2773,893,621,420,0,201,0,201,49,79,164,251,408,416,0,201,0400000US08,703584,11056,258886,7636,55256,4320,32998,3590,27757,2716,21262,2813,99445,4841,22168,2744,82474,5110,19493,2879,10060,1710,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
15479,2193,13812,1873,80290,4394,6192,1368,90370,4483,20222,2690,10187,1654,9726,1381,9343,1486,37774,3457,3118,965,38351,3407,8685,1751,4804,1171,3823,949,4080,1042,15575,2063,1384,672,53736,3199,9698,1613,6947,1420,7609,1202,6720,1409,21124,2284,1638,804,2126,757,693,462,342,338,0,198,441,382,491,330,159,159,33,56,0,198,0,198,0,198,0,198,33,56,0,198,0400000US09,440584,7734,89187,4805,19480,2578,8834,1660,7967,1455,6440,1365,32894,3040,13572,1677,166781,4817,33838,3292,17170,2146,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
1334,606,864,567,5861,1132,560,359,25188,2483,5616,1234,3703,971,2780,729,2016,916,10414,1874,659,416,4275,1202,1008,514,534,382,862,398,517,287,1354,875,0,192,8022,1313,1878,765,727,422,1762,690,932,534,2621,871,102,128,5810,1500,950,639,48,64,522,550,153,137,3723,1275,414,243,9,16,9,16,0,192,0,192,0,192,0,192,0,192,0400000US10,94632,4248,38385,3435,8485,1655,4074,1169,3602,1273,2874,976,15766,2354,3584,975,12943,1682,3196,907,1128,593,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
2584,819,2250,675,7226,1285,1349,604,39479,3142,9747,1764,4362,1149,3462,862,2719,885,17359,1953,1830,706,18939,2532,4405,1339,2874,1159,2821,969,1308,472,6293,1228,1238,642,52774,2817,12077,2014,6921,1310,6663,1180,5135,1208,19399,2292,2579,883,49,82,0,200,0,200,0,200,0,200,49,82,0,200,293,254,0,200,0,200,212,247,0,200,81,143,0,200,0400000US11,158045,3930,25871,2439,6615,1581,2856,784,2581,705,1751,663,9664,1532,2404,756,20640,2321,4188,902,3043,949,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
33862,3249,26254,2594,167099,7641,15750,2686,544084,12878,88503,6395,62093,4884,64274,6013,48408,3656,256459,11141,24347,2806,239927,10397,37039,4636,26072,3751,24881,3486,21448,2724,119232,7737,11255,2311,261938,9560,40178,4017,25964,3515,31789,3450,26337,2951,122898,6817,14772,2483,145694,8096,23107,2744,10672,1817,13557,2344,12119,2664,63863,4633,22376,3066,4207,1495,544,507,368,345,479,587,108,147,1723,1000,985,571,0400000US12,2365114,25972,847158,19835,129669,6853,86146,6342,75163,4921,71915,4983,391151,12247,93114,5653,322106,10057,46549,4955,32592,4068,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
