GEO_ID,B08505F_001E,B08505F_001M,B08505F_002E,B08505F_002M,B08505F_003E,B08505F_003M,B08505F_004E,B08505F_004M,B08505F_005E,B08505F_005M,B08505F_006E,B08505F_006M,B08505F_007E,B08505F_007M,NAME,B08505F_001EA,B08505F_001MA,B08505F_002MA,B08505F_002EA,B08505F_003MA,B08505F_003EA,B08505F_004EA,B08505F_004MA,B08505F_005MA,B08505F_005EA,B08505F_006EA,B08505F_006MA,B08505F_007MA,B08505F_007EA,state
0400000US01,28178,3655,19903,3229,6635,1800,333,415,248,212,502,441,557,419,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,5217,1418,3634,1160,1000,665,131,108,176,198,241,280,35,50,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,150793,9542,112878,7397,22491,3728,4381,1588,4170,1650,4092,1367,2781,891,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,26548,4200,18487,3958,5121,1756,161,261,1423,909,443,319,913,614,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1941517,32195,1331533,26655,271217,11306,159995,9032,63585,5892,53644,4359,61543,5588,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,94740,7329,68473,5998,13987,2224,4455,1592,3733,1724,2463,1162,1629,655,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,85705,5614,49626,4474,14630,3053,11322,2369,4684,1397,4011,1507,1432,658,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,8565,2557,5534,1633,1650,984,1022,806,254,249,0,193,105,114,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,29951,3589,11568,2014,5102,1680,11024,2189,1011,574,923,588,323,286,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,222464,14265,142761,11101,42376,5218,10486,2741,6366,2159,13226,3488,7249,2311,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
