GEO_ID,B15003_001E,B15003_001M,B15003_002E,B15003_002M,B15003_003E,B15003_003M,B15003_004E,B15003_004M,B15003_005E,B15003_005M,B15003_006E,B15003_006M,B15003_007E,B15003_007M,B15003_008E,B15003_008M,B15003_009E,B15003_009M,B15003_010E,B15003_010M,B15003_011E,B15003_011M,B15003_012E,B15003_012M,B15003_013E,B15003_013M,B15003_014E,B15003_014M,B15003_015E,B15003_015M,B15003_016E,B15003_016M,B15003_017E,B15003_017M,B15003_018E,B15003_018M,B15003_019E,B15003_019M,B15003_020E,B15003_020M,B15003_021E,B15003_021M,B15003_022E,B15003_022M,B15003_023E,B15003_023M,B15003_024E,B15003_024M,B15003_025E,B15003_025M,NAME,B15003_001EA,B15003_001MA,B15003_002EA,B15003_002MA,B15003_003EA,B15003_003MA,B15003_004MA,B15003_004EA,B15003_005MA,B15003_005EA,B15003_006EA,B15003_006MA,B15003_007EA,B15003_007MA,B15003_008EA,B15003_008MA,B15003_009MA,B15003_009EA,B15003_010MA,B15003_010EA,B15003_011MA,B15003_011EA,B15003_012EA,B15003_012MA,B15003_013EA,B15003_013MA,B15003_014EA,B15003_014MA,B15003_015MA,B15003_015EA,B15003_016MA,B15003_016EA,B15003_017EA,B15003_017MA,B15003_018EA,B15003_018MA,B15003_019EA,B15003_019MA,B15003_020MA,B15003_020EA,B15003_021EA,B15003_021MA,B15003_022MA,B15003_022EA,B15003_023EA,B15003_023MA,B15003_024EA,B15003_024MA,B15003_025MA,B15003_025EA,state
0400000US01,3193078,4624,41683,3315,19,26,430,286,1513,610,2648,1268,5987,1159,6260,1631,8628,1477,26151,2551,28929,2368,55674,3512,85453,5611,117023,6105,113704,5085,57644,3824,818373,13522,167077,7190,193684,6362,515504,10989,236162,7930,443488,11458,190977,6981,43117,3072,32950,2924,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,456862,1804,2682,788,0,149,191,232,160,108,320,174,1452,458,505,225,455,212,2100,839,1310,572,4819,1014,3903,986,7147,1268,7923,1164,4654,1057,104706,4828,23667,2609,35732,3054,100675,4814,34000,2884,77153,3956,29269,2642,8000,1406,6039,1573,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,4211223,3828,50910,5314,250,353,1565,761,4333,1802,6775,1475,13629,2412,11397,2607,15112,1818,72919,6056,22698,3417,62066,4861,76975,5947,80745,5833,98679,6943,84044,6439,869809,20975,166778,7203,308284,12189,796860,17763,348197,13006,719546,14987,291892,10829,64212,4258,43548,4313,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1943427,3997,21746,2382,285,289,301,241,1216,689,1783,638,5370,1190,4927,1204,8300,1820,18159,2690,16756,2089,42265,3343,41880,3864,55422,3698,64508,3926,32623,3452,576505,14060,116711,4717,126508,6613,300268,9824,113074,5621,254903,7605,96313,5835,25130,2800,18474,2232,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,24443872,5625,589636,13968,4547,1144,8878,1739,40185,3569,94789,6139,185458,8455,128309,6584,154310,7340,834986,18522,146881,7172,323655,11908,534393,13057,409989,10419,540836,15568,625239,14149,4613751,38237,537243,12499,1398960,21066,3993070,32945,1872437,23018,4697422,39369,1791770,21779,559241,13995,357887,12930,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3387310,3216,29953,3408,306,263,400,369,1133,546,4435,1341,8730,1675,6151,1358,6334,1639,37561,3855,7924,1321,32520,3509,42521,3603,45021,3430,59951,4326,48345,3599,627471,11806,130229,5637,217976,8541,555829,10779,281428,8697,789859,16005,331369,9338,70901,4465,50963,3765,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2444403,1883,28196,3068,166,190,185,239,1025,466,1902,771,5946,1394,6293,1222,5320,1257,18796,2942,10199,1475,30330,2725,31307,2948,43625,3748,43353,3688,40051,3474,597976,11310,78537,4998,128838,5466,309180,10064,179119,5971,500103,9320,275007,9354,70962,3864,37987,3385,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,611120,929,7952,1663,355,305,251,270,0,192,925,505,1232,629,730,444,1448,778,3491,1410,4039,1185,8109,1529,9757,2078,15491,2262,15706,2284,10030,1373,173692,5836,19239,2600,37584,3236,82244,3707,42602,4141,104599,4415,49862,4172,11217,1897,10565,1883,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,428261,167,7120,1773,98,128,0,200,243,314,709,533,807,693,1034,425,1569,799,3482,1178,2943,879,3911,1110,6802,1395,7956,1299,11246,1573,6770,1145,64742,4289,11155,1617,13822,1955,47181,3565,11907,1782,99622,3700,74134,4232,34099,2592,16909,2188,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,13267581,9014,182138,10152,1781,608,1674,718,8102,1849,20958,3396,40955,4715,40892,4526,53428,5082,161492,10601,68049,5344,169793,8408,223152,9111,281557,10632,307373,9592,306458,11998,3481927,39347,551147,15005,841270,18679,1920222,29888,1175984,23075,2190780,26016,843014,17281,250768,9689,144667,8431,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
