GEO_ID,C08505G_001E,C08505G_001M,C08505G_002E,C08505G_002M,C08505G_003E,C08505G_003M,C08505G_004E,C08505G_004M,C08505G_005E,C08505G_005M,C08505G_006E,C08505G_006M,NAME,C08505G_001MA,C08505G_001EA,C08505G_002EA,C08505G_002MA,C08505G_003EA,C08505G_003MA,C08505G_004MA,C08505G_004EA,C08505G_005EA,C08505G_005MA,C08505G_006MA,C08505G_006EA,state
0400000US01,17238,2284,14508,2139,1670,667,19,40,374,306,667,260,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,19477,2325,13567,1804,2628,790,491,381,2197,515,594,430,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,53273,4730,38499,3832,7729,1827,1487,632,3387,1126,2171,948,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,17174,2407,13264,2130,2287,799,126,161,975,517,522,421,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,494524,16206,354127,12880,59986,5236,29030,3099,25833,3125,25548,2972,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,55232,4242,39780,3644,6304,1392,2253,656,3622,900,3273,1048,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,28568,3383,20616,2545,3341,1000,1206,631,2792,1129,613,341,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,18653,2304,8008,1383,2025,844,6726,1363,1481,608,413,245,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,124035,7676,92134,6481,16346,2777,3209,1162,6111,1454,6235,1496,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,51415,5074,37957,4133,7363,2225,1183,806,2777,1101,2135,679,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,129667,6373,90391,5291,21306,2888,5430,1231,8768,1993,3772,919,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,9899,1594,7778,1473,892,460,102,132,916,474,211,172,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,82388,5743,54405,4669,9342,1696,10706,1862,5105,1418,2830,872,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,35163,3304,25795,2757,4216,1318,741,406,2803,916,1608,671,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,15934,2319,11662,1952,2488,1168,319,354,1140,460,325,219,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,28404,2675,21800,2416,4396,1237,248,217,880,351,1080,446,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,17574,2496,11946,1971,2574,965,856,602,1204,544,994,513,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,22798,2750,17680,2620,2334,926,273,220,1974,662,537,382,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,5879,1153,3763,818,1045,554,0,193,688,446,383,217,Maine,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,45751,4451,31678,3337,7721,2091,1945,678,2645,847,1762,521,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,63037,6526,34886,4442,6647,1459,13106,2385,6295,1565,2103,726,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,66090,4182,50983,3820,7091,1349,2027,794,3443,1046,2546,870,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,37650,3268,26019,2566,5606,1107,2334,790,2227,748,1464,520,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,7044,1461,5593,1262,545,312,195,191,444,355,267,254,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,41526,3488,29831,2892,4466,1237,2045,631,1460,574,3724,1379,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,7863,1520,5646,1317,663,345,225,228,1068,663,261,223,Montana,null,null,null,null,null,null,null,null,null,null,null,null,30
