GEO_ID,B27001G_001E,B27001G_001M,B27001G_002E,B27001G_002M,B27001G_003E,B27001G_003M,B27001G_004E,B27001G_004M,B27001G_005E,B27001G_005M,B27001G_006E,B27001G_006M,B27001G_007E,B27001G_007M,B27001G_008E,B27001G_008M,B27001G_009E,B27001G_009M,B27001G_010E,B27001G_010M,B27001G_011E,B27001G_011M,B27001G_012E,B27001G_012M,B27001G_013E,B27001G_013M,B27001G_014E,B27001G_014M,B27001G_015E,B27001G_015M,B27001G_016E,B27001G_016M,B27001G_017E,B27001G_017M,B27001G_018E,B27001G_018M,B27001G_019E,B27001G_019M,B27001G_020E,B27001G_020M,B27001G_021E,B27001G_021M,B27001G_022E,B27001G_022M,B27001G_023E,B27001G_023M,B27001G_024E,B27001G_024M,B27001G_025E,B27001G_025M,B27001G_026E,B27001G_026M,B27001G_027E,B27001G_027M,B27001G_028E,B27001G_028M,NAME,B27001G_001EA,B27001G_001MA,B27001G_002MA,B27001G_002EA,B27001G_003MA,B27001G_003EA,B27001G_004MA,B27001G_004EA,B27001G_005EA,B27001G_005MA,B27001G_006EA,B27001G_006MA,B27001G_007MA,B27001G_007EA,B27001G_008EA,B27001G_008MA,B27001G_009EA,B27001G_009MA,B27001G_010MA,B27001G_010EA,B27001G_011MA,B27001G_011EA,B27001G_012MA,B27001G_012EA,B27001G_013MA,B27001G_013EA,B27001G_014EA,B27001G_014MA,B27001G_015EA,B27001G_015MA,B27001G_016MA,B27001G_016EA,B27001G_017MA,B27001G_017EA,B27001G_018EA,B27001G_018MA,B27001G_019EA,B27001G_019MA,B27001G_020EA,B27001G_020MA,B27001G_021MA,B27001G_021EA,B27001G_022MA,B27001G_022EA,B27001G_023EA,B27001G_023MA,B27001G_024EA,B27001G_024MA,B27001G_025EA,B27001G_025MA,B27001G_026EA,B27001G_026MA,B27001G_027MA,B27001G_027EA,B27001G_028EA,B27001G_028MA,state
0400000US01,63284,5173,14000,2105,13246,2047,754,586,15077,1974,14315,1964,762,431,7037,1624,5499,1305,1538,910,5500,1270,3791,1030,1709,724,5748,1421,3783,1234,1965,816,6638,1144,4979,950,1659,668,5352,1139,4504,1011,848,450,2408,659,2408,659,0,190,1524,498,1406,457,118,185,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,58965,4720,12578,1662,10522,1812,2056,721,19312,2151,15083,2278,4229,1311,7098,1470,5007,1359,2091,801,5967,1105,3801,770,2166,711,6296,1385,4910,1373,1386,567,4451,891,3162,816,1289,450,2304,572,1715,525,589,326,592,331,592,331,0,149,367,210,367,210,0,149,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,191475,11582,38878,4263,34947,3973,3931,1508,57443,5522,48724,5209,8719,2218,22007,3270,15842,2708,6165,1865,22372,2980,16817,2555,5555,1707,19275,3487,14958,3085,4317,1618,13318,2082,9795,1472,3523,1223,10834,2039,8617,1844,2217,898,5168,1077,4998,1097,170,204,2180,839,1991,822,189,246,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,56490,5695,10128,1737,8952,1595,1176,604,15463,2456,14515,2447,948,533,5286,1538,2638,1097,2648,1008,6003,1609,3770,1344,2233,872,5287,1341,2860,971,2427,893,5387,1239,3771,1020,1616,684,4590,1086,3832,969,758,493,2184,630,2184,630,0,192,2162,649,2162,649,0,192,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1570961,33813,269681,10337,258405,10530,11276,2317,430449,13350,404683,13101,25766,3944,200682,9755,154602,8077,46080,4548,202188,8957,144839,7196,57349,4646,152930,7394,119025,6593,33905,3469,141774,6610,114523,5981,27251,2580,99106,5657,83702,5463,15404,2172,45195,3277,44720,3262,475,285,28956,2662,28355,2645,601,442,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,166996,9513,30738,3146,28353,3250,2385,1108,49616,4610,45206,4538,4410,1715,18651,2419,13988,2309,4663,1091,21578,2055,16541,1922,5037,1155,17575,2714,14251,2484,3324,1009,12632,1718,9888,1577,2744,879,10141,1430,8879,1323,1262,519,3805,962,3805,962,0,201,2260,813,2213,801,47,80,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,85950,5866,16522,2199,16522,2199,0,198,23429,2973,22688,2954,741,431,9859,1694,8578,1684,1281,583,11334,1890,8803,1535,2531,914,7263,1301,6397,1298,866,460,7929,1350,6703,1182,1226,693,4974,1129,4097,1065,877,398,3542,955,3197,871,345,423,1098,462,1098,462,0,198,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,23883,3367,5263,1476,5239,1471,24,45,8084,1761,7756,1717,328,487,2754,980,2266,847,488,358,2166,872,1505,796,661,365,1458,591,1345,584,113,155,2765,1120,2341,985,424,406,647,289,630,291,17,23,325,223,325,223,0,192,421,345,421,345,0,192,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,12760,1744,2206,523,2206,523,0,200,1571,657,1521,649,50,83,1157,526,1157,526,0,200,4057,1053,3877,1031,180,201,1456,616,1278,564,178,180,482,239,420,261,62,104,1047,372,937,353,110,142,569,297,569,297,0,200,215,178,215,178,0,200,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,416236,20027,77219,7232,71318,7204,5901,2170,115491,9064,102554,8478,12937,2919,50671,5510,33779,4182,16892,3441,44938,4726,29856,3599,15082,2766,38236,4321,25478,3261,12758,2819,39203,4186,27247,3246,11956,2241,26286,2784,19931,2639,6355,1628,13972,2095,13148,1991,824,566,10220,1767,10180,1761,40,64,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,187615,12461,38999,4609,36830,4351,2169,1071,62183,6453,56245,5992,5938,2427,22049,2518,14370,2277,7679,1984,19552,3217,11116,2076,8436,2603,17431,2916,13294,2160,4137,1682,13215,2369,10384,2344,2831,922,8252,1615,6616,1645,1636,764,2780,742,2539,651,241,313,3154,976,3057,954,97,154,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,327159,13024,45861,3152,44507,3107,1354,578,81426,5333,77977,5439,3449,1255,40218,3320,35034,3158,5184,1244,47556,3436,42256,3313,5300,1233,34469,2897,30812,2752,3657,1160,31789,3189,29540,3027,2249,767,26261,2615,24699,2690,1562,548,12667,1644,12667,1644,0,187,6912,1199,6891,1201,21,30,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,38583,4149,6593,2008,6091,1855,502,349,12042,1706,11158,1648,884,564,5449,1235,4008,1070,1441,537,4234,1351,2758,1237,1476,646,3101,1121,2761,1063,340,281,2618,934,1904,814,714,510,2175,740,1906,747,269,183,1622,638,1622,638,0,195,749,490,749,490,0,195,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
