GEO_ID,B19119_001E,B19119_001M,B19119_002E,B19119_002M,B19119_003E,B19119_003M,B19119_004E,B19119_004M,B19119_005E,B19119_005M,B19119_006E,B19119_006M,B19119_007E,B19119_007M,NAME,B19119_001EA,B19119_001MA,B19119_002EA,B19119_002MA,B19119_003MA,B19119_003EA,B19119_004MA,B19119_004EA,B19119_005MA,B19119_005EA,B19119_006EA,B19119_006MA,B19119_007MA,B19119_007EA,state
0400000US01,51991,760,48166,1313,51156,1762,63388,2869,58754,3478,56537,6439,48631,5418,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,75786,2534,70172,3746,80531,6063,86581,7355,84215,10877,77481,11712,68993,6386,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,55328,706,54000,948,54526,1997,59786,1602,60479,4361,51550,3728,51944,4819,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,48713,1091,45394,1178,48491,1775,55444,2165,55560,3913,50142,6315,51452,10601,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,65476,409,61752,529,66034,906,74122,1200,63826,1452,61902,1548,68075,1653,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,69110,1054,64300,1128,70794,2372,85027,3024,70878,2236,61642,6690,56825,8581,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,83106,1258,71400,1532,84638,2683,100451,3582,103090,4905,101232,10924,89887,9363,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,69663,2509,61436,2634,71798,6287,83424,4732,87311,6829,86645,10623,67827,18791,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,75603,3710,80298,8467,68072,7248,76230,21836,58969,29307,99137,74361,69727,36897,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,53958,499,50711,524,53820,1109,63937,1660,60572,1683,52411,3065,56546,3177,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,55001,628,50901,745,55050,1388,65851,2028,56710,2121,52383,6179,54944,6295,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,74234,1895,62601,2473,74460,2748,82973,2901,79384,6203,102177,10246,112825,16372,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,52814,1299,48884,2194,49482,2478,61058,2621,58363,5510,59205,7145,67105,14854,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,65579,596,58647,887,67328,1442,79138,1401,72946,1916,66569,2566,63473,3897,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,57148,643,51551,693,57721,1428,69328,1584,69189,2863,61868,4055,58805,5577,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,62821,829,57659,988,63243,2262,76777,1867,70858,3097,73896,4805,64547,6275,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,61947,827,55698,1235,64571,2495,74853,2134,67628,6116,66436,5288,67617,11993,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,51917,717,45866,704,54485,1780,66409,2333,59389,3855,63647,3571,52419,12742,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,53601,1165,46763,939,54730,2119,68921,2242,64795,5395,58025,5854,61003,8942,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,58375,1403,52148,1779,59200,3201,78310,4190,66662,4661,60275,11460,59395,27846,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,83823,1163,72191,1390,85438,3275,106707,2730,98550,7045,91431,8338,96687,5175,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,80425,823,66076,1242,80822,1403,101523,2013,103741,3253,92244,5040,91184,4032,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,58068,465,51554,484,60464,1073,72366,1229,70529,1987,58910,4257,54343,3722,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,71321,598,62363,758,75350,1742,87319,1687,83575,2760,70413,4246,70131,5886,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,46304,876,42221,1154,45128,1739,58047,3169,52238,4477,45436,7218,42449,8401,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,56616,627,50734,700,58342,1983,70687,2136,70049,3727,64053,4965,57683,5237,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,56217,954,53260,1757,55822,4569,65695,4544,61785,6547,63825,11447,53951,13569,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,63491,1142,58336,1471,65872,2903,75495,2837,71280,3532,63420,8163,58686,6633,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,56544,1151,54545,1682,53950,3078,65212,6809,58646,5661,58506,7330,60528,5568,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,76609,1435,64495,2205,81243,2735,97441,3446,90037,6745,102628,15891,115636,26575,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,82255,594,68284,1269,83292,1688,101682,1414,100740,3742,99974,7668,83034,6765,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,51744,1285,50911,1838,47732,2848,60368,3354,52650,4131,49228,7683,52517,10152,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
