GEO_ID,C05010_001E,C05010_001M,C05010_002E,C05010_002M,C05010_003E,C05010_003M,C05010_004E,C05010_004M,C05010_005E,C05010_005M,C05010_006E,C05010_006M,C05010_007E,C05010_007M,NAME,C05010_001EA,C05010_001MA,C05010_002MA,C05010_002EA,C05010_003EA,C05010_003MA,C05010_004EA,C05010_004MA,C05010_005MA,C05010_005EA,C05010_006EA,C05010_006MA,C05010_007MA,C05010_007EA,state
0400000US01,1058901,5317,534904,12395,489253,12378,45651,4456,523997,11963,495899,12186,28098,3387,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,181091,1362,71026,5262,61347,5662,9679,2469,110065,5311,99792,5271,10273,1855,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1542548,7629,799888,18093,503165,18789,296723,13741,742660,18125,609352,16173,133308,8940,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,666051,4356,359283,10176,309918,10282,49365,5077,306768,9714,281222,9016,25546,3543,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8830346,13244,4145117,37324,1661996,37085,2483121,36597,4685229,36507,2786891,31502,1898338,31263,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1179069,4921,460708,14488,310498,13893,150210,10220,718361,14782,617015,13740,101346,6727,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,778282,2829,232041,9661,166438,7869,65603,6643,546241,9525,430426,8887,115815,7734,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,191327,2500,73434,5301,58096,4513,15338,3535,117893,5409,100485,5015,17408,2821,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,99355,1866,44166,3869,36157,3475,8009,2190,55189,3952,41377,3536,13812,2241,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3791541,11485,1867951,30041,1193592,29528,674359,19628,1923590,30906,1388826,29383,534764,16550,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2343697,10873,1149980,20965,876368,18788,273612,11432,1193717,21373,1012937,21017,180780,12477,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,288395,2300,101900,7078,69484,7004,32416,5261,186495,6992,130835,7277,55660,4400,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,406995,3664,193511,9266,155739,8733,37772,3332,213484,9106,196464,8939,17020,3382,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,2968960,6737,1252059,22566,812300,17244,439759,15229,1716901,21519,1353525,18593,363376,13822,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,1509211,6824,672304,17868,581806,16338,90498,5786,836907,17017,786597,17131,50310,5047,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,695169,3130,270835,9011,233577,8808,37258,3954,424334,8583,398893,8492,25441,3389,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,690313,3495,291913,9368,227318,8344,64595,4889,398400,9226,357618,8818,40782,4562,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,949259,5444,456179,12054,418262,12349,37917,4454,493080,11677,463479,11997,29601,3367,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1049484,6476,515892,12662,485336,12653,30556,3656,533592,12731,502659,12741,30933,4265,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,256593,2292,107996,5290,102973,5254,5023,1166,148597,5593,139074,5576,9523,1613,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
