GEO_ID,B25043_001E,B25043_001M,B25043_002E,B25043_002M,B25043_003E,B25043_003M,B25043_004E,B25043_004M,B25043_005E,B25043_005M,B25043_006E,B25043_006M,B25043_007E,B25043_007M,B25043_008E,B25043_008M,B25043_009E,B25043_009M,B25043_010E,B25043_010M,B25043_011E,B25043_011M,B25043_012E,B25043_012M,B25043_013E,B25043_013M,B25043_014E,B25043_014M,B25043_015E,B25043_015M,B25043_016E,B25043_016M,B25043_017E,B25043_017M,B25043_018E,B25043_018M,B25043_019E,B25043_019M,NAME,B25043_001MA,B25043_001EA,B25043_002MA,B25043_002EA,B25043_003EA,B25043_003MA,B25043_004EA,B25043_004MA,B25043_005EA,B25043_005MA,B25043_006MA,B25043_006EA,B25043_007MA,B25043_007EA,B25043_008MA,B25043_008EA,B25043_009EA,B25043_009MA,B25043_010EA,B25043_010MA,B25043_011EA,B25043_011MA,B25043_012MA,B25043_012EA,B25043_013MA,B25043_013EA,B25043_014EA,B25043_014MA,B25043_015EA,B25043_015MA,B25043_016EA,B25043_016MA,B25043_017MA,B25043_017EA,B25043_018MA,B25043_018EA,B25043_019MA,B25043_019EA,state
0400000US01,1844546,11416,1289217,12212,1264521,12507,140628,5714,770015,8674,353878,5405,24696,2116,4228,946,16623,1867,3845,798,555329,9348,527911,9007,203214,6611,258327,6631,66370,3589,27418,2442,9458,1571,15249,1926,2711,622,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,257330,3380,162312,3867,160042,4056,23671,2272,107138,2922,29233,1596,2270,765,552,531,1347,442,371,275,95018,4471,92391,4483,39131,2738,46785,3248,6475,1015,2627,714,1072,468,1285,483,270,150,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2356055,12130,1501528,15067,1472401,15399,152404,6686,858621,13316,461376,6195,29127,3439,3535,949,18364,2759,7228,1351,854527,15846,814112,15634,309640,9589,416103,12142,88369,5142,40415,3702,13093,2030,22954,2986,4368,1060,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1127621,7837,750984,9249,733135,8727,87477,4580,425249,7490,220409,3809,17849,2093,2703,863,11951,1774,3195,825,376637,8537,355632,8934,137642,6084,173278,6514,44712,2871,21005,2631,7466,1490,11568,1965,1971,651,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12468743,22250,6843369,25886,6773135,25608,555765,12521,4363818,24383,1853552,12242,70234,4834,12295,1682,45709,3992,12230,1647,5625374,23999,5432381,25187,1795671,22677,2985148,26418,651562,10872,192993,7982,76795,4760,94162,5064,22036,2400,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1975388,9057,1271804,10881,1251535,10693,149157,5521,821412,9006,280966,4259,20269,2416,5718,1558,12381,1578,2170,477,703584,11056,673954,10689,280078,7268,320882,8486,72994,3798,29630,2717,12059,1912,13975,1798,3596,1092,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1351643,7309,911059,6941,904523,6975,69633,4130,599278,6595,235612,4028,6536,1038,732,393,4648,949,1156,437,440584,7734,427412,7782,135174,5417,219360,6022,72878,3519,13172,1794,4111,844,7128,1468,1933,622,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,333192,3426,238560,4816,235035,4809,20320,1882,147626,4209,67089,2309,3525,902,707,331,2435,765,383,263,94632,4248,92085,4353,34249,2433,44472,3425,13364,1690,2547,701,949,450,1355,502,243,218,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,268670,3200,110625,3425,108843,3361,14103,1843,65297,2866,29443,1435,1782,717,558,302,1049,641,175,125,158045,3930,150908,4068,66162,2170,66169,3143,18577,1808,7137,1261,3678,957,2520,750,939,566,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7106283,31131,4741169,31771,4646026,31534,345344,10586,2663141,24591,1637541,14644,95143,5897,13187,1822,62275,4756,19681,2358,2365114,25972,2221279,24423,735385,14786,1178057,17174,307837,10003,143835,6902,44934,4683,81222,5067,17679,2313,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
