GEO_ID,C17010_001E,C17010_001M,C17010_002E,C17010_002M,C17010_003E,C17010_003M,C17010_004E,C17010_004M,C17010_005E,C17010_005M,C17010_006E,C17010_006M,C17010_007E,C17010_007M,C17010_008E,C17010_008M,C17010_009E,C17010_009M,C17010_010E,C17010_010M,C17010_011E,C17010_011M,C17010_012E,C17010_012M,C17010_013E,C17010_013M,C17010_014E,C17010_014M,C17010_015E,C17010_015M,C17010_016E,C17010_016M,C17010_017E,C17010_017M,NAME,C17010_001EA,C17010_001MA,C17010_002EA,C17010_002MA,C17010_003EA,C17010_003MA,C17010_004MA,C17010_004EA,C17010_005MA,C17010_005EA,C17010_006MA,C17010_006EA,C17010_007EA,C17010_007MA,C17010_008EA,C17010_008MA,C17010_009EA,C17010_009MA,C17010_010MA,C17010_010EA,C17010_011MA,C17010_011EA,C17010_012EA,C17010_012MA,C17010_013EA,C17010_013MA,C17010_014EA,C17010_014MA,C17010_015MA,C17010_015EA,C17010_016MA,C17010_016EA,C17010_017EA,C17010_017MA,state
0400000US01,1251795,13646,185909,6956,59150,3773,36931,3072,126759,6010,17144,2148,11478,1986,109615,5436,92540,5371,1065886,12576,830660,13121,325475,9334,235226,9305,62434,4569,31405,3227,172792,7372,93468,5465,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,173279,4602,12024,1704,3842,813,2780,632,8182,1485,2416,849,2328,848,5766,1148,5387,1108,161255,4646,123435,4083,56769,3139,37820,2584,13328,1464,8957,1363,24492,2226,17338,1917,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1543923,17041,217603,9605,86195,6025,60427,4834,131408,7640,29605,3457,23343,3211,101803,6253,88825,6290,1326320,15922,1024155,15246,403419,12711,302165,11081,97891,6129,56781,4972,204274,9043,122090,6538,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,757205,8841,112534,5422,41651,3089,25069,2759,70883,4674,11297,1840,7905,1542,59586,4236,51671,4158,644671,9383,514457,9045,197436,6645,130214,5525,36704,3575,20962,2993,93510,4397,55609,3822,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8518518,30469,1056152,15484,455238,10817,331164,8916,600914,12384,126510,6051,99149,5549,474404,11719,406839,11339,7462366,32642,5603947,36627,2673680,23862,1858419,25132,621922,13214,320484,9691,1236497,18248,681186,13155,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1256471,12018,114546,5172,45650,3697,31568,3429,68896,4246,13492,2118,10775,2040,55404,3914,48904,3642,1141925,11786,924906,12060,408546,10126,217019,7600,74302,5184,46639,4441,142717,5553,85193,4064,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,893101,9280,70551,4637,19023,2289,11430,1766,51528,4149,7519,1540,5361,1257,44009,3672,38591,3460,822550,9225,641276,8599,275265,7058,181274,6406,45948,3395,21898,2385,135326,5171,78518,3955,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,227101,3932,18261,1977,4541,1002,2678,729,13720,1944,2561,1057,2173,971,11159,1600,9265,1530,208840,3727,157214,3452,62570,2956,51626,3455,16124,2367,9514,1854,35502,2826,20233,2440,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,114045,3666,17608,2027,2165,759,1145,592,15443,2076,2022,732,1449,663,13421,1862,10562,1601,96437,3750,55082,3009,19738,1812,41355,3014,9106,1575,4199,1065,32249,2514,17179,1956,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4559858,26881,564395,15175,227560,9748,130347,7062,336835,10750,64057,5288,47220,4684,272778,8881,226981,8730,3995463,26744,3065495,26185,1080942,18252,929968,15536,260028,9424,130069,6977,669940,12950,371195,11241,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2376008,17596,349145,12059,124409,7749,83252,6387,224736,7699,35436,3713,24658,3223,189300,7234,159371,6735,2026863,18425,1543289,19299,691883,13897,483574,11603,129516,7609,68000,5319,354058,10443,210240,8465,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,311789,5861,26678,2586,12044,1876,7270,1558,14634,1743,2446,806,2138,788,12188,1686,10359,1625,285111,5942,217597,6067,96509,4253,67514,3832,23322,2317,11492,1642,44192,3276,22536,2471,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,398682,6942,46241,3273,20947,2134,13163,1704,25294,2591,5017,1476,3537,981,20277,2217,18555,2211,352441,7686,298323,7835,126285,5417,54118,4387,20177,2649,12642,2054,33941,3204,20084,2428,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3098864,16403,340244,8556,116829,6180,81448,5019,223415,6394,31836,2922,24018,2547,191579,5790,164072,5483,2758620,16709,2152414,15822,936079,11684,606206,11126,180270,6900,95906,5626,425936,8689,234544,7231,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,1641389,13221,192775,7271,60825,4203,38057,3470,131950,5949,21522,2725,17543,2420,110428,5271,99133,5124,1448614,12106,1156209,13552,470762,9472,292405,8597,89268,5446,48437,3605,203137,6690,121770,4705,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,784895,8576,63772,3387,23116,1795,14895,1499,40656,2949,6164,987,5018,918,34492,2881,31685,2718,721123,8768,602115,7711,235539,5835,119008,4824,41067,3089,23594,2564,77941,3456,50888,3136,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,722016,7825,66664,3600,23275,2196,17015,2003,43389,2890,6011,1122,4864,1034,37378,2696,34351,2693,655352,7579,534144,7448,227668,5988,121208,5284,40949,3089,24410,2585,80259,4410,49696,3539,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,1119880,11401,164243,6798,60437,4224,35713,3230,103806,5455,17874,2034,13895,1796,85932,4835,75170,4880,955637,11084,767082,12072,302995,8094,188555,6759,57193,3850,31047,2963,131362,5708,71497,4784,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
