GEO_ID,B17020I_001E,B17020I_001M,B17020I_002E,B17020I_002M,B17020I_003E,B17020I_003M,B17020I_004E,B17020I_004M,B17020I_005E,B17020I_005M,B17020I_006E,B17020I_006M,B17020I_007E,B17020I_007M,B17020I_008E,B17020I_008M,B17020I_009E,B17020I_009M,B17020I_010E,B17020I_010M,B17020I_011E,B17020I_011M,B17020I_012E,B17020I_012M,B17020I_013E,B17020I_013M,B17020I_014E,B17020I_014M,B17020I_015E,B17020I_015M,B17020I_016E,B17020I_016M,B17020I_017E,B17020I_017M,NAME,B17020I_001EA,B17020I_001MA,B17020I_002MA,B17020I_002EA,B17020I_003MA,B17020I_003EA,B17020I_004EA,B17020I_004MA,B17020I_005EA,B17020I_005MA,B17020I_006EA,B17020I_006MA,B17020I_007MA,B17020I_007EA,B17020I_008MA,B17020I_008EA,B17020I_009MA,B17020I_009EA,B17020I_010EA,B17020I_010MA,B17020I_011EA,B17020I_011MA,B17020I_012EA,B17020I_012MA,B17020I_013MA,B17020I_013EA,B17020I_014MA,B17020I_014EA,B17020I_015EA,B17020I_015MA,B17020I_016EA,B17020I_016MA,B17020I_017EA,B17020I_017MA,state
0400000US01,181684,1581,59640,6714,11902,2658,2613,1222,10301,2021,7085,1615,27108,3558,518,327,113,122,122044,6765,11111,2123,855,465,12633,2674,10272,2219,81159,4543,3627,1234,2387,867,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,40694,394,2811,998,352,220,0,149,301,259,555,409,1453,561,50,68,100,126,37883,1064,4056,298,934,432,5224,954,3359,787,23168,718,751,325,391,196,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1900732,3860,563098,29233,78563,6322,16995,3066,83646,6561,78754,6976,286520,15250,10541,1876,8079,1453,1337634,29945,119255,6621,22917,3221,143741,7945,149998,8694,817321,14759,52915,2283,31487,2076,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,186093,1816,62124,9496,13063,2546,1772,768,10955,2186,6384,2004,29400,4451,386,309,164,181,123969,9609,13081,2137,2425,960,14907,2941,12708,2367,77676,4688,1356,537,1816,800,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,14107699,7575,3297566,56745,439671,11319,81881,5247,483087,14020,444801,12735,1728146,33021,69175,3918,50805,3961,10810133,55906,894625,11393,181309,7271,1052049,18792,1128407,15393,6893245,32423,391307,3805,269191,4185,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1046607,2135,254054,15856,42519,3986,7199,1573,40194,4013,26189,3710,130018,8643,4790,1056,3145,741,792553,16219,69251,4347,14635,2189,91927,4557,84317,4149,485085,8311,29852,1494,17486,1172,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,481123,1777,131564,9466,17004,1869,3411,1019,19035,2714,16783,2238,69917,5430,3563,764,1851,579,349559,9515,28933,1896,4972,1032,34037,2902,35308,3071,228712,5482,11586,920,6011,733,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,74285,1037,16059,3550,3118,928,788,467,2374,1004,1475,644,8045,2147,0,192,259,266,58226,3596,5521,1147,1096,587,7826,1302,4912,1022,36285,2147,927,376,1659,528,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,57263,589,10371,2887,731,455,0,200,1197,940,448,451,6972,1992,323,313,700,501,46892,2881,4716,455,315,321,2969,902,2894,796,33982,1956,1573,441,443,281,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4292336,4679,973953,37574,113506,7796,21885,2789,107456,9082,96399,7745,536430,21077,48419,4433,49858,4502,3318383,36568,202100,7956,39347,3580,250312,9029,276458,9673,2197843,20310,201309,5144,151014,5033,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
