GEO_ID,B16005H_001E,B16005H_001M,B16005H_002E,B16005H_002M,B16005H_003E,B16005H_003M,B16005H_004E,B16005H_004M,B16005H_005E,B16005H_005M,B16005H_006E,B16005H_006M,B16005H_007E,B16005H_007M,B16005H_008E,B16005H_008M,B16005H_009E,B16005H_009M,B16005H_010E,B16005H_010M,B16005H_011E,B16005H_011M,NAME,B16005H_001EA,B16005H_001MA,B16005H_002EA,B16005H_002MA,B16005H_003EA,B16005H_003MA,B16005H_004MA,B16005H_004EA,B16005H_005MA,B16005H_005EA,B16005H_006EA,B16005H_006MA,B16005H_007EA,B16005H_007MA,B16005H_008EA,B16005H_008MA,B16005H_009MA,B16005H_009EA,B16005H_010MA,B16005H_010EA,B16005H_011MA,B16005H_011EA,state
0400000US01,3032793,2114,3007223,3475,2971054,5195,36169,3623,30642,3403,5527,1039,25570,2840,13882,1929,11688,2165,8604,1790,3084,1173,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,432216,339,417950,2876,401317,3667,16633,2376,15305,2321,1328,488,14266,2877,5311,1165,8955,2753,5343,1516,3612,1798,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3537015,2356,3384630,10031,3280240,12765,104390,7365,90386,6514,14004,3475,152385,9896,78702,6986,73683,7977,48270,5146,25413,4056,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2060018,1326,2044849,2711,2012777,4378,32072,3476,25354,3220,6718,1355,15169,2043,8053,1564,7116,1669,5201,1229,1915,853,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,14281184,7745,12948677,26531,12299128,33799,649549,17948,576968,17416,72581,5074,1332507,24379,414519,11874,917988,23470,516167,15835,401821,15397,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3373988,1993,3273336,7011,3179995,9460,93341,6428,82772,6025,10569,1920,100652,6573,45973,3311,54679,5291,37392,3854,17287,3133,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2424108,2180,2252414,7564,2146778,9817,105636,5686,93758,5387,11878,1645,171694,7165,51939,3881,119755,6538,64915,3952,54840,4386,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,562238,262,546655,2273,526344,3602,20311,3094,16895,2623,3416,1526,15583,2264,7346,1435,8237,1946,6227,1859,2010,741,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,208300,305,188236,2621,177873,2860,10363,1460,9392,1435,971,467,20064,2517,7026,1502,13038,2315,10941,2006,2097,686,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,10468448,4717,9828518,19700,9458346,23355,370172,13884,323109,13917,47063,4061,639930,19019,260149,12735,379781,16486,228886,12399,150895,9561,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,5146475,3044,5016358,11436,4915577,14361,100781,7312,86627,6896,14154,2374,130117,10749,46636,4454,83481,9247,55566,6024,27915,5672,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
