GEO_ID,C05003A_001E,C05003A_001M,C05003A_002E,C05003A_002M,C05003A_003E,C05003A_003M,C05003A_004E,C05003A_004M,C05003A_005E,C05003A_005M,C05003A_006E,C05003A_006M,C05003A_007E,C05003A_007M,C05003A_008E,C05003A_008M,C05003A_009E,C05003A_009M,C05003A_010E,C05003A_010M,C05003A_011E,C05003A_011M,C05003A_012E,C05003A_012M,C05003A_013E,C05003A_013M,C05003A_014E,C05003A_014M,C05003A_015E,C05003A_015M,NAME,C05003A_001EA,C05003A_001MA,C05003A_002EA,C05003A_002MA,C05003A_003EA,C05003A_003MA,C05003A_004EA,C05003A_004MA,C05003A_005EA,C05003A_005MA,C05003A_006EA,C05003A_006MA,C05003A_007EA,C05003A_007MA,C05003A_008MA,C05003A_008EA,C05003A_009MA,C05003A_009EA,C05003A_010EA,C05003A_010MA,C05003A_011EA,C05003A_011MA,C05003A_012EA,C05003A_012MA,C05003A_013MA,C05003A_013EA,C05003A_014MA,C05003A_014EA,C05003A_015EA,C05003A_015MA,state
0400000US01,3318110,8630,1622668,5726,360717,2482,358475,2430,2242,766,1261951,4632,1227955,3664,33996,3406,1695442,5921,350220,3695,345611,4109,4609,1705,1345222,3132,1313138,3524,32084,3087,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,482698,2741,253207,1656,54162,864,52706,1474,1456,1285,199045,1116,192288,1490,6757,1484,229491,1675,51560,1020,50713,1275,847,669,177931,991,168637,1851,9294,1653,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5141027,23299,2548651,12469,607102,6919,588588,7169,18514,3260,1941549,8930,1683461,10060,258088,10092,2592376,13624,573119,7825,553929,8132,19190,3448,2019257,8080,1746575,10611,272682,9903,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2296248,7497,1133459,4452,261112,2927,256993,2513,4119,1508,872347,2850,842868,2859,29479,3531,1162789,5016,245964,3142,242774,3336,3190,1649,916825,3053,890439,2259,26386,2733,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,23698393,65345,11838540,34309,2783397,16536,2658985,16507,124412,6026,9055143,24972,6919245,25807,2135898,29019,11859853,38445,2643558,18866,2531214,18473,112344,6856,9216295,22515,7024408,23519,2191887,23595,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4318187,17394,2165440,10622,500705,6167,488298,6446,12407,2158,1664735,6488,1529014,6024,135721,7248,2152747,8835,470494,5080,460763,5186,9731,1693,1682253,5667,1553304,6865,128949,6603,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2787171,11468,1356044,6338,290331,3430,284401,3412,5930,1123,1065713,4461,961885,5205,103828,5071,1431127,6412,275780,3448,270350,3543,5430,1315,1155347,3943,1038833,5254,116514,5346,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,636680,4729,309585,2864,62697,1584,61966,1531,731,461,246888,1831,230934,1736,15954,2235,327095,2439,61896,1258,61319,1247,577,322,265199,1532,250770,2089,14429,1795,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,246505,3665,123838,2493,12955,862,12394,878,561,506,110883,1870,92593,2167,18290,2300,122667,1841,12229,876,11718,770,511,410,110438,1376,94137,2149,16301,2216,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,14535897,31466,7126879,16918,1384473,8914,1320766,9980,63707,5687,5742406,12819,4652237,16435,1090169,18611,7409018,19550,1314730,10350,1250721,9395,64009,4783,6094288,13169,4873946,19833,1220342,20845,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,5961961,19867,2964410,10688,696542,6652,681554,6836,14988,2979,2267868,6934,2082863,8202,185005,9159,2997551,12090,647396,6745,634041,6549,13355,2355,2350155,7325,2187419,7885,162736,7925,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,343352,3503,185285,2345,25235,1387,25024,1386,211,184,160050,1557,149622,2201,10428,1737,158067,1999,24253,1240,23706,1165,547,463,133814,1494,122717,1902,11097,1504,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1465484,5687,732506,3554,199689,1986,197490,2018,2199,1070,532817,2502,505135,3319,27682,2624,732978,3318,187681,1999,185568,2107,2113,855,545297,2265,514753,3167,30544,2849,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,9328438,27666,4595973,15877,1048400,7047,1024140,6912,24260,3003,3547573,11374,3111118,11324,436455,12576,4732465,14599,997188,7724,974876,7778,22312,2945,3735277,9599,3291901,10846,443376,12129,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
