GEO_ID,B17012_001E,B17012_001M,B17012_002E,B17012_002M,B17012_003E,B17012_003M,B17012_004E,B17012_004M,B17012_005E,B17012_005M,B17012_006E,B17012_006M,B17012_007E,B17012_007M,B17012_008E,B17012_008M,B17012_009E,B17012_009M,B17012_010E,B17012_010M,B17012_011E,B17012_011M,B17012_012E,B17012_012M,B17012_013E,B17012_013M,B17012_014E,B17012_014M,B17012_015E,B17012_015M,B17012_016E,B17012_016M,B17012_017E,B17012_017M,B17012_018E,B17012_018M,B17012_019E,B17012_019M,B17012_020E,B17012_020M,B17012_021E,B17012_021M,B17012_022E,B17012_022M,B17012_023E,B17012_023M,B17012_024E,B17012_024M,B17012_025E,B17012_025M,B17012_026E,B17012_026M,B17012_027E,B17012_027M,B17012_028E,B17012_028M,B17012_029E,B17012_029M,B17012_030E,B17012_030M,B17012_031E,B17012_031M,B17012_032E,B17012_032M,B17012_033E,B17012_033M,B17012_034E,B17012_034M,B17012_035E,B17012_035M,NAME,B17012_001EA,B17012_001MA,B17012_002EA,B17012_002MA,B17012_003MA,B17012_003EA,B17012_004MA,B17012_004EA,B17012_005EA,B17012_005MA,B17012_006EA,B17012_006MA,B17012_007EA,B17012_007MA,B17012_008MA,B17012_008EA,B17012_009MA,B17012_009EA,B17012_010MA,B17012_010EA,B17012_011EA,B17012_011MA,B17012_012EA,B17012_012MA,B17012_013EA,B17012_013MA,B17012_014EA,B17012_014MA,B17012_015MA,B17012_015EA,B17012_016EA,B17012_016MA,B17012_017EA,B17012_017MA,B17012_018EA,B17012_018MA,B17012_019EA,B17012_019MA,B17012_020MA,B17012_020EA,B17012_021MA,B17012_021EA,B17012_022EA,B17012_022MA,B17012_023EA,B17012_023MA,B17012_024MA,B17012_024EA,B17012_025MA,B17012_025EA,B17012_026MA,B17012_026EA,B17012_027EA,B17012_027MA,B17012_028EA,B17012_028MA,B17012_029MA,B17012_029EA,B17012_030MA,B17012_030EA,B17012_031MA,B17012_031EA,B17012_032MA,B17012_032EA,B17012_033EA,B17012_033MA,B17012_034EA,B17012_034MA,B17012_035MA,B17012_035EA,state
0400000US01,1251795,13646,185909,6956,59150,3773,22219,2242,24226,2665,10218,1879,2487,1119,126759,6010,17144,2148,5666,1162,9546,1814,1708,680,224,210,109615,5436,17075,1986,66748,3979,22709,2767,3083,975,1065886,12576,830660,13121,505185,8409,267897,9176,54537,4895,3041,1054,235226,9305,62434,4569,31029,3043,27606,2832,3725,1239,74,86,172792,7372,79324,4417,84415,5183,8638,1403,415,322,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,173279,4602,12024,1704,3842,813,1062,493,1253,403,671,251,856,397,8182,1485,2416,849,88,48,1635,751,434,260,259,307,5766,1148,379,234,3682,958,1338,523,367,203,161255,4646,123435,4083,66666,2982,40709,2986,14289,2190,1771,538,37820,2584,13328,1464,4371,916,6863,1140,2016,829,78,61,24492,2226,7154,1131,14215,1765,2764,982,359,292,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1543923,17041,217603,9605,86195,6025,25768,2967,33765,4161,22307,2529,4355,983,131408,7640,29605,3457,6262,1682,16550,2731,6170,1703,623,392,101803,6253,12978,2153,56241,5095,26909,3254,5675,1559,1326320,15922,1024155,15246,620736,11624,307955,10541,89371,5925,6093,1695,302165,11081,97891,6129,41110,3695,48083,4617,8004,1678,694,470,204274,9043,82184,5556,101474,5971,18723,2997,1893,861,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,757205,8841,112534,5422,41651,3089,16582,1878,15971,1854,7428,1678,1670,862,70883,4674,11297,1840,3392,1213,5962,1273,1500,674,443,440,59586,4236,7915,1442,37244,3502,12995,1919,1432,666,644671,9383,514457,9045,317021,6732,164783,6216,31317,2441,1336,489,130214,5525,36704,3575,15742,1903,18745,2757,2185,696,32,51,93510,4397,37901,2919,50707,3321,4667,1262,235,258,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8518518,30469,1056152,15484,455238,10817,124074,5065,187226,6705,124899,6201,19039,2111,600914,12384,126510,6051,27361,2507,67780,4363,27137,3001,4232,1324,474404,11719,67565,4745,269819,9207,118987,6566,18033,2348,7462366,32642,5603947,36627,2930267,26252,2124946,23050,507139,11793,41595,3687,1858419,25132,621922,13214,301438,9408,269185,8683,46014,3936,5285,1876,1236497,18248,555311,11473,581034,12892,91575,5837,8577,1777,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1256471,12018,114546,5172,45650,3697,14082,1851,18139,2572,10279,1648,3150,1272,68896,4246,13492,2118,2717,747,7619,1697,2846,1146,310,281,55404,3914,6500,1358,32746,3005,14366,2297,1792,735,1141925,11786,924906,12060,516360,8850,320440,9106,80677,4938,7429,2107,217019,7600,74302,5184,27663,3125,41923,4341,4584,1415,132,247,142717,5553,57524,3936,76572,3778,8267,1475,354,301,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,893101,9280,70551,4637,19023,2289,7593,1325,7383,1575,3382,849,665,543,51528,4149,7519,1540,2158,916,3876,1044,1485,741,0,198,44009,3672,5418,1263,27257,2950,10176,1640,1158,622,822550,9225,641276,8599,366011,8138,223553,6739,49920,2941,1792,613,181274,6406,45948,3395,24050,2177,19733,2461,2152,701,13,21,135326,5171,56808,3537,70119,3465,7939,1795,460,324,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,227101,3932,18261,1977,4541,1002,1863,659,1672,521,891,505,115,160,13720,1944,2561,1057,388,302,1767,905,303,241,103,129,11159,1600,1894,595,6291,1353,2512,888,462,330,208840,3727,157214,3452,94644,3076,51448,2817,10558,1728,564,325,51626,3455,16124,2367,6610,1358,7691,1643,1781,767,42,74,35502,2826,15269,1831,18059,2271,1951,681,223,252,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,114045,3666,17608,2027,2165,759,1020,464,1145,592,0,200,0,200,15443,2076,2022,732,573,319,927,564,522,421,0,200,13421,1862,2859,853,6782,1406,3441,1067,339,343,96437,3750,55082,3009,35344,2597,16935,1605,2604,801,199,194,41355,3014,9106,1575,4907,1227,4023,1033,176,264,0,200,32249,2514,15070,1867,15122,1766,2057,771,0,200,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4559858,26881,564395,15175,227560,9748,97213,6818,85102,5945,37684,3606,7561,1752,336835,10750,64057,5288,16837,2250,36187,3618,9984,2381,1049,605,272778,8881,45797,3925,163436,7780,54696,4365,8849,1618,3995463,26744,3065495,26185,1984553,19502,902847,16513,169675,9288,8420,1599,929968,15536,260028,9424,129959,6206,118954,6676,10259,2283,856,536,669940,12950,298745,9201,328664,10780,40535,4195,1996,879,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
