GEO_ID,C25015_001E,C25015_001M,C25015_002E,C25015_002M,C25015_003E,C25015_003M,C25015_004E,C25015_004M,C25015_005E,C25015_005M,C25015_006E,C25015_006M,C25015_007E,C25015_007M,C25015_008E,C25015_008M,C25015_009E,C25015_009M,C25015_010E,C25015_010M,C25015_011E,C25015_011M,C25015_012E,C25015_012M,C25015_013E,C25015_013M,C25015_014E,C25015_014M,C25015_015E,C25015_015M,C25015_016E,C25015_016M,C25015_017E,C25015_017M,C25015_018E,C25015_018M,C25015_019E,C25015_019M,C25015_020E,C25015_020M,C25015_021E,C25015_021M,NAME,C25015_001EA,C25015_001MA,C25015_002MA,C25015_002EA,C25015_003MA,C25015_003EA,C25015_004MA,C25015_004EA,C25015_005MA,C25015_005EA,C25015_006EA,C25015_006MA,C25015_007EA,C25015_007MA,C25015_008EA,C25015_008MA,C25015_009MA,C25015_009EA,C25015_010MA,C25015_010EA,C25015_011MA,C25015_011EA,C25015_012EA,C25015_012MA,C25015_013EA,C25015_013MA,C25015_014MA,C25015_014EA,C25015_015MA,C25015_015EA,C25015_016MA,C25015_016EA,C25015_017EA,C25015_017MA,C25015_018EA,C25015_018MA,C25015_019EA,C25015_019MA,C25015_020MA,C25015_020EA,C25015_021MA,C25015_021EA,state
0400000US01,1844546,11416,1289217,12212,144856,5807,140883,5838,3973,1062,786638,8589,777751,8573,8887,1415,357723,5218,356913,5304,810,301,555329,9348,212672,6674,201899,6810,10773,1890,273576,7272,262527,6921,11049,2040,69081,3595,68613,3584,468,310,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,257330,3380,162312,3867,24223,2324,21787,2229,2436,732,108485,2895,102795,2866,5690,898,29604,1551,28917,1567,687,311,95018,4471,40203,2709,36320,2752,3883,889,48070,3306,43458,3153,4612,1133,6745,999,6419,942,326,316,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2356055,12130,1501528,15067,155939,7032,148579,6584,7360,1934,876985,13186,846221,13385,30764,3341,468604,6320,464582,6297,4022,1181,854527,15846,322733,9691,289272,8791,33461,3978,439057,12486,403594,12203,35463,3646,92737,5055,91801,5048,936,439,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1127621,7837,750984,9249,90180,4705,88073,4683,2107,716,437200,7875,431118,7678,6082,1294,223604,3779,222815,3759,789,449,376637,8537,145108,6102,135850,5922,9258,1684,184846,6520,176609,6424,8237,1868,46683,2910,46394,2903,289,270,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12468743,22250,6843369,25886,568060,12956,531744,12110,36316,3094,4409527,24435,4177441,26077,232086,6413,1865782,12083,1843287,12311,22495,2034,5625374,23999,1872466,22150,1594550,21859,277916,9504,3079310,25909,2637196,27161,442114,9705,673598,10867,650877,10870,22721,2552,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1975388,9057,1271804,10881,154875,5784,150413,5843,4462,1193,833793,9091,822235,9105,11558,1937,283136,4111,282425,4068,711,496,703584,11056,292137,7330,273853,7866,18284,2671,334857,8854,319628,8809,15229,2222,76590,3901,75834,3883,756,444,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1351643,7309,911059,6941,70365,4209,69089,4204,1276,624,603926,6639,598527,6709,5399,1146,236768,4134,236401,4135,367,264,440584,7734,139285,5421,130829,5302,8456,1413,226488,5878,216319,6022,10169,1723,74811,3438,74347,3414,464,293,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,333192,3426,238560,4816,21027,1945,20524,1936,503,363,150061,4188,149244,4230,817,440,67472,2361,67349,2361,123,155,94632,4248,35198,2445,33492,2404,1706,767,45827,3379,44857,3376,970,631,13607,1730,13607,1730,0,192,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,268670,3200,110625,3425,14661,1837,14390,1821,271,262,66346,2866,65580,2913,766,349,29618,1446,29335,1454,283,306,158045,3930,69840,2022,65621,1841,4219,1175,68689,3246,65972,3316,2717,817,19516,1759,19088,1686,428,473,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7106283,31131,4741169,31771,358531,10780,349438,10679,9093,1513,2725416,25037,2671682,24326,53734,4538,1657222,14430,1650830,14318,6392,1118,2365114,25972,780319,15132,730670,14929,49649,4707,1259279,18803,1196005,18941,63274,4493,325516,9977,321580,9806,3936,1400,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
