GEO_ID,C27001G_001E,C27001G_001M,C27001G_002E,C27001G_002M,C27001G_003E,C27001G_003M,C27001G_004E,C27001G_004M,C27001G_005E,C27001G_005M,C27001G_006E,C27001G_006M,C27001G_007E,C27001G_007M,C27001G_008E,C27001G_008M,C27001G_009E,C27001G_009M,C27001G_010E,C27001G_010M,NAME,C27001G_001EA,C27001G_001MA,C27001G_002MA,C27001G_002EA,C27001G_003MA,C27001G_003EA,C27001G_004MA,C27001G_004EA,C27001G_005EA,C27001G_005MA,C27001G_006EA,C27001G_006MA,C27001G_007MA,C27001G_007EA,C27001G_008MA,C27001G_008EA,C27001G_009MA,C27001G_009EA,C27001G_010EA,C27001G_010MA,state
0400000US01,63284,5173,29077,3156,27561,3084,1516,848,30275,3148,22556,2758,7719,1709,3932,906,3814,876,118,185,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,58965,4720,31890,2741,25605,3144,6285,1683,26116,2782,18595,2274,7521,1330,959,357,959,357,0,149,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,191475,11582,96321,7322,83671,6804,12650,3223,87806,6963,66029,5883,21777,3454,7348,1469,6989,1440,359,338,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,56490,5695,25591,3356,23467,3236,2124,968,26553,3483,16871,2730,9682,1766,4346,956,4346,956,0,192,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1570961,33813,700130,18575,663088,18697,37042,4832,796680,21923,616691,17064,179989,9798,74151,4521,73075,4475,1076,516,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,166996,9513,80354,6320,73559,6086,6795,2465,80577,5117,63547,4506,17030,2477,6065,1180,6018,1176,47,80,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,85950,5866,39951,3878,39210,3883,741,431,41359,3797,34578,3372,6781,1429,4640,1137,4295,1029,345,423,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,23883,3367,13347,2464,12995,2498,352,501,9790,1721,8087,1592,1703,652,746,419,746,419,0,192,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,12760,1744,3777,820,3727,807,50,83,8199,1311,7669,1238,530,337,784,326,784,326,0,200,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,416236,20027,192710,12648,173872,12036,18838,4286,199334,10878,136291,8032,63043,6369,24192,2890,23328,2826,864,571,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
