GEO_ID,B15002A_001E,B15002A_001M,B15002A_002E,B15002A_002M,B15002A_003E,B15002A_003M,B15002A_004E,B15002A_004M,B15002A_005E,B15002A_005M,B15002A_006E,B15002A_006M,B15002A_007E,B15002A_007M,B15002A_008E,B15002A_008M,B15002A_009E,B15002A_009M,B15002A_010E,B15002A_010M,B15002A_011E,B15002A_011M,B15002A_012E,B15002A_012M,B15002A_013E,B15002A_013M,B15002A_014E,B15002A_014M,B15002A_015E,B15002A_015M,B15002A_016E,B15002A_016M,B15002A_017E,B15002A_017M,B15002A_018E,B15002A_018M,B15002A_019E,B15002A_019M,NAME,B15002A_001MA,B15002A_001EA,B15002A_002MA,B15002A_002EA,B15002A_003EA,B15002A_003MA,B15002A_004EA,B15002A_004MA,B15002A_005EA,B15002A_005MA,B15002A_006MA,B15002A_006EA,B15002A_007EA,B15002A_007MA,B15002A_008MA,B15002A_008EA,B15002A_009EA,B15002A_009MA,B15002A_010EA,B15002A_010MA,B15002A_011MA,B15002A_011EA,B15002A_012EA,B15002A_012MA,B15002A_013MA,B15002A_013EA,B15002A_014EA,B15002A_014MA,B15002A_015EA,B15002A_015MA,B15002A_016MA,B15002A_016EA,B15002A_017EA,B15002A_017MA,B15002A_018EA,B15002A_018MA,B15002A_019MA,B15002A_019EA,state
0400000US01,2302745,5250,1107942,4260,63993,4152,122714,5951,258922,7815,67153,4298,240463,7581,70059,4113,179121,6925,105517,4829,1194803,3385,54726,3429,113668,5443,312277,7323,62436,4195,271310,7320,93243,4834,181656,6261,105487,4660,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,330656,1610,173473,1138,2631,743,6975,1504,39833,2815,9108,1515,52610,2894,12642,1877,30568,2832,19106,1966,157183,949,1522,542,5174,1094,31199,2527,5542,855,47098,3416,13866,1753,33246,2279,19536,2249,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3479150,12998,1694644,7866,90084,6356,134459,7827,318155,13577,82329,5173,435322,11721,135434,7433,320528,10605,178333,6853,1784506,6935,89637,4788,122809,7372,392482,11514,52702,4435,490049,13135,160584,8823,309620,8722,166623,7331,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1579291,4327,766037,2796,45327,3286,74183,3691,226990,7245,52488,3112,165964,6337,34113,3199,108304,4765,58668,4028,813254,3050,43107,3281,68780,3902,240826,8329,47576,3257,185346,6662,57470,4047,107637,4806,62512,3923,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,15932800,33668,7837929,19757,670024,16704,645079,14285,1452862,23425,221897,8706,1788971,21268,568405,12699,1514768,19654,975923,16713,8094871,18807,702941,14793,600565,12391,1566092,17366,147392,6585,1925962,22545,706281,12526,1542062,17001,903576,15353,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2937118,9004,1450372,5599,50235,3640,77851,4703,254517,7154,60477,3619,327944,8269,110916,4815,358126,9398,210306,6390,1486746,4804,39135,3321,70289,4117,281996,7540,47037,3369,348658,7916,133987,6285,364279,9729,201365,5737,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1983149,6043,943168,3713,33427,2605,53779,4341,226353,6815,36042,3297,170455,6673,55012,3274,210247,5682,157853,5352,1039981,3298,32469,2682,50353,3261,258887,6850,23595,2149,185178,6015,92358,4334,223776,6208,173365,6799,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,451421,2615,216551,1496,10245,1624,18295,2066,55932,3208,8147,1616,42872,3122,12163,1829,40509,2616,28388,2477,234870,1366,8332,1540,16012,1879,71075,3691,5573,1231,43827,2482,20246,2452,42617,2956,27188,3060,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,182764,2198,93702,1418,2948,1396,1450,739,3475,898,237,235,5748,1173,1568,656,32144,2668,46132,2796,89062,1214,2381,919,660,626,2351,685,115,122,3851,972,1789,721,32640,2169,45275,2053,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,10605954,18219,5109308,10538,252846,9651,415014,11874,1260308,19229,257670,10310,1043868,18703,414903,12578,910098,15554,554601,12196,5496646,11374,254058,9687,379624,10638,1515678,21845,193136,7787,1186475,19751,529680,15497,948078,19404,489917,12295,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
