GEO_ID,B15002H_001E,B15002H_001M,B15002H_002E,B15002H_002M,B15002H_003E,B15002H_003M,B15002H_004E,B15002H_004M,B15002H_005E,B15002H_005M,B15002H_006E,B15002H_006M,B15002H_007E,B15002H_007M,B15002H_008E,B15002H_008M,B15002H_009E,B15002H_009M,B15002H_010E,B15002H_010M,B15002H_011E,B15002H_011M,B15002H_012E,B15002H_012M,B15002H_013E,B15002H_013M,B15002H_014E,B15002H_014M,B15002H_015E,B15002H_015M,B15002H_016E,B15002H_016M,B15002H_017E,B15002H_017M,B15002H_018E,B15002H_018M,B15002H_019E,B15002H_019M,NAME,B15002H_001MA,B15002H_001EA,B15002H_002EA,B15002H_002MA,B15002H_003EA,B15002H_003MA,B15002H_004MA,B15002H_004EA,B15002H_005MA,B15002H_005EA,B15002H_006MA,B15002H_006EA,B15002H_007MA,B15002H_007EA,B15002H_008EA,B15002H_008MA,B15002H_009EA,B15002H_009MA,B15002H_010EA,B15002H_010MA,B15002H_011MA,B15002H_011EA,B15002H_012MA,B15002H_012EA,B15002H_013EA,B15002H_013MA,B15002H_014EA,B15002H_014MA,B15002H_015EA,B15002H_015MA,B15002H_016MA,B15002H_016EA,B15002H_017MA,B15002H_017EA,B15002H_018MA,B15002H_018EA,B15002H_019EA,B15002H_019MA,state
0400000US01,2244173,1823,1076292,1113,55709,3536,118376,5705,249683,7236,66840,4277,236553,7305,68509,4059,176524,6716,104098,4794,1167881,1252,49365,2976,110784,5477,304835,7388,61494,4147,267147,7398,91559,4807,179132,6096,103565,4322,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,318668,486,168028,478,2328,719,6350,1266,38477,2679,8963,1507,50955,3005,12459,1900,30021,2849,18475,1958,150640,210,1200,489,4722,1060,29502,2589,5278,816,45627,3319,12932,1664,32257,2266,19122,2174,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2743025,2176,1336690,1696,21158,3081,74636,5803,242884,9817,58471,4356,360301,10146,116135,6560,293942,10120,169163,6631,1406335,1003,16614,2268,64757,5116,307917,10084,38497,3765,405729,11213,139207,8145,282180,8207,151434,6749,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1524464,2131,735948,1793,37267,2756,69633,3586,218909,6947,49836,3146,162942,6124,33323,3174,106520,4644,57518,4007,788516,1169,34370,2932,65728,3839,236563,8279,46704,3255,182240,6577,55553,3883,105953,4816,61405,3792,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,11151511,5610,5485287,3584,86816,6036,251373,9402,928935,17103,152219,6436,1370949,17423,452584,10199,1339641,17663,902770,15513,5666224,2881,102587,5014,236227,6964,1055930,15391,90989,4928,1474304,17208,554799,10872,1334593,14946,816795,14902,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2536575,1686,1248308,1345,14425,1850,46310,3169,208677,5903,47727,3353,292140,7376,100720,4314,337622,8591,200687,6451,1288267,1030,14199,2115,41685,3097,234520,6445,34933,3067,305984,7041,119367,5376,344823,8665,192756,5676,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1839505,1886,875649,999,22519,2013,44655,3870,208516,6273,32235,3121,157772,6092,52733,3185,203998,5608,153221,5121,963856,1135,22499,2128,40440,2990,243180,6600,20396,2050,168487,5798,86459,4379,213977,5973,168418,6672,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,427326,255,203644,23,6156,1124,16449,2015,54269,3187,7487,1418,40576,3018,11789,1771,39196,2697,27722,2480,223682,251,5737,1141,15055,1900,68576,3406,5100,1070,41724,2385,19307,2465,41612,2855,26571,3074,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,162595,189,82269,85,28,59,110,113,2454,732,237,235,4513,979,1490,642,29756,2530,43681,2685,80326,145,161,146,0,200,1549,479,66,86,3335,915,1539,706,31352,2172,42324,2086,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,8269724,4346,3993948,2690,102521,7172,285365,9813,956633,16818,218004,9705,862711,17320,330177,10624,763258,14916,475279,11498,4275776,2726,91508,6079,263375,9022,1193394,19529,161886,7295,982733,17318,419982,12483,756384,16166,406514,10341,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
