GEO_ID,C27005_001E,C27005_001M,C27005_002E,C27005_002M,C27005_003E,C27005_003M,C27005_004E,C27005_004M,C27005_005E,C27005_005M,C27005_006E,C27005_006M,C27005_007E,C27005_007M,C27005_008E,C27005_008M,C27005_009E,C27005_009M,C27005_010E,C27005_010M,C27005_011E,C27005_011M,C27005_012E,C27005_012M,C27005_013E,C27005_013M,C27005_014E,C27005_014M,C27005_015E,C27005_015M,C27005_016E,C27005_016M,C27005_017E,C27005_017M,C27005_018E,C27005_018M,C27005_019E,C27005_019M,C27005_020E,C27005_020M,C27005_021E,C27005_021M,NAME,C27005_001EA,C27005_001MA,C27005_002EA,C27005_002MA,C27005_003MA,C27005_003EA,C27005_004MA,C27005_004EA,C27005_005MA,C27005_005EA,C27005_006EA,C27005_006MA,C27005_007EA,C27005_007MA,C27005_008EA,C27005_008MA,C27005_009MA,C27005_009EA,C27005_010MA,C27005_010EA,C27005_011MA,C27005_011EA,C27005_012EA,C27005_012MA,C27005_013EA,C27005_013MA,C27005_014MA,C27005_014EA,C27005_015MA,C27005_015EA,C27005_016MA,C27005_016EA,C27005_017EA,C27005_017MA,C27005_018EA,C27005_018MA,C27005_019MA,C27005_019EA,C27005_020MA,C27005_020EA,C27005_021MA,C27005_021EA,state
0400000US01,4720067,2155,2262898,5633,569107,4176,38452,4034,530655,5459,1414698,4262,135776,5687,1278922,6688,279093,1597,91152,3452,187941,3828,2457169,5482,553018,4336,39551,3906,513467,6144,1529326,3226,158278,6675,1371048,7076,374825,1967,129347,4390,245478,4423,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,699272,1868,353412,2409,95685,1288,3287,926,92398,1667,229987,2044,13722,1856,216265,2774,27740,691,4541,798,23199,1015,345860,1555,92023,1337,3580,804,88443,1628,224593,1324,13213,1715,211380,2181,29244,918,5427,768,23817,1236,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6378280,1787,3141397,5192,830120,3869,62563,5591,767557,6673,1892465,3160,169536,8898,1722929,9900,418812,1439,131193,5786,287619,6079,3236883,4797,791710,3468,67504,7300,724206,7611,1952969,2665,189209,7727,1763760,8309,492204,1546,162712,6428,329492,6456,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2885212,1095,1412433,4390,366713,3444,22051,2899,344662,4641,864243,2843,91718,4359,772525,5500,181477,1394,65749,2769,115728,2711,1472779,4226,342175,3336,21266,3255,320909,4303,899485,2675,86702,4781,812783,5052,231119,1618,89836,3385,141283,3571,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,37161789,5236,18337173,8165,4731653,4465,404423,12119,4327230,12941,11716855,6623,1194415,18736,10522440,19181,1888665,2997,445074,9546,1443591,9256,18824616,6478,4520813,4109,371318,13191,4149495,13401,11890613,4441,1259646,18630,10630967,18932,2413190,2783,638461,9199,1774729,9257,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5024885,2530,2498871,4767,630047,3241,61388,4959,568659,5318,1618210,3693,199972,8058,1418238,8848,250614,1187,78528,3630,172086,3866,2526014,4098,596781,3604,57817,4454,538964,5874,1620615,3014,202637,7434,1417978,8291,308618,1578,109556,4313,199062,4236,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3522709,1144,1707415,2399,410533,1411,28648,2927,381885,3187,1084991,1817,107550,5024,977441,5682,211891,1346,68882,2772,143009,2807,1815294,2210,391817,1419,25937,2748,365880,2949,1142307,1643,108657,4400,1033650,4389,281170,1372,100785,3490,180385,3569,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,892132,847,428892,1281,104294,951,5865,1349,98429,1642,267093,1107,22701,2794,244392,2994,57505,652,16369,1435,41136,1432,463240,1136,100001,916,6986,1284,93015,1411,290684,969,25420,2462,265264,2529,72555,728,23292,1596,49263,1687,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,608165,325,285171,863,53456,450,4746,1295,48710,1363,204647,794,28526,3080,176121,3231,27068,387,6791,967,20277,984,322994,788,51856,427,5883,1571,45973,1551,230511,708,31896,2847,198615,2932,40627,548,11587,1112,29040,1184,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,18752294,3756,9088985,8711,2040086,5645,162393,9805,1877693,9966,5576083,6738,534213,14550,5041870,15067,1472816,3748,433066,9168,1039750,9792,9663309,8195,1946860,6048,146015,8388,1800845,10328,5892404,5507,603092,16209,5289312,18333,1824045,4157,566352,10689,1257693,11610,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
