GEO_ID,B06004G_001E,B06004G_001M,B06004G_002E,B06004G_002M,B06004G_003E,B06004G_003M,B06004G_004E,B06004G_004M,B06004G_005E,B06004G_005M,NAME,B06004G_001MA,B06004G_001EA,B06004G_002EA,B06004G_002MA,B06004G_003EA,B06004G_003MA,B06004G_004MA,B06004G_004EA,B06004G_005EA,B06004G_005MA,state
0400000US01,64450,5189,41912,4349,16400,2499,2007,802,4131,1308,Alabama,null,null,null,null,null,null,null,null,null,null,01
0400000US02,60229,4733,37340,3230,19074,2819,2361,969,1454,750,Alaska,null,null,null,null,null,null,null,null,null,null,02
0400000US04,194293,11560,101412,8622,64667,6534,5303,1679,22911,4164,Arizona,null,null,null,null,null,null,null,null,null,null,04
0400000US05,57229,5642,33729,4276,18032,2201,896,457,4572,1368,Arkansas,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1594007,33877,1126237,27054,201883,7729,39577,4405,226310,13128,California,null,null,null,null,null,null,null,null,null,null,06
0400000US08,172773,9552,98656,7786,56870,3879,5558,1192,11689,2764,Colorado,null,null,null,null,null,null,null,null,null,null,08
0400000US09,88584,5802,51917,4437,20925,2400,4298,1042,11444,2353,Connecticut,null,null,null,null,null,null,null,null,null,null,09
0400000US10,24128,3358,13007,2357,8853,2357,1251,631,1017,500,Delaware,null,null,null,null,null,null,null,null,null,null,10
0400000US11,12760,1744,3964,919,6284,1233,713,391,1799,711,District of Columbia,null,null,null,null,null,null,null,null,null,null,11
0400000US12,423481,20163,197276,12366,126399,8336,23776,4142,76030,7750,Florida,null,null,null,null,null,null,null,null,null,null,12
0400000US13,190234,12372,94608,8589,67671,6571,8805,2046,19150,3506,Georgia,null,null,null,null,null,null,null,null,null,null,13
0400000US15,331552,13187,278335,12262,37524,3874,6857,1194,8836,2698,Hawaii,null,null,null,null,null,null,null,null,null,null,15
0400000US16,39460,4126,16359,2416,17992,2575,1379,909,3730,1978,Idaho,null,null,null,null,null,null,null,null,null,null,16
