GEO_ID,B15002D_001E,B15002D_001M,B15002D_002E,B15002D_002M,B15002D_003E,B15002D_003M,B15002D_004E,B15002D_004M,B15002D_005E,B15002D_005M,B15002D_006E,B15002D_006M,B15002D_007E,B15002D_007M,B15002D_008E,B15002D_008M,B15002D_009E,B15002D_009M,B15002D_010E,B15002D_010M,B15002D_011E,B15002D_011M,B15002D_012E,B15002D_012M,B15002D_013E,B15002D_013M,B15002D_014E,B15002D_014M,B15002D_015E,B15002D_015M,B15002D_016E,B15002D_016M,B15002D_017E,B15002D_017M,B15002D_018E,B15002D_018M,B15002D_019E,B15002D_019M,NAME,B15002D_001EA,B15002D_001MA,B15002D_002EA,B15002D_002MA,B15002D_003EA,B15002D_003MA,B15002D_004MA,B15002D_004EA,B15002D_005EA,B15002D_005MA,B15002D_006MA,B15002D_006EA,B15002D_007EA,B15002D_007MA,B15002D_008EA,B15002D_008MA,B15002D_009MA,B15002D_009EA,B15002D_010EA,B15002D_010MA,B15002D_011MA,B15002D_011EA,B15002D_012EA,B15002D_012MA,B15002D_013EA,B15002D_013MA,B15002D_014MA,B15002D_014EA,B15002D_015EA,B15002D_015MA,B15002D_016EA,B15002D_016MA,B15002D_017MA,B15002D_017EA,B15002D_018EA,B15002D_018MA,B15002D_019MA,B15002D_019EA,state
0400000US01,35803,2079,16162,1440,848,392,1372,512,2312,801,174,178,1978,610,817,487,3661,868,5000,1123,19641,1513,2198,603,1566,671,3111,824,212,198,2292,916,1271,620,4533,1038,4458,919,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,25736,941,10658,639,1152,439,928,505,3089,793,37,69,3136,666,700,349,1188,429,428,271,15078,781,2449,953,1292,567,3247,827,182,207,2814,787,1177,523,2746,687,1171,580,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,123310,2934,53682,1920,4548,1434,4000,1590,5568,1855,726,353,7023,1616,4428,1389,12549,2226,14840,2094,69628,2016,7997,1410,3754,1065,10052,1676,1158,682,9768,2044,5223,1775,20173,2816,11503,1730,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,21558,1598,9549,1071,610,375,1116,914,1057,641,298,285,1298,589,934,580,1872,709,2364,762,12009,1097,1162,514,857,510,2444,1022,408,322,2009,735,393,320,2486,828,2250,810,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3493200,10510,1598637,6403,111442,5427,81064,4227,212696,7719,15763,1915,259092,8084,112347,5322,493489,10129,312744,8706,1894563,6428,193969,7150,109313,5316,273269,8736,14972,2179,261972,8117,145012,6605,619753,11657,276303,8091,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,93835,2338,40499,1487,2162,727,2272,631,6850,1382,803,430,6162,1312,2587,896,10245,1392,9418,1160,53336,1558,4933,971,2978,908,9893,1645,757,422,7180,1001,5844,1545,12632,1847,9119,1308,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,90763,1771,41904,1235,1965,722,1748,685,4783,1146,216,184,3890,1357,1959,737,11944,1706,15399,1681,48859,1081,3494,1027,3980,969,5952,1189,361,324,4255,1218,2636,1004,14641,1820,13540,1464,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,20187,719,9492,704,483,382,562,358,1095,444,106,134,412,216,67,114,2878,699,3889,889,10695,449,1090,495,722,424,1091,451,21,35,605,425,838,430,3051,680,3277,718,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,16440,680,6763,541,1442,1003,63,80,112,97,333,520,239,261,115,190,2223,556,2236,704,9677,473,499,314,503,286,488,330,0,200,276,166,165,192,3178,638,4568,751,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,322108,5532,143790,3740,9847,2176,10836,2250,22085,2736,1468,843,19131,2822,11928,2007,33818,3555,34677,3118,178318,3756,16671,2722,11768,2394,32982,3432,2982,882,22295,2754,14115,2149,48304,3652,29201,3397,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
