GEO_ID,B05003H_001E,B05003H_001M,B05003H_002E,B05003H_002M,B05003H_003E,B05003H_003M,B05003H_004E,B05003H_004M,B05003H_005E,B05003H_005M,B05003H_006E,B05003H_006M,B05003H_007E,B05003H_007M,B05003H_008E,B05003H_008M,B05003H_009E,B05003H_009M,B05003H_010E,B05003H_010M,B05003H_011E,B05003H_011M,B05003H_012E,B05003H_012M,B05003H_013E,B05003H_013M,B05003H_014E,B05003H_014M,B05003H_015E,B05003H_015M,B05003H_016E,B05003H_016M,B05003H_017E,B05003H_017M,B05003H_018E,B05003H_018M,B05003H_019E,B05003H_019M,B05003H_020E,B05003H_020M,B05003H_021E,B05003H_021M,B05003H_022E,B05003H_022M,B05003H_023E,B05003H_023M,NAME,B05003H_001EA,B05003H_001MA,B05003H_002MA,B05003H_002EA,B05003H_003MA,B05003H_003EA,B05003H_004EA,B05003H_004MA,B05003H_005EA,B05003H_005MA,B05003H_006EA,B05003H_006MA,B05003H_007EA,B05003H_007MA,B05003H_008EA,B05003H_008MA,B05003H_009EA,B05003H_009MA,B05003H_010EA,B05003H_010MA,B05003H_011MA,B05003H_011EA,B05003H_012EA,B05003H_012MA,B05003H_013EA,B05003H_013MA,B05003H_014MA,B05003H_014EA,B05003H_015EA,B05003H_015MA,B05003H_016EA,B05003H_016MA,B05003H_017EA,B05003H_017MA,B05003H_018EA,B05003H_018MA,B05003H_019EA,B05003H_019MA,B05003H_020MA,B05003H_020EA,B05003H_021EA,B05003H_021MA,B05003H_022EA,B05003H_022MA,B05003H_023EA,B05003H_023MA,state
0400000US01,3202563,2187,1564621,1586,340505,1206,339498,1243,1007,528,714,437,293,333,1224116,688,1213801,1840,10315,1622,6396,1168,3919,1082,1637942,1722,325006,1320,324175,1413,831,437,540,307,291,306,1312936,688,1299486,2145,13450,1978,7805,1355,5645,1326,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,459836,438,242498,329,50398,292,48964,1297,1434,1283,335,341,1099,1227,192100,130,187184,1113,4916,1103,2398,677,2518,878,217338,384,47553,282,46706,713,847,669,234,277,613,604,169785,190,162682,1485,7103,1478,3703,1051,3400,1065,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3713340,2476,1835742,1976,343350,1549,340817,1879,2533,977,765,425,1768,910,1492392,1541,1423824,5928,68568,5720,38607,4194,29961,3709,1877598,2075,325796,1657,321681,2134,4115,1293,1883,1017,2232,1031,1551802,1069,1473768,5555,78034,5699,44846,4246,33188,4105,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2181458,1323,1071631,1701,237859,1567,237390,1609,469,414,250,361,219,181,833772,774,827278,1710,6494,1271,3059,976,3435,1124,1109827,1672,223508,1690,223273,1716,235,203,172,172,63,107,886319,645,878316,1411,8003,1154,5147,1002,2856,864,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,14917153,7949,7431065,4399,1283199,2344,1254402,4336,28797,3317,8188,1835,20609,2862,6147866,3946,5536044,13967,611822,13766,386427,10185,225395,8970,7486088,4823,1212097,2751,1186763,4530,25334,3298,8628,2014,16706,2415,6273991,3053,5600329,16791,673662,16079,458191,11708,215471,8827,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3560652,2129,1779086,2045,363760,1771,360468,1973,3292,1023,1448,693,1844,779,1415326,1301,1372148,3613,43178,3477,24009,2299,19169,2669,1781566,2106,340457,2143,338251,2194,2206,732,898,431,1308,545,1441109,952,1388073,4553,53036,4350,32155,3406,20881,2701,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2531612,2420,1230998,1411,248496,783,245348,1069,3148,729,997,404,2151,654,982502,999,906396,4272,76106,4037,48346,2935,27760,2523,1300614,1344,236346,382,232215,1092,4131,1108,1509,599,2622,1005,1064268,1154,974852,4484,89416,4383,58848,3926,30568,2816,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,589845,271,286024,110,55456,109,55059,302,397,281,251,230,146,142,230568,23,223493,1221,7075,1221,4051,1018,3024,881,303821,251,52725,192,52378,235,347,235,186,168,161,158,251096,251,243302,1518,7794,1510,5141,1321,2653,731,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,217819,305,107833,169,10444,71,10347,145,97,123,37,61,60,102,97389,152,88000,1534,9389,1504,2982,992,6407,1163,109986,188,9945,77,9732,207,213,192,97,116,116,135,100041,148,89676,1872,10365,1846,4785,1249,5580,1362,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,10927459,5457,5358891,3284,928351,2627,916349,3726,12002,2464,4949,1642,7053,1734,4430540,2075,4151730,10097,278810,9856,155612,7191,123198,7418,5568568,4503,877937,2416,864061,3649,13876,2753,4557,1510,9319,2511,4690631,3195,4353007,11842,337624,11420,202649,9426,134975,8167,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
