GEO_ID,B22005I_001E,B22005I_001M,B22005I_002E,B22005I_002M,B22005I_003E,B22005I_003M,NAME,B22005I_001EA,B22005I_001MA,B22005I_002MA,B22005I_002EA,B22005I_003EA,B22005I_003MA,state
0400000US01,46291,2590,8710,1467,37581,2653,Alabama,null,null,null,null,null,null,01
0400000US02,10357,1301,1348,572,9009,1351,Alaska,null,null,null,null,null,null,02
0400000US04,512662,9086,126982,7115,385680,10037,Arizona,null,null,null,null,null,null,04
0400000US05,47808,2987,10841,2029,36967,3006,Arkansas,null,null,null,null,null,null,05
0400000US06,3452241,20549,531679,10691,2920562,19476,California,null,null,null,null,null,null,06
0400000US08,304144,5304,57035,4086,247109,5892,Colorado,null,null,null,null,null,null,08
0400000US09,143432,3949,49927,3629,93505,3564,Connecticut,null,null,null,null,null,null,09
0400000US10,19531,1450,4185,1037,15346,1687,Delaware,null,null,null,null,null,null,10
0400000US11,20576,1497,2966,1086,17610,1627,District of Columbia,null,null,null,null,null,null,11
0400000US12,1291193,14791,318101,9927,973092,15476,Florida,null,null,null,null,null,null,12
0400000US13,208938,6953,43199,4762,165739,7183,Georgia,null,null,null,null,null,null,13
0400000US15,29909,2064,4875,1044,25034,1934,Hawaii,null,null,null,null,null,null,15
0400000US16,42692,2402,13172,1945,29520,2296,Idaho,null,null,null,null,null,null,16
0400000US17,510134,7370,97035,4793,413099,7350,Illinois,null,null,null,null,null,null,17
0400000US18,100163,3373,21858,2448,78305,3532,Indiana,null,null,null,null,null,null,18
0400000US19,40934,2109,9571,1615,31363,2232,Iowa,null,null,null,null,null,null,19
0400000US20,78412,2972,14901,1605,63511,2906,Kansas,null,null,null,null,null,null,20
0400000US21,31882,2219,7569,1355,24313,2189,Kentucky,null,null,null,null,null,null,21
0400000US22,59994,3015,6750,1246,53244,3039,Louisiana,null,null,null,null,null,null,22
0400000US23,5299,584,1576,551,3723,681,Maine,null,null,null,null,null,null,23
0400000US24,118785,3263,15143,2194,103642,3707,Maryland,null,null,null,null,null,null,24
0400000US25,195015,4531,76903,3752,118112,4344,Massachusetts,null,null,null,null,null,null,25
0400000US26,115349,3784,33291,2634,82058,3108,Michigan,null,null,null,null,null,null,26
0400000US27,63729,2262,11989,1581,51740,2486,Minnesota,null,null,null,null,null,null,27
0400000US28,19115,1889,2838,855,16277,1997,Mississippi,null,null,null,null,null,null,28
0400000US29,55260,2594,11507,1763,43753,2525,Missouri,null,null,null,null,null,null,29
0400000US30,8313,1255,2421,803,5892,1169,Montana,null,null,null,null,null,null,30
0400000US31,45256,1962,7891,1406,37365,1796,Nebraska,null,null,null,null,null,null,31
0400000US32,180684,5891,30199,3566,150485,6171,Nevada,null,null,null,null,null,null,32
0400000US33,10211,1317,1985,797,8226,1278,New Hampshire,null,null,null,null,null,null,33
0400000US34,445920,6717,85429,4160,360491,7547,New Jersey,null,null,null,null,null,null,34
0400000US35,310878,5376,71749,4030,239129,5650,New Mexico,null,null,null,null,null,null,35
0400000US36,1034255,10244,338106,8618,696149,9647,New York,null,null,null,null,null,null,36
0400000US37,202192,5301,42469,3991,159723,5098,North Carolina,null,null,null,null,null,null,37
0400000US38,3855,725,1510,499,2345,690,North Dakota,null,null,null,null,null,null,38
0400000US39,101956,3282,26620,2489,75336,3141,Ohio,null,null,null,null,null,null,39
0400000US40,86845,3000,16217,1960,70628,2841,Oklahoma,null,null,null,null,null,null,40
0400000US41,109755,3689,37679,3518,72076,4020,Oregon,null,null,null,null,null,null,41
0400000US42,205049,4803,69540,3815,135509,4738,Pennsylvania,null,null,null,null,null,null,42
0400000US44,38234,1892,16771,2060,21463,1785,Rhode Island,null,null,null,null,null,null,44
0400000US45,60156,3254,12057,2625,48099,3256,South Carolina,null,null,null,null,null,null,45
0400000US46,5757,885,1437,470,4320,924,South Dakota,null,null,null,null,null,null,46
0400000US47,71782,3381,20183,2439,51599,3283,Tennessee,null,null,null,null,null,null,47
0400000US48,2632907,16512,606804,12491,2026103,18627,Texas,null,null,null,null,null,null,48
0400000US49,88501,3457,15744,1995,72757,3489,Utah,null,null,null,null,null,null,49
0400000US50,2443,595,239,160,2204,643,Vermont,null,null,null,null,null,null,50
0400000US51,162996,5292,20639,2982,142357,5341,Virginia,null,null,null,null,null,null,51
0400000US53,197963,4987,58914,3900,139049,5733,Washington,null,null,null,null,null,null,53
0400000US54,4912,792,607,468,4305,828,West Virginia,null,null,null,null,null,null,54
0400000US55,89394,3133,29429,2398,59965,3145,Wisconsin,null,null,null,null,null,null,55
0400000US56,13091,1306,1298,508,11793,1335,Wyoming,null,null,null,null,null,null,56
0400000US72,1242910,8859,468464,8125,774446,9304,Puerto Rico,null,null,null,null,null,null,72
