GEO_ID,C15010H_001E,C15010H_001M,C15010H_002E,C15010H_002M,C15010H_003E,C15010H_003M,C15010H_004E,C15010H_004M,C15010H_005E,C15010H_005M,C15010H_006E,C15010H_006M,NAME,C15010H_001EA,C15010H_001MA,C15010H_002MA,C15010H_002EA,C15010H_003MA,C15010H_003EA,C15010H_004EA,C15010H_004MA,C15010H_005EA,C15010H_005MA,C15010H_006EA,C15010H_006MA,state
0400000US01,563319,9796,162271,6069,55406,3627,135728,6306,103340,5179,106574,5323,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,99875,5470,39877,3495,11280,1701,13028,1791,15829,2054,19861,2240,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,896719,14842,285830,9719,82616,6080,202262,9638,142440,7657,183571,8435,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,331396,9257,89490,5499,34717,3338,74521,4631,69324,3900,63344,4054,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,4393799,33703,1719472,23696,302120,8671,738856,13979,374164,9185,1259187,18017,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1075888,15380,411850,9297,87186,5517,212730,6741,122428,5934,241694,8113,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,739614,12692,259622,8017,58126,3822,148295,5500,91584,4025,181987,5543,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,135101,4918,48585,2965,13889,1858,25467,2266,21198,2216,25962,2480,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,147113,1884,72534,2843,4642,963,13043,1653,5342,1001,51552,2777,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2401435,27827,740178,16549,211377,9604,572441,15907,374689,11281,502750,13233,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
