GEO_ID,C25032G_001E,C25032G_001M,C25032G_002E,C25032G_002M,C25032G_003E,C25032G_003M,C25032G_004E,C25032G_004M,C25032G_005E,C25032G_005M,NAME,C25032G_001MA,C25032G_001EA,C25032G_002MA,C25032G_002EA,C25032G_003EA,C25032G_003MA,C25032G_004EA,C25032G_004MA,C25032G_005EA,C25032G_005MA,state
0400000US01,16906,1910,10324,1335,916,451,2395,887,3271,964,Alabama,null,null,null,null,null,null,null,null,null,null,01
0400000US02,12690,1840,6530,1034,2630,948,2931,1048,599,317,Alaska,null,null,null,null,null,null,null,null,null,null,02
0400000US04,40161,3684,23894,2650,2557,872,9823,1878,3887,1229,Arizona,null,null,null,null,null,null,null,null,null,null,04
0400000US05,14344,2040,9433,1397,1077,535,1986,860,1848,756,Arkansas,null,null,null,null,null,null,null,null,null,null,05
0400000US06,360984,9989,217912,8394,28115,2756,104809,5554,10148,1551,California,null,null,null,null,null,null,null,null,null,null,06
0400000US08,41507,3036,25122,2082,3333,985,11473,2098,1579,627,Colorado,null,null,null,null,null,null,null,null,null,null,08
0400000US09,21001,2396,9547,1385,5171,1135,5939,1388,344,337,Connecticut,null,null,null,null,null,null,null,null,null,null,09
0400000US10,3881,878,2690,781,143,154,543,456,505,438,Delaware,null,null,null,null,null,null,null,null,null,null,10
0400000US11,5230,944,1136,423,558,343,3403,830,133,209,District of Columbia,null,null,null,null,null,null,null,null,null,null,11
0400000US12,93536,6503,57390,4991,8131,1311,21377,2662,6638,1491,Florida,null,null,null,null,null,null,null,null,null,null,12
0400000US13,37297,3520,26362,2718,1831,701,6985,1705,2119,674,Georgia,null,null,null,null,null,null,null,null,null,null,13
0400000US15,72304,3710,48918,3416,5788,1288,17312,2102,286,233,Hawaii,null,null,null,null,null,null,null,null,null,null,15
0400000US16,7469,1272,4351,951,888,508,1342,692,888,461,Idaho,null,null,null,null,null,null,null,null,null,null,16
0400000US17,58049,3505,28564,2004,10670,1800,17133,2551,1682,714,Illinois,null,null,null,null,null,null,null,null,null,null,17
0400000US18,28510,2197,18020,2062,3156,1002,5318,1207,2016,772,Indiana,null,null,null,null,null,null,null,null,null,null,18
0400000US19,10052,1543,5617,1048,951,457,2891,935,593,315,Iowa,null,null,null,null,null,null,null,null,null,null,19
0400000US20,20323,1893,14073,1778,1540,617,2896,835,1814,702,Kansas,null,null,null,null,null,null,null,null,null,null,20
0400000US21,17185,2071,8886,1536,2625,1043,3724,1310,1950,825,Kentucky,null,null,null,null,null,null,null,null,null,null,21
0400000US22,19716,2035,11880,1664,1941,549,3213,1083,2682,763,Louisiana,null,null,null,null,null,null,null,null,null,null,22
0400000US23,5546,1117,3060,770,821,394,726,349,939,543,Maine,null,null,null,null,null,null,null,null,null,null,23
0400000US24,32398,2716,21961,2338,1418,638,8326,1480,693,465,Maryland,null,null,null,null,null,null,null,null,null,null,24
0400000US25,43952,3536,16109,2016,16617,2537,11003,1721,223,186,Massachusetts,null,null,null,null,null,null,null,null,null,null,25
0400000US26,54804,3564,38398,2755,4242,1027,9629,1630,2535,704,Michigan,null,null,null,null,null,null,null,null,null,null,26
0400000US27,25083,2209,13949,1625,2382,648,7359,1166,1393,481,Minnesota,null,null,null,null,null,null,null,null,null,null,27
0400000US28,7066,1272,4478,962,459,438,535,368,1594,692,Mississippi,null,null,null,null,null,null,null,null,null,null,28
0400000US29,33223,2470,21261,2057,4835,1328,5374,1214,1753,634,Missouri,null,null,null,null,null,null,null,null,null,null,29
0400000US30,6141,1173,3565,784,503,329,840,569,1233,563,Montana,null,null,null,null,null,null,null,null,null,null,30
0400000US31,7613,1140,5128,900,425,314,1977,755,83,86,Nebraska,null,null,null,null,null,null,null,null,null,null,31
0400000US32,22754,3153,14171,2249,1855,631,5790,1496,938,439,Nevada,null,null,null,null,null,null,null,null,null,null,32
0400000US33,6342,1000,3506,767,291,235,1618,780,927,430,New Hampshire,null,null,null,null,null,null,null,null,null,null,33
0400000US34,54412,4003,27641,2427,12638,1854,13478,1990,655,393,New Jersey,null,null,null,null,null,null,null,null,null,null,34
0400000US35,17146,1629,11225,1363,806,386,3054,989,2061,601,New Mexico,null,null,null,null,null,null,null,null,null,null,35
0400000US36,128337,5074,43203,3018,28555,2592,54722,3520,1857,592,New York,null,null,null,null,null,null,null,null,null,null,36
0400000US37,39474,4047,24506,3007,3013,1137,6192,1348,5763,1318,North Carolina,null,null,null,null,null,null,null,null,null,null,37
0400000US38,2224,635,1490,554,135,117,365,219,234,173,North Dakota,null,null,null,null,null,null,null,null,null,null,38
0400000US39,55014,3471,34244,2686,7341,1469,11536,1724,1893,582,Ohio,null,null,null,null,null,null,null,null,null,null,39
0400000US40,82318,3874,59436,2975,3590,758,9558,1554,9734,1126,Oklahoma,null,null,null,null,null,null,null,null,null,null,40
0400000US41,36098,3068,21692,2470,4260,1217,6768,1229,3378,1042,Oregon,null,null,null,null,null,null,null,null,null,null,41
0400000US42,49289,3519,32403,2947,6591,1410,9029,1637,1266,429,Pennsylvania,null,null,null,null,null,null,null,null,null,null,42
0400000US44,6535,1523,2439,789,2833,943,1227,613,36,62,Rhode Island,null,null,null,null,null,null,null,null,null,null,44
0400000US45,14937,2105,7742,1335,1703,845,2956,1153,2536,840,South Carolina,null,null,null,null,null,null,null,null,null,null,45
0400000US46,3871,1218,2617,929,303,317,411,365,540,281,South Dakota,null,null,null,null,null,null,null,null,null,null,46
0400000US47,29359,3261,19803,2628,2984,1132,3726,1289,2846,772,Tennessee,null,null,null,null,null,null,null,null,null,null,47
0400000US48,142885,6678,86469,5080,10442,2082,37714,3688,8260,1565,Texas,null,null,null,null,null,null,null,null,null,null,48
0400000US49,12554,1752,7885,1354,1363,752,3055,896,251,238,Utah,null,null,null,null,null,null,null,null,null,null,49
0400000US50,3510,724,1898,534,931,392,337,256,344,190,Vermont,null,null,null,null,null,null,null,null,null,null,50
0400000US51,52090,4589,32701,3910,2678,958,15833,2309,878,533,Virginia,null,null,null,null,null,null,null,null,null,null,51
0400000US53,72384,4262,42879,2887,6642,1421,17702,2650,5161,1077,Washington,null,null,null,null,null,null,null,null,null,null,53
0400000US54,8825,1439,5764,1289,829,375,1147,483,1085,392,West Virginia,null,null,null,null,null,null,null,null,null,null,54
0400000US55,23868,2749,12382,1822,4471,1120,6443,1414,572,259,Wisconsin,null,null,null,null,null,null,null,null,null,null,55
0400000US56,3694,842,1949,711,517,304,379,323,849,525,Wyoming,null,null,null,null,null,null,null,null,null,null,56
0400000US72,163840,5166,124997,4932,15777,1814,22662,2010,404,276,Puerto Rico,null,null,null,null,null,null,null,null,null,null,72
