GEO_ID,B12001_001E,B12001_001M,B12001_002E,B12001_002M,B12001_003E,B12001_003M,B12001_004E,B12001_004M,B12001_005E,B12001_005M,B12001_006E,B12001_006M,B12001_007E,B12001_007M,B12001_008E,B12001_008M,B12001_009E,B12001_009M,B12001_010E,B12001_010M,B12001_011E,B12001_011M,B12001_012E,B12001_012M,B12001_013E,B12001_013M,B12001_014E,B12001_014M,B12001_015E,B12001_015M,B12001_016E,B12001_016M,B12001_017E,B12001_017M,B12001_018E,B12001_018M,B12001_019E,B12001_019M,NAME,B12001_001MA,B12001_001EA,B12001_002MA,B12001_002EA,B12001_003MA,B12001_003EA,B12001_004EA,B12001_004MA,B12001_005MA,B12001_005EA,B12001_006MA,B12001_006EA,B12001_007MA,B12001_007EA,B12001_008EA,B12001_008MA,B12001_009EA,B12001_009MA,B12001_010EA,B12001_010MA,B12001_011MA,B12001_011EA,B12001_012MA,B12001_012EA,B12001_013EA,B12001_013MA,B12001_014EA,B12001_014MA,B12001_015EA,B12001_015MA,B12001_016MA,B12001_016EA,B12001_017MA,B12001_017EA,B12001_018EA,B12001_018MA,B12001_019EA,B12001_019MA,state
0400000US01,3874758,2952,1854464,4086,596130,9517,995461,13136,911542,13529,83919,5285,40483,3909,43436,3464,53094,3495,209779,8225,2020294,3850,529806,9585,1000938,14346,901278,14232,99660,6576,63147,4311,36513,4015,219928,6440,269622,9364,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,565162,1193,292160,1117,105171,3936,148364,4536,129991,4704,18373,2327,5827,1384,12546,1704,5370,1080,33255,2789,273002,1288,77471,3228,142764,4059,129759,4277,13005,1721,5828,1312,7177,1217,15959,1220,36808,3078,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5129409,1939,2534739,2671,907782,14885,1286312,16316,1157394,16255,128918,7370,44118,4319,84800,6720,67841,4546,272804,9975,2594670,2858,740052,11550,1263400,16475,1133403,17105,129997,7424,58280,5030,71717,6128,218334,6935,372884,11572,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2342376,2165,1141046,2892,336328,8523,629936,8886,576001,9065,53935,4388,23429,2947,30506,3098,30572,2671,144210,5298,1201330,2676,275492,6859,628343,9364,563922,9825,64421,4066,33910,2767,30511,3537,128078,5023,169417,6297,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,30062390,3289,14850044,3947,5959238,24388,7360829,31796,6480575,35947,880254,20896,287508,9443,592746,17054,318513,9229,1211464,17964,15212346,3543,4956797,29159,7314225,37568,6357852,40362,956373,19436,420315,12221,536058,13443,1233616,13104,1707708,23216,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4087156,2841,2040728,3671,703147,10297,1091375,12920,1004296,13230,87079,6373,29956,4242,57123,4529,44079,3050,202127,7986,2046428,2836,558945,8345,1058783,14105,969913,14093,88870,5334,39378,3380,49492,4099,144741,5285,283959,9555,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2925822,761,1408200,1630,512296,8032,732623,9442,678173,9938,54450,3743,17054,2146,37396,2942,37829,2977,125452,6026,1517622,1398,457022,7190,731365,9368,668380,9446,62985,4771,30498,3170,32487,3466,142591,4885,186644,5598,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,737847,647,353526,1069,128544,3526,180240,3665,167745,3709,12495,1918,5935,1471,6560,1346,11287,1928,33455,2549,384321,846,117627,3387,181368,3970,164653,4199,16715,2007,8186,1485,8529,1545,35452,2256,49874,3440,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,529068,414,247251,470,146686,3621,72467,3692,58793,3207,13674,1763,5417,1326,8257,1397,6051,1268,22047,2353,281817,454,160356,3474,72125,3620,57155,3255,14970,1886,7102,1268,7868,1391,21862,1784,27474,2512,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,15770265,5407,7641196,6279,2675562,21600,3847981,25315,3420645,27696,427336,14394,177255,9197,250081,11560,244994,7737,872659,18620,8129069,6671,2224399,19458,3854212,28284,3384877,30535,469335,16025,237958,9512,231377,13101,889933,16102,1160525,18472,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
