GEO_ID,B12503_001E,B12503_001M,B12503_002E,B12503_002M,B12503_003E,B12503_003M,B12503_004E,B12503_004M,B12503_005E,B12503_005M,B12503_006E,B12503_006M,B12503_007E,B12503_007M,B12503_008E,B12503_008M,B12503_009E,B12503_009M,B12503_010E,B12503_010M,B12503_011E,B12503_011M,NAME,B12503_001MA,B12503_001EA,B12503_002MA,B12503_002EA,B12503_003EA,B12503_003MA,B12503_004EA,B12503_004MA,B12503_005EA,B12503_005MA,B12503_006MA,B12503_006EA,B12503_007EA,B12503_007MA,B12503_008MA,B12503_008EA,B12503_009MA,B12503_009EA,B12503_010MA,B12503_010EA,B12503_011EA,B12503_011MA,state
0400000US01,3874758,2952,1854464,4086,596130,9517,1258334,8722,22071,2455,1236263,9005,2020294,3850,529806,9585,1490488,9381,28381,2640,1462107,10141,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,565162,1193,292160,1117,105171,3936,186989,3813,3398,1050,183591,3769,273002,1288,77471,3228,195531,3183,4071,1198,191460,3395,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5129409,1939,2534739,2671,907782,14885,1626957,13990,24130,3504,1602827,14019,2594670,2858,740052,11550,1854618,11780,30961,3680,1823657,11957,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2342376,2165,1141046,2892,336328,8523,804718,8204,14474,2191,790244,8144,1201330,2676,275492,6859,925838,6847,14026,2100,911812,7286,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,30062390,3289,14850044,3947,5959238,24388,8890806,24066,115216,5977,8775590,24998,15212346,3543,4956797,29159,10255549,28773,124512,6493,10131037,28936,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4087156,2841,2040728,3671,703147,10297,1337581,10008,21597,2420,1315984,10250,2046428,2836,558945,8345,1487483,8385,23319,2664,1464164,8734,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2925822,761,1408200,1630,512296,8032,895904,8151,13001,2068,882903,8247,1517622,1398,457022,7190,1060600,7335,13487,1812,1047113,7732,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,737847,647,353526,1069,128544,3526,224982,3501,1931,627,223051,3474,384321,846,117627,3387,266694,3425,2964,715,263730,3449,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,529068,414,247251,470,146686,3621,100565,3641,3042,1231,97523,3691,281817,454,160356,3474,121461,3437,1911,755,119550,3417,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,15770265,5407,7641196,6279,2675562,21600,4965634,20702,72892,5279,4892742,20639,8129069,6671,2224399,19458,5904670,19380,80785,7621,5823885,20862,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,7736263,6684,3739449,6625,1345344,16065,2394105,14510,39877,4213,2354228,14742,3996814,5885,1219446,15283,2777368,15427,42891,4507,2734477,15050,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1121353,683,558393,1015,205093,5267,353300,5169,4544,1281,348756,5383,562960,1147,159458,5025,403502,4739,3734,886,399768,4639,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1224412,1966,609408,2137,175841,5497,433567,5385,6250,1193,427317,5349,615004,1973,141249,5192,473755,5278,8335,1677,465420,5575,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,10316699,2433,5009508,3372,1876251,14162,3133257,13994,44569,4243,3088688,14253,5307191,3215,1693848,13519,3613343,13495,44021,3246,3569322,13777,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,5194347,3254,2532594,3460,848257,10881,1684337,10167,28880,3231,1655457,10070,2661753,2995,730864,8593,1930889,9137,27092,2363,1903797,9345,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,2461674,2155,1206487,2566,388597,6203,817890,6372,13346,1757,804544,6836,1255187,2605,319280,6071,935907,5694,11580,1795,924327,5912,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,2267066,2221,1114875,2893,364910,6493,749965,6127,10883,1580,739082,6117,1152191,2495,288863,6428,863328,5870,14144,2117,849184,6025,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,3518242,3244,1710913,3874,533733,8863,1177180,9109,21621,2295,1155559,9356,1807329,3048,445483,6502,1361846,6705,19760,2071,1342086,7173,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,3641422,2429,1758929,3091,662690,9336,1096239,8817,17395,2136,1078844,8693,1882493,3339,594052,9576,1288441,9252,18130,2335,1270311,9420,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,1107596,1310,536592,1587,165947,4286,370645,4471,7243,1318,363402,4476,571004,1535,139017,3936,431987,4105,6993,1379,424994,4368,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,4717856,2208,2256241,2677,846285,9499,1409956,9137,22727,2662,1387229,9132,2461615,2322,811897,10188,1649718,9752,25581,2980,1624137,9616,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,5440246,1157,2601690,1712,994302,10416,1607388,10238,15849,2054,1591539,9960,2838556,1713,942325,10509,1896231,10565,20638,2420,1875593,10445,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,8005678,3029,3890962,3564,1395316,11562,2495646,11402,38505,3374,2457141,11950,4114716,2620,1203080,10055,2911636,9643,39600,2575,2872036,9408,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,4283571,2642,2113814,2506,741758,7838,1372056,7991,15479,1417,1356577,8399,2169757,2762,609556,8268,1560201,7827,17090,1976,1543111,7683,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,2350019,2263,1122460,2887,402920,8347,719540,7507,13157,1985,706383,7615,1227559,3691,383433,8432,844126,8275,12541,2206,831585,8410,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,4841501,3725,2348195,3734,767491,9692,1580704,10323,22614,2282,1558090,10808,2493306,3505,659092,8593,1834214,9075,27778,2486,1806436,9410,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,814821,2086,405999,1918,132191,4421,273808,4253,4472,1181,269336,4386,408822,1735,98063,3970,310759,3969,5026,1189,305733,4068,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,1456792,1639,715219,2046,230278,5485,484941,5676,7393,1167,477548,5723,741573,2004,192895,4756,548678,4826,7313,1364,541365,4607,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,2172537,1505,1090897,1751,384147,8484,706750,8243,11556,2088,695194,8443,1081640,1757,307934,7943,773706,7714,12383,2429,761323,7517,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,1090942,1111,534297,1466,165024,4190,369273,4170,4323,1075,364950,4368,556645,1366,140855,3565,415790,3785,7677,1609,408113,3927,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,7142414,1172,3440823,1777,1264259,12123,2176564,12305,21590,2415,2154974,12589,3701591,1789,1147599,11846,2553992,11777,26395,2647,2527597,11251,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
