GEO_ID,B09002_001E,B09002_001M,B09002_002E,B09002_002M,B09002_003E,B09002_003M,B09002_004E,B09002_004M,B09002_005E,B09002_005M,B09002_006E,B09002_006M,B09002_007E,B09002_007M,B09002_008E,B09002_008M,B09002_009E,B09002_009M,B09002_010E,B09002_010M,B09002_011E,B09002_011M,B09002_012E,B09002_012M,B09002_013E,B09002_013M,B09002_014E,B09002_014M,B09002_015E,B09002_015M,B09002_016E,B09002_016M,B09002_017E,B09002_017M,B09002_018E,B09002_018M,B09002_019E,B09002_019M,B09002_020E,B09002_020M,NAME,B09002_001EA,B09002_001MA,B09002_002MA,B09002_002EA,B09002_003MA,B09002_003EA,B09002_004EA,B09002_004MA,B09002_005EA,B09002_005MA,B09002_006EA,B09002_006MA,B09002_007MA,B09002_007EA,B09002_008MA,B09002_008EA,B09002_009MA,B09002_009EA,B09002_010EA,B09002_010MA,B09002_011MA,B09002_011EA,B09002_012EA,B09002_012MA,B09002_013MA,B09002_013EA,B09002_014EA,B09002_014MA,B09002_015EA,B09002_015MA,B09002_016EA,B09002_016MA,B09002_017MA,B09002_017EA,B09002_018MA,B09002_018EA,B09002_019EA,B09002_019MA,B09002_020EA,B09002_020MA,state
0400000US01,968441,7129,631522,12105,94414,5490,68979,3496,31563,3510,211066,7460,225500,7665,336919,12181,53526,5376,8403,1719,5396,1647,3060,1250,16421,2996,20246,2815,283393,11000,39448,3523,31809,3053,15894,2703,97112,5262,99130,5501,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,170335,2448,115853,4758,20847,1978,11922,1316,6347,1157,39618,2819,37119,2432,54482,4751,18318,2421,3191,872,2285,697,1029,436,5119,1036,6694,1416,36164,4088,5179,1046,4127,1216,1657,668,11477,1811,13724,2157,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1385775,14092,903025,19162,139856,6917,104774,6917,52838,5168,310724,10103,294833,9934,482750,18776,122989,10440,23055,3647,14087,2802,6177,1839,41709,5121,37961,5255,359761,18196,45545,5553,37989,4340,18902,3224,127112,10005,130213,8674,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,618876,5661,403502,10210,62215,4176,48526,3819,21887,2547,140375,5905,130499,5760,215374,9645,41891,4960,8376,2221,3866,1046,2244,855,11057,2191,16348,2518,173483,8824,25649,3399,18626,2634,7874,1660,58906,4280,62428,4530,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,7953330,22983,5568049,42791,836492,14567,620850,12934,321580,9718,1874293,22598,1914834,20585,2385281,36900,630757,23974,109995,6292,77148,6107,33141,3204,203862,12364,206611,12225,1754524,35035,227747,10330,183732,7969,85857,5185,574766,16519,682422,19951,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1110785,8316,821449,12979,126993,5945,96012,4462,46894,3479,284408,8097,267142,7594,289336,12415,79452,7416,15085,2465,8166,1726,4599,1678,27701,4071,23901,2762,209884,10771,28132,3200,24446,2946,10917,1772,73815,5601,72574,5692,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,739687,5489,526068,8224,68292,3559,55572,2873,26165,2347,186184,5658,189855,6074,213619,8455,37286,3983,5756,1514,3299,1025,1920,680,11946,2062,14365,2343,176333,7687,21872,2774,19434,2602,8474,1516,57891,4035,68662,3761,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,172795,3744,110298,5540,15656,1904,11792,1588,6558,1168,38410,3384,37882,3401,62497,4409,15327,3315,2646,1081,1723,819,721,452,5458,1694,4779,1636,47170,5433,6029,1155,6319,1470,2242,861,16594,2552,15986,2600,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,88503,2192,35860,2662,10191,1238,5565,852,2068,616,9275,1178,8761,1472,52643,3115,7659,2149,1661,880,961,528,674,443,2246,1107,2117,989,44984,3191,5763,1311,5206,1254,3267,1017,15157,1886,15591,1761,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3497463,15966,2257375,30820,338929,9027,252251,9574,117587,7227,746723,18154,801885,17366,1240088,30145,260425,14706,48096,5028,35200,4261,14288,2730,77830,6900,85011,8559,979663,25346,123047,7023,102142,6982,59146,5592,329323,11806,366005,12098,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
