GEO_ID,B13001_001E,B13001_001M,B13001_002E,B13001_002M,B13001_003E,B13001_003M,B13001_004E,B13001_004M,B13001_005E,B13001_005M,B13001_006E,B13001_006M,B13001_007E,B13001_007M,B13001_008E,B13001_008M,B13001_009E,B13001_009M,NAME,B13001_001EA,B13001_001MA,B13001_002EA,B13001_002MA,B13001_003EA,B13001_003MA,B13001_004MA,B13001_004EA,B13001_005MA,B13001_005EA,B13001_006EA,B13001_006MA,B13001_007EA,B13001_007MA,B13001_008MA,B13001_008EA,B13001_009EA,B13001_009MA,state
0400000US01,1173490,4143,542419,11489,2011,664,198837,7476,341571,7908,631071,10903,162490,3503,284064,7026,184517,6733,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,178692,1847,86508,3431,403,196,35017,2417,51088,2513,92184,3706,23772,1459,41815,2620,26597,2350,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1529727,4606,672216,13024,4243,1123,252795,9564,415178,8813,857511,13205,218212,3691,390374,9011,248925,9025,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,693482,3922,341333,7277,3235,926,141637,5755,196461,5216,352149,7060,90146,2968,149982,6371,112021,4240,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,9542324,11302,4265831,29512,20000,2247,1459143,17805,2786688,19749,5276493,30700,1306949,4931,2556644,18082,1412900,19917,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1260971,4155,607478,10259,2685,728,224554,6840,380239,7106,653493,10547,159592,3249,309727,6718,184174,6395,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,869059,3310,386094,6784,770,343,103617,4437,281707,5064,482965,6330,124538,1270,219159,4520,139268,4495,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,220541,1737,90379,3248,323,239,28662,2035,61394,2701,130162,3036,29881,1209,62015,2127,38266,2392,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,189049,987,40659,2571,83,103,16244,1802,24332,1939,148390,2885,21666,1766,87028,2421,39696,2037,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4423846,9181,1888065,21326,9256,1632,605493,14040,1273316,15031,2535781,21101,580279,6823,1172569,14224,782933,13707,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2522295,7833,1130914,14901,5223,1396,385726,9094,739965,13618,1391381,14669,345435,7394,629438,8790,416508,10617,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,320700,1774,156483,4794,750,394,58960,3058,96773,3249,164217,4476,41413,1414,77436,3051,45368,2878,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,369232,2749,194289,5497,1209,729,78138,4108,114942,3945,174943,5734,55266,2276,75596,4010,44081,3589,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3186061,5475,1394103,13107,4680,1130,459417,8966,930006,9372,1791958,12992,437030,3069,863129,8962,491799,9020,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,1564161,4408,713473,9003,2547,679,249923,5585,461003,7817,850688,9202,224731,2886,391581,5851,234376,7341,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,708884,3038,341852,6460,1177,480,126368,4302,214307,4448,367032,6540,104873,2295,171502,4564,90657,4231,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
