GEO_ID,C01001F_001E,C01001F_001M,C01001F_002E,C01001F_002M,C01001F_003E,C01001F_003M,C01001F_004E,C01001F_004M,C01001F_005E,C01001F_005M,C01001F_006E,C01001F_006M,C01001F_007E,C01001F_007M,C01001F_008E,C01001F_008M,C01001F_009E,C01001F_009M,NAME,C01001F_001MA,C01001F_001EA,C01001F_002MA,C01001F_002EA,C01001F_003EA,C01001F_003MA,C01001F_004MA,C01001F_004EA,C01001F_005EA,C01001F_005MA,C01001F_006MA,C01001F_006EA,C01001F_007MA,C01001F_007EA,C01001F_008MA,C01001F_008EA,C01001F_009EA,C01001F_009MA,state
0400000US01,58499,7039,33847,4339,8852,1933,24312,3205,683,552,24652,3615,8459,1760,15621,2865,572,619,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,8599,1933,4196,1111,912,323,3262,989,22,49,4403,1122,1069,427,3257,976,77,75,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,402195,21457,209109,11532,66509,5871,132827,8178,9773,1692,193086,12034,69331,6694,112523,7086,11232,1890,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,62745,7426,33935,4486,14080,2428,19486,2684,369,333,28810,3912,11059,2123,17363,2455,388,356,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,4738489,66403,2421232,36874,754305,17421,1574555,25169,92372,4564,2317257,36650,734561,19128,1462523,19497,120173,5348,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,221207,15837,114303,8836,37122,4403,70982,5285,6199,1380,106904,8681,35889,4467,64738,5084,6277,1211,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,195293,10646,100420,5955,30300,3404,67231,4137,2889,714,94873,5971,29993,3127,61444,3687,3436,868,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,19682,4485,9820,2801,3702,1382,6047,1770,71,109,9862,2212,2649,1186,7019,1524,194,205,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,24420,3654,11761,2299,3710,898,7670,1807,381,313,12659,1934,3405,1004,8339,1407,915,387,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,512411,27599,266547,14097,76193,7173,180383,11573,9971,1940,245864,17055,71614,7847,159323,10779,14927,2695,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,287608,19454,158298,10288,57205,5361,99662,7304,1431,693,129310,11768,52193,5790,74602,7105,2515,1083,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,17772,3259,9007,1779,1371,740,6759,1425,877,288,8765,2243,2348,1223,5594,1450,823,474,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,28938,5066,16212,2950,4345,1479,10953,2388,914,520,12726,2474,3851,1075,7824,1871,1051,482,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,783647,28478,403940,16374,136220,7517,256359,10425,11361,1717,379707,14563,136429,7267,228445,8587,14833,2017,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
