GEO_ID,B17025_001E,B17025_001M,B17025_002E,B17025_002M,B17025_003E,B17025_003M,B17025_004E,B17025_004M,B17025_005E,B17025_005M,B17025_006E,B17025_006M,B17025_007E,B17025_007M,B17025_008E,B17025_008M,B17025_009E,B17025_009M,B17025_010E,B17025_010M,B17025_011E,B17025_011M,B17025_012E,B17025_012M,B17025_013E,B17025_013M,B17025_014E,B17025_014M,B17025_015E,B17025_015M,NAME,B17025_001MA,B17025_001EA,B17025_002EA,B17025_002MA,B17025_003MA,B17025_003EA,B17025_004MA,B17025_004EA,B17025_005MA,B17025_005EA,B17025_006MA,B17025_006EA,B17025_007MA,B17025_007EA,B17025_008MA,B17025_008EA,B17025_009EA,B17025_009MA,B17025_010MA,B17025_010EA,B17025_011EA,B17025_011MA,B17025_012MA,B17025_012EA,B17025_013EA,B17025_013MA,B17025_014EA,B17025_014MA,B17025_015MA,B17025_015EA,state
0400000US01,4687363,2037,892483,23804,855537,23582,850545,23554,4992,1348,36946,4408,5587,1473,31359,3953,3794880,23675,3672281,25828,3639071,26191,33210,3665,122599,6149,51338,3749,71261,5635,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,706860,918,73905,5839,67786,5398,66487,5271,1299,791,6119,1953,1983,1054,4136,1708,632955,5681,588107,6485,574724,6270,13383,2342,44848,3751,24118,2625,20730,3246,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6336449,3861,1203501,38097,969475,30552,959985,29840,9490,2291,234026,14874,42981,4152,191045,13939,5132948,38522,4512286,35553,4444750,36363,67536,5828,620662,17170,281722,13250,338940,13074,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2856663,2079,555876,17602,524541,16242,521080,16144,3461,1101,31335,5594,3818,1438,27517,5081,2300787,17290,2205513,16518,2191551,16488,13962,2012,95274,6938,32284,3239,62990,6908,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,36941931,7933,6118803,71852,4208597,54044,4155673,53227,52924,4682,1910206,34115,512878,15847,1397328,30400,30823128,71089,22641471,72013,22258117,73079,383354,12257,8181657,46134,4222191,34445,3959466,39968,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5002128,3154,674195,21621,569095,19125,560399,18958,8696,2189,105100,8775,15867,2100,89233,8519,4327933,21979,3946336,23477,3885982,23055,60354,5044,381597,12548,159817,7754,221780,10262,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3471802,1406,377856,17034,316552,13212,278623,12493,37929,4351,61304,7455,21093,3252,40211,6080,3093946,16999,2686600,18096,2598465,16912,88135,5425,407346,12216,211246,7176,196100,9206,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,882353,1386,104831,8149,95743,7572,93290,7301,2453,1254,9088,2736,1372,740,7716,2612,777522,8409,711066,10438,697703,9775,13363,2940,66456,4727,30952,3278,35504,3765,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,584583,305,109363,8006,96267,7625,95373,7637,894,506,13096,2390,2774,957,10322,2184,475220,7944,408167,9422,399438,9379,8729,1591,67053,5225,27891,2872,39162,4350,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,18652057,5175,3173456,53070,2430317,45335,2318479,46614,111838,10545,743139,22441,253469,12164,489670,18551,15478601,53494,12555094,63092,12065672,61740,489422,17511,2923507,37994,1572357,27831,1351150,32782,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,9550271,4699,1827743,40709,1611268,37058,1592286,36845,18982,3229,216475,13630,43753,6787,172722,12665,7722528,41277,7013457,41715,6904941,42822,108516,8762,709071,22629,325618,15816,383453,17713,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
