GEO_ID,B19001A_001E,B19001A_001M,B19001A_002E,B19001A_002M,B19001A_003E,B19001A_003M,B19001A_004E,B19001A_004M,B19001A_005E,B19001A_005M,B19001A_006E,B19001A_006M,B19001A_007E,B19001A_007M,B19001A_008E,B19001A_008M,B19001A_009E,B19001A_009M,B19001A_010E,B19001A_010M,B19001A_011E,B19001A_011M,B19001A_012E,B19001A_012M,B19001A_013E,B19001A_013M,B19001A_014E,B19001A_014M,B19001A_015E,B19001A_015M,B19001A_016E,B19001A_016M,B19001A_017E,B19001A_017M,NAME,B19001A_001EA,B19001A_001MA,B19001A_002MA,B19001A_002EA,B19001A_003EA,B19001A_003MA,B19001A_004MA,B19001A_004EA,B19001A_005EA,B19001A_005MA,B19001A_006EA,B19001A_006MA,B19001A_007MA,B19001A_007EA,B19001A_008MA,B19001A_008EA,B19001A_009EA,B19001A_009MA,B19001A_010EA,B19001A_010MA,B19001A_011EA,B19001A_011MA,B19001A_012EA,B19001A_012MA,B19001A_013MA,B19001A_013EA,B19001A_014EA,B19001A_014MA,B19001A_015MA,B19001A_015EA,B19001A_016EA,B19001A_016MA,B19001A_017EA,B19001A_017MA,state
0400000US01,1314768,8237,97540,5521,81677,4934,78466,4537,86068,4026,75756,4653,71590,4663,66515,4527,68253,4115,59944,3893,105812,5247,135164,6130,153845,5191,99809,5261,48340,3333,45926,3538,40063,3033,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,193742,3154,6805,1296,6231,1233,4961,920,6601,1087,6143,1136,7191,1253,6803,1265,8318,1300,7038,1452,15109,1995,25012,2454,31087,2473,21933,2100,14218,1958,16449,2235,9843,1570,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1980030,12659,147665,8041,103503,5463,111177,6256,126052,7313,109189,6028,111400,7357,105324,5748,105335,6061,88686,6411,163806,7428,203217,8597,231080,8517,143890,6961,85102,5755,77538,5547,67066,4730,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,909536,6940,75476,4198,70532,4273,64751,3623,61484,4097,55805,3827,54128,3333,50337,2970,49824,3422,42400,3695,76128,3848,87778,4442,95797,4359,54412,3422,28074,2498,24384,2634,18226,2342,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8488352,27903,462182,12298,432234,11202,413776,11254,433792,11611,393126,11386,396252,11101,364808,9423,364867,10563,342149,10011,615877,14751,827954,13857,1036195,17761,776439,15147,480067,11082,545328,12449,603306,10763,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1730551,11052,104161,4838,77229,4106,78694,3949,86925,5222,74936,4757,88978,5399,82208,4663,82876,4548,75207,4482,146609,6877,179342,7166,221233,7376,154853,5395,89468,4841,99785,5134,88047,4191,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1102216,6222,53145,3316,42243,3350,48448,3347,42308,2703,39750,3152,41446,3494,36424,3164,47666,3277,38577,3101,78393,3553,104780,4605,151633,6248,112226,4969,72729,3616,89076,3621,103372,4098,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,248392,3571,9548,1296,9017,1479,11307,1530,10880,1620,10846,1712,11422,1427,9140,1419,12808,1571,11910,1573,19695,1962,27072,2430,37453,3038,25497,2553,15417,1833,13490,1728,12890,1589,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,119021,3301,5523,1278,1587,622,1205,523,2555,837,1891,675,1816,592,2987,1028,3412,999,2527,800,6968,1356,10156,1735,14582,2008,15782,1981,9747,1593,12348,1445,25935,1856,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,5746158,23697,416149,10107,339582,10671,353910,8880,367017,10591,348318,10693,336438,11983,313520,9540,296789,10589,262923,8704,479329,13515,582331,15571,628515,14401,388550,10743,210779,8250,210065,8468,211943,8770,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
