GEO_ID,C21001H_001E,C21001H_001M,C21001H_002E,C21001H_002M,C21001H_003E,C21001H_003M,C21001H_004E,C21001H_004M,C21001H_005E,C21001H_005M,C21001H_006E,C21001H_006M,C21001H_007E,C21001H_007M,C21001H_008E,C21001H_008M,C21001H_009E,C21001H_009M,C21001H_010E,C21001H_010M,C21001H_011E,C21001H_011M,C21001H_012E,C21001H_012M,C21001H_013E,C21001H_013M,C21001H_014E,C21001H_014M,C21001H_015E,C21001H_015M,NAME,C21001H_001EA,C21001H_001MA,C21001H_002EA,C21001H_002MA,C21001H_003EA,C21001H_003MA,C21001H_004MA,C21001H_004EA,C21001H_005MA,C21001H_005EA,C21001H_006EA,C21001H_006MA,C21001H_007EA,C21001H_007MA,C21001H_008EA,C21001H_008MA,C21001H_009MA,C21001H_009EA,C21001H_010MA,C21001H_010EA,C21001H_011MA,C21001H_011EA,C21001H_012EA,C21001H_012MA,C21001H_013MA,C21001H_013EA,C21001H_014MA,C21001H_014EA,C21001H_015MA,C21001H_015EA,state
0400000US23,1008849,607,486411,441,392747,439,64184,3448,328563,3481,93664,18,53139,1687,40525,1687,522438,407,404171,404,5255,867,398916,953,118267,72,1909,598,116358,599,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,2526135,2321,1214856,1827,991149,1862,136901,5103,854248,5442,223707,143,124872,3300,98835,3304,1311279,1088,1020334,1095,17987,2637,1002347,2911,290945,370,4351,900,286594,997,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,4050967,4994,1930030,2779,1584570,2692,155604,5722,1428966,6730,345460,549,182963,4062,162497,4097,2120937,2756,1644701,2514,10750,1634,1633951,3054,476236,730,6403,1117,469833,1191,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,5964768,1693,2905356,1156,2381033,1095,276844,5921,2104189,6062,524323,251,270562,3799,253761,3793,3059412,885,2383851,782,22151,2182,2361700,2323,675561,319,6079,946,669482,981,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,3487358,1429,1708162,1125,1415570,1120,165279,4276,1250291,4454,292592,96,166012,2838,126580,2821,1779196,596,1405303,563,14105,1589,1391198,1689,373893,156,3956,885,369937,928,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,1340891,1600,646853,1415,523162,1469,69687,4258,453475,4597,123691,208,67316,2348,56375,2354,694038,539,531490,539,7334,1504,524156,1630,162548,14,2595,930,159953,932,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,3793762,2599,1834664,2450,1500390,2470,216702,6696,1283688,7457,334274,272,188649,3735,145625,3752,1959098,1350,1526012,1269,21531,2365,1504481,2781,433086,411,4252,970,428834,1028,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,692769,798,345145,681,277803,682,45362,2971,232441,3017,67342,11,38048,1962,29294,1962,347624,358,271126,355,4846,1225,266280,1299,76498,12,797,376,75701,376,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,1171628,1334,570051,1029,467695,1032,64785,2597,402910,2644,102356,203,58199,1698,44157,1687,601577,685,467992,611,8509,1261,459483,1409,133585,283,1569,410,132016,477,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,1191618,1767,603204,1539,478817,1482,90033,5020,388784,5374,124387,442,77884,2947,46503,2840,588414,819,454974,815,8482,1701,446492,1935,133440,47,2571,821,130869,832,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
