GEO_ID,B17006_001E,B17006_001M,B17006_002E,B17006_002M,B17006_003E,B17006_003M,B17006_004E,B17006_004M,B17006_005E,B17006_005M,B17006_006E,B17006_006M,B17006_007E,B17006_007M,B17006_008E,B17006_008M,B17006_009E,B17006_009M,B17006_010E,B17006_010M,B17006_011E,B17006_011M,B17006_012E,B17006_012M,B17006_013E,B17006_013M,B17006_014E,B17006_014M,B17006_015E,B17006_015M,B17006_016E,B17006_016M,B17006_017E,B17006_017M,B17006_018E,B17006_018M,B17006_019E,B17006_019M,B17006_020E,B17006_020M,B17006_021E,B17006_021M,B17006_022E,B17006_022M,B17006_023E,B17006_023M,B17006_024E,B17006_024M,B17006_025E,B17006_025M,B17006_026E,B17006_026M,B17006_027E,B17006_027M,B17006_028E,B17006_028M,B17006_029E,B17006_029M,NAME,B17006_001EA,B17006_001MA,B17006_002MA,B17006_002EA,B17006_003MA,B17006_003EA,B17006_004MA,B17006_004EA,B17006_005MA,B17006_005EA,B17006_006EA,B17006_006MA,B17006_007EA,B17006_007MA,B17006_008MA,B17006_008EA,B17006_009MA,B17006_009EA,B17006_010EA,B17006_010MA,B17006_011EA,B17006_011MA,B17006_012EA,B17006_012MA,B17006_013MA,B17006_013EA,B17006_014MA,B17006_014EA,B17006_015EA,B17006_015MA,B17006_016EA,B17006_016MA,B17006_017EA,B17006_017MA,B17006_018EA,B17006_018MA,B17006_019MA,B17006_019EA,B17006_020MA,B17006_020EA,B17006_021EA,B17006_021MA,B17006_022EA,B17006_022MA,B17006_023EA,B17006_023MA,B17006_024MA,B17006_024EA,B17006_025MA,B17006_025EA,B17006_026MA,B17006_026EA,B17006_027EA,B17006_027MA,B17006_028EA,B17006_028MA,B17006_029EA,B17006_029MA,state
0400000US01,1108509,3454,303606,11479,86128,7788,26624,3500,4942,1462,54562,5814,217478,11009,20170,3134,6922,1516,1307,664,11941,2512,197308,10880,59573,3979,12519,2055,125216,8326,804903,11889,603113,13697,155890,5218,29610,3251,417613,10768,201790,10566,48614,5528,11487,2108,3201,1325,33926,4609,153176,8741,34493,3572,7285,2089,111398,6852,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,184441,1049,26387,3913,9501,2541,2687,913,869,420,5945,1678,16886,3678,4855,1779,1377,517,200,180,3278,1640,12031,2814,3529,820,479,193,8023,2280,158054,3678,112112,4503,32595,2107,5862,1113,73655,3586,45942,4727,14896,2370,4895,1373,850,346,9151,1828,31046,3950,8311,1749,1891,868,20844,2956,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1590007,4914,428162,20312,162337,13335,49497,4778,10995,2167,101845,9735,265825,17328,49755,7323,16441,3003,2228,892,31086,5339,216070,15703,65123,6231,13904,2912,137043,11200,1161845,20595,829938,22131,230275,10035,46199,4578,553464,15234,331907,17113,100155,9575,28416,4567,5057,1489,66682,7836,231752,15420,52772,6551,9986,2757,168994,11909,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,695905,2781,193010,9550,61298,7180,23036,3490,3417,1079,34845,4676,131712,8398,16647,3545,5696,1987,658,398,10293,2390,115065,7779,36351,3682,5394,1322,73320,5673,502895,9229,374220,10985,98867,4666,20615,2620,254738,8727,128675,8142,33918,4641,9461,2063,2147,951,22310,3129,94757,6961,21002,3179,3625,1233,70130,5556,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,9084725,9757,2044902,33252,856981,27021,246060,11256,49960,3899,560961,19173,1187921,30633,222527,15651,75446,6155,14268,2257,132813,12287,965394,29450,294739,11828,51489,4540,619166,21131,7039823,33455,5281182,44242,1448008,17927,308343,9782,3524831,36345,1758641,31961,556878,19357,161222,9235,28926,3187,366730,14310,1201763,26442,267844,10812,60685,4841,873234,21808,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1207309,3827,211228,11438,81863,9914,28099,3974,5391,1444,48373,6636,129365,9758,20540,4182,6517,1674,1811,997,12212,2951,108825,8749,37982,3803,5670,1345,65173,6383,996081,12511,789187,15303,213561,5498,44483,3870,531143,11932,206894,10320,71044,6551,20698,3135,3739,1292,46607,5023,135850,7829,29995,3089,7345,1632,98510,6986,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,792694,1582,116925,8560,26816,4375,7518,1877,1444,650,17854,3393,90109,7776,8721,2239,3376,1170,486,401,4859,1675,81388,7209,23406,2596,4816,1110,53166,5507,675769,8531,520907,8577,124672,3844,26421,2214,369814,6984,154862,7975,32924,3637,7355,1738,1631,608,23938,2865,121938,7316,28271,2992,5539,1159,88128,5811,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,200047,1715,33697,4234,6246,1944,1679,702,530,346,4037,1548,27451,4066,4437,1866,1479,895,230,293,2728,1427,23014,3919,8114,1400,1373,601,13527,3098,166350,4762,116096,5451,30042,2488,6533,1188,79521,4627,50254,4928,15557,3534,4100,1148,579,357,10878,3017,34697,4518,8965,1956,1354,644,24378,3452,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,104579,455,31598,3831,1647,992,544,707,51,91,1052,669,29951,3832,3266,1491,1395,1148,553,406,1318,854,26685,3905,8763,1538,1807,672,16115,2887,72981,3812,37184,2622,16748,1105,2177,653,18259,2198,35797,3750,5873,1786,1922,764,175,237,3776,1434,29924,3930,6833,1459,1915,836,21176,2896,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3918493,7264,965366,26002,339606,18748,102630,8379,19863,2782,217113,11427,625760,22469,97560,9954,37694,5405,5651,1639,54215,6500,528200,19550,158568,9494,35825,3861,333807,13231,2953127,27836,2099724,34047,559906,12792,109331,7174,1430487,26501,853403,26635,211766,12419,66588,6339,11644,2455,133534,10013,641637,22359,136855,8487,36749,4015,468033,18287,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2446253,6508,639080,19630,216680,13486,66682,5775,15880,3078,134118,9185,422400,15827,55524,6895,21556,4047,3793,1182,30175,4886,366876,14634,109721,6172,21771,2798,235384,13236,1807173,19831,1323537,22258,351640,10427,77022,6423,894875,17069,483636,17391,117690,10499,32940,4725,7569,1983,77181,7401,365946,16054,82017,6670,18146,3062,265783,12733,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,298055,1493,49781,5999,20879,4534,5150,1575,1448,647,14281,3539,28902,4137,4627,1775,1117,567,423,415,3087,1371,24275,4136,8220,1744,1280,635,14775,2797,248274,6250,191345,6254,56867,2842,8957,1388,125521,4557,56929,5425,19816,3047,4970,1324,827,453,14019,2577,37113,4550,10317,1918,1053,422,25743,3283,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,414168,3618,82521,6933,34406,4147,13118,1962,1761,677,19527,3217,48115,6118,5854,1812,1924,838,127,136,3803,1358,42261,6038,12973,2232,2361,763,26927,4576,331647,7374,275893,7104,76226,3771,16615,2449,183052,6239,55754,5789,19876,3834,3955,1207,961,601,14960,3113,35878,4538,7234,1400,2200,896,26444,4042,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
