GEO_ID,B23022_001E,B23022_001M,B23022_002E,B23022_002M,B23022_003E,B23022_003M,B23022_004E,B23022_004M,B23022_005E,B23022_005M,B23022_006E,B23022_006M,B23022_007E,B23022_007M,B23022_008E,B23022_008M,B23022_009E,B23022_009M,B23022_010E,B23022_010M,B23022_011E,B23022_011M,B23022_012E,B23022_012M,B23022_013E,B23022_013M,B23022_014E,B23022_014M,B23022_015E,B23022_015M,B23022_016E,B23022_016M,B23022_017E,B23022_017M,B23022_018E,B23022_018M,B23022_019E,B23022_019M,B23022_020E,B23022_020M,B23022_021E,B23022_021M,B23022_022E,B23022_022M,B23022_023E,B23022_023M,B23022_024E,B23022_024M,B23022_025E,B23022_025M,B23022_026E,B23022_026M,B23022_027E,B23022_027M,B23022_028E,B23022_028M,B23022_029E,B23022_029M,B23022_030E,B23022_030M,B23022_031E,B23022_031M,B23022_032E,B23022_032M,B23022_033E,B23022_033M,B23022_034E,B23022_034M,B23022_035E,B23022_035M,B23022_036E,B23022_036M,B23022_037E,B23022_037M,B23022_038E,B23022_038M,B23022_039E,B23022_039M,B23022_040E,B23022_040M,B23022_041E,B23022_041M,B23022_042E,B23022_042M,B23022_043E,B23022_043M,B23022_044E,B23022_044M,B23022_045E,B23022_045M,B23022_046E,B23022_046M,B23022_047E,B23022_047M,B23022_048E,B23022_048M,B23022_049E,B23022_049M,NAME,B23022_001MA,B23022_001EA,B23022_002MA,B23022_002EA,B23022_003EA,B23022_003MA,B23022_004MA,B23022_004EA,B23022_005MA,B23022_005EA,B23022_006MA,B23022_006EA,B23022_007MA,B23022_007EA,B23022_008EA,B23022_008MA,B23022_009MA,B23022_009EA,B23022_010MA,B23022_010EA,B23022_011MA,B23022_011EA,B23022_012MA,B23022_012EA,B23022_013EA,B23022_013MA,B23022_014EA,B23022_014MA,B23022_015MA,B23022_015EA,B23022_016MA,B23022_016EA,B23022_017MA,B23022_017EA,B23022_018EA,B23022_018MA,B23022_019EA,B23022_019MA,B23022_020MA,B23022_020EA,B23022_021MA,B23022_021EA,B23022_022MA,B23022_022EA,B23022_023EA,B23022_023MA,B23022_024EA,B23022_024MA,B23022_025EA,B23022_025MA,B23022_026MA,B23022_026EA,B23022_027MA,B23022_027EA,B23022_028EA,B23022_028MA,B23022_029MA,B23022_029EA,B23022_030EA,B23022_030MA,B23022_031MA,B23022_031EA,B23022_032MA,B23022_032EA,B23022_033EA,B23022_033MA,B23022_034EA,B23022_034MA,B23022_035EA,B23022_035MA,B23022_036EA,B23022_036MA,B23022_037MA,B23022_037EA,B23022_038EA,B23022_038MA,B23022_039EA,B23022_039MA,B23022_040EA,B23022_040MA,B23022_041EA,B23022_041MA,B23022_042MA,B23022_042EA,B23022_043EA,B23022_043MA,B23022_044MA,B23022_044EA,B23022_045MA,B23022_045EA,B23022_046MA,B23022_046EA,B23022_047MA,B23022_047EA,B23022_048MA,B23022_048EA,B23022_049MA,B23022_049EA,state
0400000US01,3135185,5080,1533892,5623,1123205,8160,949278,9634,779373,10918,15130,2676,38683,3545,40622,4213,35710,3649,39760,3570,141770,5398,57334,4306,3286,1065,11703,1873,20208,2461,17754,2406,31485,2571,32157,2640,7448,1310,835,525,2026,674,3006,902,5099,1138,13743,1645,410687,8251,1601293,4431,1050187,11300,748488,11340,612619,11236,12109,1862,32963,3220,37148,3860,24607,2878,29042,3066,250571,7787,119066,5705,5761,1283,23262,3002,33034,3062,28946,2748,40502,3392,51128,3796,14798,2019,1012,385,2484,672,6582,1432,7288,1410,18964,2434,551106,11438,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,496311,2003,258566,1555,220320,2844,189518,4002,135126,4468,3645,955,9398,1461,16063,2196,14776,1786,10510,1202,24330,2418,9749,1736,321,239,2179,886,2445,469,3533,935,6103,1071,6472,1357,2102,908,185,219,285,327,751,484,822,360,2327,661,38246,2628,237745,1638,183053,3852,133560,4071,99681,4284,3177,798,8445,1372,8450,1434,7455,1027,6352,1200,40552,2710,17429,2159,1280,635,4545,1122,4824,887,5598,1117,6876,1109,8941,1492,2337,620,326,265,616,319,1274,580,1442,500,2946,721,54692,3569,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,4121106,5055,2070237,3912,1549606,14343,1261581,13619,1044427,14666,20182,2843,52421,5351,51337,4766,44051,4166,49163,4973,237734,9546,109023,7305,5363,1446,21565,2862,32342,3635,31649,3734,37792,3973,50291,3876,13027,2156,467,311,3118,951,5459,1225,7536,1834,20684,3147,520631,14910,2050869,3956,1348832,12197,944272,13201,777656,14107,16502,3018,45013,4317,39913,4993,33647,3190,31541,3830,326464,11289,168396,8590,9887,1628,30718,3582,43022,4719,33770,3863,40671,3991,78096,5596,22089,2562,1141,485,7993,2265,7126,1432,11870,2563,27877,2847,702037,12126,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1872619,3374,933438,3243,701184,6556,589568,7871,481343,9142,8812,1506,23105,3081,26017,2990,23264,2448,27027,3081,92204,5059,39028,3853,1705,661,9196,1559,11726,1875,11662,1963,18887,2276,19412,2596,4495,1153,662,568,1036,457,2930,970,1889,566,8400,1772,232254,6747,939181,2960,627019,7931,455996,7595,375902,7514,7266,1378,22602,2696,19009,2432,15008,2451,16209,2127,140479,5624,72795,4291,3578,777,10876,1927,17944,2313,14541,1833,20745,2226,30544,3006,11108,1834,614,403,1997,717,3413,857,3504,760,9908,1398,312162,7560,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,25132744,11935,12653467,9216,9587986,22097,7677756,29019,6260294,28339,151589,6859,349034,10906,356667,11252,280596,9394,279576,10410,1551925,22958,728914,16752,46001,4109,144278,6357,210630,8110,185761,8322,236341,8375,358305,10388,95260,5902,6426,1327,21770,2699,38852,3800,48408,3623,147589,6240,3065481,22932,12479277,8069,8183966,30080,5430109,28353,4386843,29644,111143,5464,272833,9049,251205,10778,198637,9979,209448,8096,2196849,22825,1186597,18691,75406,5237,214144,7627,260547,8676,209533,7731,250622,8786,557008,10709,167824,7722,14290,2158,46461,3276,73166,4464,74538,4312,180729,6859,4295311,29577,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3444775,4661,1750140,3682,1459595,8297,1195802,11260,972811,10596,22467,2258,56355,4490,58386,4866,44025,4235,41758,4326,210421,8701,88448,6038,5138,1185,24583,3120,27696,2595,29868,2994,34688,3741,53372,3661,11123,1851,413,389,4631,1290,6929,1636,7522,1432,22754,2257,290545,9004,1694635,3763,1271736,9113,848559,11613,697732,11193,12478,2011,41334,3826,40415,3723,26621,2706,29979,3035,333840,8451,169921,6848,10352,1899,32811,3383,46091,3907,36659,3619,38006,3308,89337,5114,21642,2305,3410,1117,8979,1580,12313,1883,13749,2120,29244,2941,422899,9267,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2359452,3175,1165409,2364,948415,6608,774610,6823,641399,7651,12850,1759,33141,3116,35175,3415,23300,2698,28745,2640,136859,5313,62886,4289,3424,896,10332,1606,17504,2314,18708,2447,24005,2319,36946,2949,8895,1597,439,277,2277,808,3741,954,6754,1231,14840,1940,216994,6853,1194043,2885,900669,6356,586065,9238,487685,8734,9203,1231,32477,3089,20297,2282,14509,1696,21894,2235,248556,7464,135183,5546,6283,1383,24652,2398,27029,2779,25144,2665,30265,2976,66048,4179,18090,1800,1545,564,5988,1272,9578,1416,9191,1349,21656,2056,293374,6855,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,592825,1803,288626,1316,227867,3082,186988,3350,157488,4015,2889,1022,7310,1265,7265,1507,6114,1339,5922,1303,32721,2983,12174,1954,528,273,3655,700,5461,1310,4704,1198,6199,1490,8158,1403,1070,552,154,253,487,276,1542,760,1469,534,3436,1152,60759,3328,304199,1345,221954,3783,153415,4990,130422,4694,2077,617,6309,1248,5666,1140,4651,1055,4290,1204,55430,3841,28105,2760,1913,805,5172,1251,5728,1284,5632,1163,8880,1535,13109,1722,3064,830,244,257,1604,699,1142,458,2083,679,4972,1022,82245,3721,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,453335,925,216289,868,164379,3423,141283,3392,117309,3773,2244,857,4385,1155,6628,1433,4817,1184,5900,1562,19421,2425,6585,1330,566,331,2039,613,2723,1031,1942,728,5566,1414,3675,957,858,326,0,200,20,46,69,88,492,354,2236,824,51910,3398,237046,547,178360,4259,142381,4062,117271,4176,3319,896,6485,1278,4363,891,5816,1397,5127,984,27327,2594,10038,1416,748,415,3029,878,3054,954,3489,750,6969,1524,8652,1738,1233,537,652,556,254,166,1539,611,1532,614,3442,1028,58686,4277,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,12186117,9136,6034562,7363,4412958,21985,3579014,25771,2966420,23388,62727,5381,137979,7900,142543,7883,134130,7298,135215,7646,696403,17412,314818,12219,19264,3485,60705,5402,98070,6413,83915,5785,119631,7063,137541,7526,37078,3883,1521,676,7654,1699,15245,2873,19422,2828,56621,4952,1621604,23769,6151555,6544,4182194,21471,2987134,22003,2485265,21997,53398,4420,145521,7920,124430,7022,85690,5742,92830,6546,1000834,18023,526497,14805,27334,2795,87372,5190,116103,7656,111686,7833,131842,7530,194226,8446,56140,5084,5115,1222,17522,2255,20071,2562,27968,3100,67410,4979,1969361,22111,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
