GEO_ID,B06004F_001E,B06004F_001M,B06004F_002E,B06004F_002M,B06004F_003E,B06004F_003M,B06004F_004E,B06004F_004M,B06004F_005E,B06004F_005M,NAME,B06004F_001EA,B06004F_001MA,B06004F_002EA,B06004F_002MA,B06004F_003MA,B06004F_003EA,B06004F_004MA,B06004F_004EA,B06004F_005EA,B06004F_005MA,state
0400000US01,58499,7039,10547,2506,13357,3301,905,491,33690,4917,Alabama,null,null,null,null,null,null,null,null,null,null,01
0400000US02,8599,1933,2100,699,2254,1204,1316,924,2929,933,Alaska,null,null,null,null,null,null,null,null,null,null,02
0400000US04,402195,21457,201337,13514,67438,8518,4489,1519,128931,11429,Arizona,null,null,null,null,null,null,null,null,null,null,04
0400000US05,62745,7426,18777,3007,13969,2403,978,542,29021,4559,Arkansas,null,null,null,null,null,null,null,null,null,null,05
0400000US06,4738489,66403,2558812,48240,155085,7153,38066,3869,1986526,36727,California,null,null,null,null,null,null,null,null,null,null,06
0400000US08,221207,15837,108598,9539,31312,4537,3503,1169,77794,8463,Colorado,null,null,null,null,null,null,null,null,null,null,08
0400000US09,195293,10646,63419,5319,26023,3876,42305,4610,63546,6839,Connecticut,null,null,null,null,null,null,null,null,null,null,09
0400000US10,19682,4485,5707,1846,3755,1520,2328,1277,7892,2330,Delaware,null,null,null,null,null,null,null,null,null,null,10
0400000US11,24420,3654,7990,1994,2041,809,941,752,13448,2337,District of Columbia,null,null,null,null,null,null,null,null,null,null,11
0400000US12,512411,27599,125611,10209,97348,10041,54618,7550,234834,14803,Florida,null,null,null,null,null,null,null,null,null,null,12
0400000US13,287608,19454,86356,8524,44992,7404,8041,2472,148219,11226,Georgia,null,null,null,null,null,null,null,null,null,null,13
0400000US15,17772,3259,4943,1771,7931,1857,1136,847,3762,1390,Hawaii,null,null,null,null,null,null,null,null,null,null,15
0400000US16,28938,5066,9242,2266,5610,1432,319,273,13767,3554,Idaho,null,null,null,null,null,null,null,null,null,null,16
0400000US17,783647,28478,369607,16790,36361,4998,25319,3711,352360,17465,Illinois,null,null,null,null,null,null,null,null,null,null,17
0400000US18,157123,10274,48111,5461,32935,4170,4789,1774,71288,6539,Indiana,null,null,null,null,null,null,null,null,null,null,18
0400000US19,43292,5237,10870,2442,10189,2428,1005,1073,21228,3007,Iowa,null,null,null,null,null,null,null,null,null,null,19
0400000US20,71792,6124,25640,2785,13472,1963,1096,619,31584,4498,Kansas,null,null,null,null,null,null,null,null,null,null,20
0400000US21,41911,5188,11885,2548,9503,1715,1491,945,19032,3355,Kentucky,null,null,null,null,null,null,null,null,null,null,21
0400000US22,48020,6386,12834,3167,9174,2069,1025,579,24987,3880,Louisiana,null,null,null,null,null,null,null,null,null,null,22
0400000US23,3249,1000,839,433,930,507,667,486,813,400,Maine,null,null,null,null,null,null,null,null,null,null,23
0400000US24,189897,13333,45747,5125,27489,4344,4344,1551,112317,8992,Maryland,null,null,null,null,null,null,null,null,null,null,24
0400000US25,282417,13444,98281,6696,25541,3309,55809,5673,102786,7665,Massachusetts,null,null,null,null,null,null,null,null,null,null,25
0400000US26,105245,7698,46251,4954,19447,2236,4165,1248,35382,4052,Michigan,null,null,null,null,null,null,null,null,null,null,26
0400000US27,74998,7403,22991,3272,12520,2254,1781,966,37706,4583,Minnesota,null,null,null,null,null,null,null,null,null,null,27
0400000US28,19265,3669,2747,963,5151,1643,273,369,11094,2935,Mississippi,null,null,null,null,null,null,null,null,null,null,28
0400000US29,61460,6179,17570,2528,13456,2566,1566,1117,28868,4073,Missouri,null,null,null,null,null,null,null,null,null,null,29
0400000US30,5149,1668,2383,1292,2156,926,66,61,544,377,Montana,null,null,null,null,null,null,null,null,null,null,30
0400000US31,40493,4982,12991,2893,8590,2398,518,403,18394,2634,Nebraska,null,null,null,null,null,null,null,null,null,null,31
0400000US32,202603,14069,53197,6302,55045,6448,2335,1033,92026,8965,Nevada,null,null,null,null,null,null,null,null,null,null,32
0400000US33,8756,2720,1731,1026,2499,965,1029,751,3497,1686,New Hampshire,null,null,null,null,null,null,null,null,null,null,33
0400000US34,544803,20644,168944,10031,50462,5253,51913,4474,273484,13731,New Jersey,null,null,null,null,null,null,null,null,null,null,34
